location_name,sex_name,age_name,year,population,gbd_release
China,Female,0-4 years,1990,52461127.55254273,GBD 2023
China,Female,0-4 years,1991,52200344.06133984,GBD 2023
China,Female,0-4 years,1992,51183616.21082702,GBD 2023
China,Female,0-4 years,1993,49478593.32621365,GBD 2023
China,Female,0-4 years,1994,47221554.37669416,GBD 2023
China,Female,0-4 years,1995,44711044.29671888,GBD 2023
China,Female,0-4 years,1996,42354267.769897126,GBD 2023
China,Female,0-4 years,1997,40222452.49646425,GBD 2023
China,Female,0-4 years,1998,38279976.11310377,GBD 2023
China,Female,0-4 years,1999,36527056.85831928,GBD 2023
China,Female,0-4 years,2000,35014083.839477785,GBD 2023
China,Female,0-4 years,2001,33804428.30705339,GBD 2023
China,Female,0-4 years,2002,32932552.621482216,GBD 2023
China,Female,0-4 years,2003,32372714.849269062,GBD 2023
China,Female,0-4 years,2004,32114876.051067848,GBD 2023
China,Female,0-4 years,2005,32146531.870909102,GBD 2023
China,Female,0-4 years,2006,32433025.71269765,GBD 2023
China,Female,0-4 years,2007,32955617.97461657,GBD 2023
China,Female,0-4 years,2008,33644828.338959865,GBD 2023
China,Female,0-4 years,2009,34297408.930364646,GBD 2023
China,Female,0-4 years,2010,34533036.87799521,GBD 2023
China,Female,0-4 years,2011,34305659.96387167,GBD 2023
China,Female,0-4 years,2012,34184168.41189848,GBD 2023
China,Female,0-4 years,2013,34383277.2276166,GBD 2023
China,Female,0-4 years,2014,34837825.24922483,GBD 2023
China,Female,0-4 years,2015,36089868.844988,GBD 2023
China,Female,0-4 years,2016,38271314.67562626,GBD 2023
China,Female,0-4 years,2017,40184793.08609793,GBD 2023
China,Female,0-4 years,2018,41024920.41189677,GBD 2023
China,Female,0-4 years,2019,40825259.80430589,GBD 2023
China,Female,0-4 years,2020,39243979.28573937,GBD 2023
China,Female,0-4 years,2021,36189723.53312266,GBD 2023
China,Female,0-4 years,2022,32480397.21186644,GBD 2023
China,Female,0-4 years,2023,28964938.721970893,GBD 2023
China,Female,10-14 years,1990,49615252.54402213,GBD 2023
China,Female,10-14 years,1991,48812228.04131706,GBD 2023
China,Female,10-14 years,1992,48422613.18582109,GBD 2023
China,Female,10-14 years,1993,48632883.1117711,GBD 2023
China,Female,10-14 years,1994,49596146.64730512,GBD 2023
China,Female,10-14 years,1995,51319000.32992108,GBD 2023
China,Female,10-14 years,1996,53716658.63093126,GBD 2023
China,Female,10-14 years,1997,56356878.33658736,GBD 2023
China,Female,10-14 years,1998,58636256.34024044,GBD 2023
China,Female,10-14 years,1999,60023933.99402695,GBD 2023
China,Female,10-14 years,2000,60128276.96905329,GBD 2023
China,Female,10-14 years,2001,58654990.40836264,GBD 2023
China,Female,10-14 years,2002,56043156.56011753,GBD 2023
China,Female,10-14 years,2003,52697546.0661912,GBD 2023
China,Female,10-14 years,2004,49008994.46800115,GBD 2023
China,Female,10-14 years,2005,45459039.46805554,GBD 2023
China,Female,10-14 years,2006,42531581.68093956,GBD 2023
China,Female,10-14 years,2007,40129147.395937055,GBD 2023
China,Female,10-14 years,2008,38084366.32031177,GBD 2023
China,Female,10-14 years,2009,36325267.86560389,GBD 2023
China,Female,10-14 years,2010,34873986.385123186,GBD 2023
China,Female,10-14 years,2011,33798593.39609835,GBD 2023
China,Female,10-14 years,2012,33131290.27916713,GBD 2023
China,Female,10-14 years,2013,32850115.839517124,GBD 2023
China,Female,10-14 years,2014,32957535.03611697,GBD 2023
China,Female,10-14 years,2015,33465306.83141481,GBD 2023
China,Female,10-14 years,2016,34373235.65754344,GBD 2023
China,Female,10-14 years,2017,35648291.9288734,GBD 2023
China,Female,10-14 years,2018,37192852.832206696,GBD 2023
China,Female,10-14 years,2019,38739002.13431386,GBD 2023
China,Female,10-14 years,2020,39784409.17280064,GBD 2023
China,Female,10-14 years,2021,40233513.16264083,GBD 2023
China,Female,10-14 years,2022,40764631.80850288,GBD 2023
China,Female,10-14 years,2023,41596846.72882047,GBD 2023
China,Female,15-19 years,1990,61796263.46389763,GBD 2023
China,Female,15-19 years,1991,59125902.55618452,GBD 2023
China,Female,15-19 years,1992,56107741.03579132,GBD 2023
China,Female,15-19 years,1993,53152124.367117,GBD 2023
China,Female,15-19 years,1994,50737055.656792365,GBD 2023
China,Female,15-19 years,1995,49044530.444281206,GBD 2023
China,Female,15-19 years,1996,47944575.83325842,GBD 2023
China,Female,15-19 years,1997,47341073.7378678,GBD 2023
China,Female,15-19 years,1998,47460112.42585307,GBD 2023
China,Female,15-19 years,1999,48512200.55639835,GBD 2023
China,Female,15-19 years,2000,50578077.71018504,GBD 2023
China,Female,15-19 years,2001,53648147.67386405,GBD 2023
China,Female,15-19 years,2002,57115473.84062361,GBD 2023
China,Female,15-19 years,2003,60235739.03710267,GBD 2023
China,Female,15-19 years,2004,62357017.0636348,GBD 2023
China,Female,15-19 years,2005,62996041.29626277,GBD 2023
China,Female,15-19 years,2006,61835224.16756448,GBD 2023
China,Female,15-19 years,2007,59316291.059122935,GBD 2023
China,Female,15-19 years,2008,55877808.87527084,GBD 2023
China,Female,15-19 years,2009,51957905.84768889,GBD 2023
China,Female,15-19 years,2010,48088420.78582845,GBD 2023
China,Female,15-19 years,2011,44792437.21222485,GBD 2023
China,Female,15-19 years,2012,42050174.39648879,GBD 2023
China,Female,15-19 years,2013,39723738.87166687,GBD 2023
China,Female,15-19 years,2014,37737124.48957519,GBD 2023
China,Female,15-19 years,2015,36086983.05741903,GBD 2023
China,Female,15-19 years,2016,34802584.958787285,GBD 2023
China,Female,15-19 years,2017,33930977.1881182,GBD 2023
China,Female,15-19 years,2018,33463613.97965532,GBD 2023
China,Female,15-19 years,2019,33415818.95523676,GBD 2023
China,Female,15-19 years,2020,33812915.869695,GBD 2023
China,Female,15-19 years,2021,34669430.31894208,GBD 2023
China,Female,15-19 years,2022,35927424.813267976,GBD 2023
China,Female,15-19 years,2023,37469550.0653185,GBD 2023
China,Female,20-24 years,1990,64663632.69488488,GBD 2023
China,Female,20-24 years,1991,63880680.52762535,GBD 2023
China,Female,20-24 years,1992,62701919.482300095,GBD 2023
China,Female,20-24 years,1993,61437341.124604926,GBD 2023
China,Female,20-24 years,1994,59946444.18608745,GBD 2023
China,Female,20-24 years,1995,58053509.869393125,GBD 2023
China,Female,20-24 years,1996,55698481.760468975,GBD 2023
China,Female,20-24 years,1997,53041790.2261743,GBD 2023
China,Female,20-24 years,1998,50439997.308288366,GBD 2023
China,Female,20-24 years,1999,48336616.62858994,GBD 2023
China,Female,20-24 years,2000,46914858.73918246,GBD 2023
China,Female,20-24 years,2001,46070421.8661352,GBD 2023
China,Female,20-24 years,2002,45749129.95248079,GBD 2023
China,Female,20-24 years,2003,46194080.7323988,GBD 2023
China,Female,20-24 years,2004,47623767.30351996,GBD 2023
China,Female,20-24 years,2005,50110163.70838622,GBD 2023
China,Female,20-24 years,2006,53596369.39210381,GBD 2023
China,Female,20-24 years,2007,57439156.500631765,GBD 2023
China,Female,20-24 years,2008,60847078.617345065,GBD 2023
China,Female,20-24 years,2009,63122668.68878199,GBD 2023
China,Female,20-24 years,2010,63750070.81096262,GBD 2023
China,Female,20-24 years,2011,62406184.103576615,GBD 2023
China,Female,20-24 years,2012,59549375.538554974,GBD 2023
China,Female,20-24 years,2013,55695793.59057623,GBD 2023
China,Female,20-24 years,2014,51381084.380895525,GBD 2023
China,Female,20-24 years,2015,47230493.27191102,GBD 2023
China,Female,20-24 years,2016,43836190.79419833,GBD 2023
China,Female,20-24 years,2017,41113514.33254403,GBD 2023
China,Female,20-24 years,2018,38874362.758463785,GBD 2023
China,Female,20-24 years,2019,37000427.2752604,GBD 2023
China,Female,20-24 years,2020,35451003.18540883,GBD 2023
China,Female,20-24 years,2021,34224560.90659681,GBD 2023
China,Female,20-24 years,2022,33387627.220825877,GBD 2023
China,Female,20-24 years,2023,32946413.46019108,GBD 2023
China,Female,25-29 years,1990,53595033.36545199,GBD 2023
China,Female,25-29 years,1991,57955566.76128512,GBD 2023
China,Female,25-29 years,1992,61187479.08531326,GBD 2023
China,Female,25-29 years,1993,62771621.02135831,GBD 2023
China,Female,25-29 years,1994,63172481.60802408,GBD 2023
China,Female,25-29 years,1995,62800091.56900154,GBD 2023
China,Female,25-29 years,1996,61922645.6789158,GBD 2023
China,Female,25-29 years,1997,60972040.95658138,GBD 2023
China,Female,25-29 years,1998,60111470.56840804,GBD 2023
China,Female,25-29 years,1999,59083653.7303177,GBD 2023
China,Female,25-29 years,2000,57613619.09880542,GBD 2023
China,Female,25-29 years,2001,55562570.695671454,GBD 2023
China,Female,25-29 years,2002,53117323.579879045,GBD 2023
China,Female,25-29 years,2003,50661917.838994734,GBD 2023
China,Female,25-29 years,2004,48668201.34711057,GBD 2023
China,Female,25-29 years,2005,47336706.61193898,GBD 2023
China,Female,25-29 years,2006,46558493.99877244,GBD 2023
China,Female,25-29 years,2007,46274721.104574,GBD 2023
China,Female,25-29 years,2008,46722952.64972331,GBD 2023
China,Female,25-29 years,2009,48126586.27388559,GBD 2023
China,Female,25-29 years,2010,50562088.737520695,GBD 2023
China,Female,25-29 years,2011,53963867.0656132,GBD 2023
China,Female,25-29 years,2012,57626222.25170095,GBD 2023
China,Female,25-29 years,2013,60706767.59796779,GBD 2023
China,Female,25-29 years,2014,62486393.52459196,GBD 2023
China,Female,25-29 years,2015,62476429.67089198,GBD 2023
China,Female,25-29 years,2016,60437996.97267774,GBD 2023
China,Female,25-29 years,2017,56979362.76986209,GBD 2023
China,Female,25-29 years,2018,52712314.37482986,GBD 2023
China,Female,25-29 years,2019,48210372.48594154,GBD 2023
China,Female,25-29 years,2020,44085147.16580513,GBD 2023
China,Female,25-29 years,2021,40883258.12197836,GBD 2023
China,Female,25-29 years,2022,38411810.15398013,GBD 2023
China,Female,25-29 years,2023,36427218.196314655,GBD 2023
China,Female,30-34 years,1990,42338691.99452968,GBD 2023
China,Female,30-34 years,1991,41427170.00215993,GBD 2023
China,Female,30-34 years,1992,42292965.597810976,GBD 2023
China,Female,30-34 years,1993,45367493.24272523,GBD 2023
