population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1990,6786.758196337826,8676.749394126424,5197.198728075293
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1990,10152.196775729139,12964.956867789395,7672.608179502948
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1990,0.0017310607064345198,0.00219727496983692,0.001332668259796777
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1990,0.0028548645512942944,0.0036275135797464706,0.002198666877493813
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1990,196.13014735846733,250.74889778462918,150.19355676155976
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1990,219.44521463525814,280.2445426777664,165.84756835964055
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1991,22826.78650970571,29370.502978708493,16916.09324665222
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1991,23349.7804403414,30351.63172815873,17072.570913497962
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1991,0.0015036871002881698,0.0020003066353771887,0.0011156250481340975
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1991,0.0018556973910898078,0.00240919849515501,0.0013568987045350913
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1991,252.66205817029967,325.09226513079915,187.2385731597643
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1991,225.05686664371447,292.5442126411477,164.55398050365082
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1990,22040.85881429351,29042.17025248238,16267.80188280678
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1990,22642.31430842928,29704.028810026575,16721.56027719722
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1990,0.0014849408394548194,0.002042778025543623,0.0010854444039116356
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1990,0.0018198352792166668,0.002399449467863881,0.0013763708288155488
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1990,251.89936476509882,331.9155709693092,185.92056665895657
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1990,223.5883262835249,293.32134494038684,165.12206412732897
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1992,23727.815382883746,31440.078155590338,17549.83005125463
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1992,24133.246065068106,30839.230533154005,18053.32007385708
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1992,0.0015351389528142616,0.002001516390353964,0.0011010823749882477
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1992,0.0019011368647591127,0.0024652928322773677,0.001422059164534985
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1992,253.93833173988568,336.4760247739216,187.82068612810005
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1992,226.70042656272366,289.69441980089675,169.58743761954136
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1991,6944.773410938804,8814.915474281008,5223.7691086385
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1991,10329.407631247132,13288.103842949082,7863.896896639831
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1991,0.0017501103556118137,0.0022104320531036604,0.0013090329636255603
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1991,0.0028571623431697495,0.0036125584395376646,0.0021840255369892773
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1991,195.9843250089594,248.76049325336527,147.41688492623885
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1991,219.07767243616044,281.8290230116332,166.78635308981382
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1993,7295.292694935453,9452.710557252263,5552.358931249163
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1993,10800.644520308726,13987.187231375645,7953.254602675273
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1993,0.0017743368151882386,0.0022750008093343132,0.0013439929149820333
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1993,0.0028538538510935628,0.003625161705434435,0.002122820035553605
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1993,196.33821098564357,254.40079752584035,149.43063491728296
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1993,220.1631855507691,285.11851232251115,162.1212387398576
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1992,7140.406570548067,9388.633134687898,5338.405903299457
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1992,10639.538934072327,13558.039056918069,8010.922602638775
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1992,0.0017804190817925938,0.0023073414950294546,0.0013400759257658212
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1992,0.0028828030890137297,0.003603754048779755,0.0021715359806886484
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1992,195.85833201714252,257.52623572801787,146.43021591562484
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1992,220.38287477666748,280.83544242027466,165.93483643629793
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1994,7398.337123514939,9470.368847817776,5482.184314580256
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1994,10981.711763671814,13865.787298376037,8316.503925269328
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1994,0.001794434365718409,0.0022822655395912566,0.0013337143250952955
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1994,0.0028783236339145926,0.003592922373617382,0.002183214630398333
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1994,195.81806392207233,250.6602850677518,145.101622246032
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1994,220.81334393967248,278.8045184211729,167.2230232540833
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1993,24534.130192966357,31561.510987241014,17818.861115878786
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1993,25004.72777152957,32144.504826096163,18170.492137505964
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1993,0.001564187556584688,0.0019900880352229787,0.0011329280525428137
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1993,0.0019498607054109491,0.002545153454476179,0.0014749936248501295
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1993,253.72032850911643,326.3941649018645,184.27420334123778
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1993,228.19431833928164,293.35225858753887,165.82476342448118
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1994,25624.499096092626,33827.197705829254,18568.41259704609
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1994,25970.972629414213,34291.39609317784,19225.812987261826
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1994,0.0016003980294223212,0.002031044823925799,0.0011873329380380393
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1994,0.001997704027699526,0.0025771747548042345,0.001513541015849482
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1994,254.22585869610674,335.60649719622234,184.22099177062412
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1994,229.10896641785908,302.5095142965613,169.604974172812
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1995,7506.842474429902,9858.081886123255,5682.75262198961
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1995,11061.603744807635,14213.840004903253,8343.532041545004
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1995,0.0018118854901368459,0.0023641671185628704,0.0013592861590762157
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1995,0.002874948091329789,0.003634843859218647,0.002163563427177755
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1995,196.21273976490676,257.66908820741446,148.53494863717233
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1995,220.3270440698471,283.11386173384756,166.1879953599476
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1996,27552.81379681874,36154.7262247384,20258.651323451464
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1996,27507.643341701303,36303.20527833665,19958.91388562439
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1996,0.0016780899398524435,0.002171567108494159,0.0012549211566460765
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1996,0.002090817487169101,0.00268768044804403,0.0015745569349173158
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1996,254.05892704617457,333.3754229256172,186.80092917525928
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1996,229.5498819452319,302.94839810004197,166.55611930428512
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1997,28398.09079271938,37047.58920901418,20875.7565632708
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1997,28136.953643700548,36668.01704740007,20446.96173985126
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1997,0.0017047784209522142,0.002184472075606474,0.001253606490581758
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1997,0.0021232586937108638,0.0027785349722402753,0.0015727763296519899
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1997,253.00601812739313,330.0666617135805,185.98757508106988
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1997,229.28417515677575,298.8026404638873,166.61948611603026
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1995,26574.526692771327,34747.16189844022,19818.992886535834
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1995,26852.069185932414,34992.328084673696,19921.181935094643
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1995,0.0016350715916689297,0.002130096351857747,0.0011845382668976556
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1995,0.002048701362870258,0.0026351505892714495,0.0015688938148196354
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,19,70-74 years,559,Schizophrenia,3,Rate,1995,253.57385552589253,331.55705510896627,189.1126226622942
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,19,70-74 years,559,Schizophrenia,3,Rate,1995,229.68202156101722,299.31058936138834,170.39794241013053
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,1,Number,1996,7525.252997641224,9895.03584269921,5642.522477472154
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,1,Number,1996,11092.802932645094,14083.967414876417,8472.583985616771
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,19,70-74 years,559,Schizophrenia,2,Percent,1996,0.0018300714794705023,0.0023902075722537757,0.0013768426864791156
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,19,70-74 years,559,Schizophrenia,2,Percent,1996,0.002887965770143286,0.0036237558622246747,0.0021776968602734903
