population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,1,<5 years,559,Schizophrenia,1,Number,1990,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,1,<5 years,559,Schizophrenia,1,Number,1990,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,1,<5 years,559,Schizophrenia,2,Percent,1990,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,1,<5 years,559,Schizophrenia,2,Percent,1990,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,1,<5 years,559,Schizophrenia,3,Rate,1990,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,1,<5 years,559,Schizophrenia,3,Rate,1990,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,6,5-9 years,559,Schizophrenia,1,Number,1990,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,6,5-9 years,559,Schizophrenia,1,Number,1990,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,6,5-9 years,559,Schizophrenia,2,Percent,1990,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,6,5-9 years,559,Schizophrenia,2,Percent,1990,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,6,5-9 years,559,Schizophrenia,3,Rate,1990,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,6,5-9 years,559,Schizophrenia,3,Rate,1990,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,7,10-14 years,559,Schizophrenia,1,Number,1990,978.2791587717877,1649.3280948798158,479.484107237917
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,7,10-14 years,559,Schizophrenia,1,Number,1990,696.9442921020168,1217.8052510068142,319.68713189603955
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,7,10-14 years,559,Schizophrenia,2,Percent,1990,0.0014124067212824929,0.0022804228510163037,0.0007132972806327022
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,7,10-14 years,559,Schizophrenia,2,Percent,1990,0.0010759113125900883,0.0018292299917360881,0.0005223213917381424
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,7,10-14 years,559,Schizophrenia,3,Rate,1990,10.837204099618756,18.270965941754895,5.311640431126658
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,7,10-14 years,559,Schizophrenia,3,Rate,1990,8.11764805198647,14.18436815619592,3.723551011019919
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,8,15-19 years,559,Schizophrenia,1,Number,1990,8491.032708352011,12205.691349329732,5232.4043369556775
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,8,15-19 years,559,Schizophrenia,1,Number,1990,7142.075795844097,10126.962136501861,4417.7276043615675
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,8,15-19 years,559,Schizophrenia,2,Percent,1990,0.0054914892099170755,0.00821561388874202,0.0035677388021829477
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,8,15-19 years,559,Schizophrenia,2,Percent,1990,0.005970051330481825,0.008884891292085922,0.003875095780407745
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,8,15-19 years,559,Schizophrenia,3,Rate,1990,91.10324150746538,130.95910532411395,56.14028497446465
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,8,15-19 years,559,Schizophrenia,3,Rate,1990,80.77665992702808,114.53563361370355,49.96436477969128
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,9,20-24 years,559,Schizophrenia,1,Number,1990,33241.20034704187,46159.70685990861,21357.19184399972
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,9,20-24 years,559,Schizophrenia,1,Number,1990,32431.065777008567,44155.02518491332,19783.49076956914
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,9,20-24 years,559,Schizophrenia,2,Percent,1990,0.016223901392768265,0.021958711918547584,0.01060191166698852
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,9,20-24 years,559,Schizophrenia,2,Percent,1990,0.020982044432021774,0.029483850830365844,0.013576683212520105
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,9,20-24 years,559,Schizophrenia,3,Rate,1990,332.71188560164336,462.0134937319133,213.76459018891984
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,9,20-24 years,559,Schizophrenia,3,Rate,1990,336.8996794600265,458.6902550052068,205.51442079320458
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,10,25-29 years,559,Schizophrenia,1,Number,1990,55949.622310466184,75073.70421434668,37747.56883028119
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,10,25-29 years,559,Schizophrenia,1,Number,1990,54139.895858163094,72342.36959039312,36710.41820847716
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,10,25-29 years,559,Schizophrenia,2,Percent,1990,0.0232092697879364,0.030118336636398044,0.017055370797576068
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,10,25-29 years,559,Schizophrenia,2,Percent,1990,0.02783951373942143,0.03662392941492703,0.020191160283208942
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,10,25-29 years,559,Schizophrenia,3,Rate,1990,512.2026094731389,687.2780478843335,345.5680745948514
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,10,25-29 years,559,Schizophrenia,3,Rate,1990,500.2154183780618,668.393762077448,339.1790270726624
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,11,30-34 years,559,Schizophrenia,1,Number,1990,63011.3749215229,84047.57210743964,42147.72492400437
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,11,30-34 years,559,Schizophrenia,1,Number,1990,59930.29551964965,79204.9082835989,41349.72945039249
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,11,30-34 years,559,Schizophrenia,2,Percent,1990,0.023335864758961482,0.030480186123788403,0.016208959553456123
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,11,30-34 years,559,Schizophrenia,2,Percent,1990,0.02708659788889233,0.0355485141267025,0.019569160104110583
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,11,30-34 years,559,Schizophrenia,3,Rate,1990,565.9208150720439,754.8521290180902,378.53919029907735
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,11,30-34 years,559,Schizophrenia,3,Rate,1990,535.2206042782099,707.3567467967631,369.2827974780016
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,12,35-39 years,559,Schizophrenia,1,Number,1990,57326.983064864755,75135.95328184003,39156.09576444474
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,12,35-39 years,559,Schizophrenia,1,Number,1990,53833.69493736294,72437.91663685456,37163.92088156852
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,12,35-39 years,559,Schizophrenia,2,Percent,1990,0.020984672756194655,0.02792899143466534,0.014434118437703668
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,12,35-39 years,559,Schizophrenia,2,Percent,1990,0.023990260195816352,0.03196672013873616,0.016702563184793174
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,12,35-39 years,559,Schizophrenia,3,Rate,1990,566.7629805013448,742.8312907491027,387.11657850793495
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,12,35-39 years,559,Schizophrenia,3,Rate,1990,524.6731977349305,705.9934006635838,362.20648112651503
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,13,40-44 years,559,Schizophrenia,1,Number,1990,48173.522833536306,62670.62894806065,35053.728513179114
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,13,40-44 years,559,Schizophrenia,1,Number,1990,45164.78041910927,58664.58426558883,32122.825651357703
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,13,40-44 years,559,Schizophrenia,2,Percent,1990,0.0181382141500317,0.023841617833810107,0.012918838039977775
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,13,40-44 years,559,Schizophrenia,2,Percent,1990,0.019964557013008342,0.02653242768531159,0.014131829313864273
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,13,40-44 years,559,Schizophrenia,3,Rate,1990,539.597056273311,701.9807750416097,392.6407620733015
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,13,40-44 years,559,Schizophrenia,3,Rate,1990,494.14347709527857,641.84352015762,351.4527163464588
1,All Population,2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,14,45-49 years,559,Schizophrenia,1,Number,1990,34211.19567515707,44381.88051801401,24400.691727203604
