population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,1990,48242.58098146848,51608.85277063151,44839.76371400734
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,1990,174847.76422094982,187048.29504083496,162514.77997417885
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,1991,50085.80831670378,53964.085051352515,46413.36819429948
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,1991,183205.6504790286,197391.74901249367,169772.46842442296
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,1992,51468.169862206116,55429.500578800915,47271.00229604499
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,1992,188160.22682788383,202642.28220638825,172815.98584558628
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,1993,53222.498703301004,57641.59179397208,48430.816980655014
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,1993,205542.4510788346,222608.75287848574,187037.23185655058
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,1994,53047.52686016936,57942.79241091834,48317.472148155124
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,1994,208028.78458521134,227225.83679517583,189479.61573600912
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,1995,54514.96821835343,59966.22393163206,48707.4046018449
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,1995,218171.35319960816,239987.52359228744,194929.22256254204
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,1996,56220.5455727438,61678.63317162634,50904.53473494612
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,1996,226388.2674155636,248366.8338333261,204981.81411862452
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,1997,57861.60018836711,62759.2434263206,53036.54235203896
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,1997,233365.65885989662,253118.68569228478,213905.38127776704
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,1998,60071.37671578426,64878.209928206204,55252.90042679452
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,1998,245314.3992494955,264944.13750864833,225637.1139806053
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,1999,64150.44701228918,68821.73044578296,59506.01838464316
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,1999,264846.150801803,284131.61948182725,245671.55261903262
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2000,65915.59859873055,70535.14144843057,61253.5316472238
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2000,270336.37453218916,289282.2764511933,251216.0706240192
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2001,66776.41911264393,71792.22511947197,62095.84134962098
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2001,275479.44996388286,296171.65685739234,256170.19372036264
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2002,69717.4562291769,75900.6712126503,64155.594269095134
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2002,282687.440174926,307758.8829708816,260135.43376015656
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2003,71334.08328827679,77836.865166498,65153.878416517524
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2003,291113.85950171854,317651.6636312898,265892.4897189399
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2004,71460.81522196175,77906.4058386736,64780.66185146889
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2004,280735.12940556346,306056.7509160018,254492.02379461628
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2005,75289.0859507656,83277.01200182641,67933.88174969832
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2005,298671.1005064888,330359.1285162183,269493.0741638755
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2006,76519.89313594127,84105.36530324465,69125.71897284756
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2006,297168.9998834094,326627.57706145564,268453.338491846
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2007,80108.01797637723,87018.6755382943,73192.18760740315
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2007,304584.25271947286,330859.74326921254,278289.094281153
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2008,84891.46418860707,91464.0299126223,78083.6228278565
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2008,323564.3281581509,348615.7020871175,297616.1997196481
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2009,88262.15861007321,95161.09470693332,81225.09935745996
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2009,314609.4887644315,339200.6702246584,289525.9688422596
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2010,95185.35160875198,101818.94188894413,88551.65143260044
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2010,337000.2060004651,360486.18628171977,313513.8366366434
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2011,100796.65304555373,108275.85354298081,93581.80902974062
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2011,353157.89865912264,379362.52601046825,327879.48836680484
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2012,108849.82559285771,118031.08378988055,99775.0386941186
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2012,361571.85619925614,392069.6962321758,331427.68715058203
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2013,114500.96746236086,124952.94539716298,104391.64330790946
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2013,374297.15873620036,408464.0809105122,341250.3523063922
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2014,120427.03674969041,131969.391573584,108430.64791013754
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2014,378564.813442001,414848.4381040509,340853.92371495045
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2015,131821.8599307305,144541.68197221085,118386.16603344581
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2015,406226.6909839952,445424.52372987714,364822.8033750975
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2016,138517.17468633168,150961.02774171767,126079.38173709497
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2016,415054.10876234795,452340.9820411927,377785.3940401045
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2017,151295.66115956954,164969.5350782756,138109.36899539485
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2017,442996.6221194267,483033.989422941,404386.9036236114
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2018,158133.9499262146,172132.6140509097,145438.61467598708
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2018,453693.7992973176,493856.6303325469,417270.2805923436
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2019,163796.4945044901,176340.91815096783,151047.57935355915
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2019,457553.3618050915,492595.27908614674,421940.2126694949
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2020,171448.31925097972,183554.05614360236,159027.20371130228
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2020,475007.58339798637,508547.23459864204,440594.157233264
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2021,165648.9910232881,177817.96050444045,153424.52798283345
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2021,449171.2161939906,482168.4037283735,416023.55319115607
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2022,171131.20260256744,185797.25976555722,157288.95329967863
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2022,468726.3068579863,508896.4611351186,430812.5524071469
1,All Population,44,Population,102,United States of America,1,Male,235,95+ years,1,Number,2023,171169.6566494538,185059.77413238294,156055.6040002592
1,All Population,44,Population,102,United States of America,2,Female,235,95+ years,1,Number,2023,457417.13517689396,494535.73359369,417027.8115138473
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,1990,58382714.240072355,62739673.53166754,54385457.436091274
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,1990,52461127.55254273,56375360.97169398,48869392.90071316
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,1991,58409752.471515656,62772370.81532601,53551812.63775197
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,1991,52200344.06133984,56098284.17973282,47859050.80585351
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,1992,57602814.083594196,62182575.4022482,53031165.843065694
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,1992,51183616.21082702,55251936.038266905,47121504.16929855
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,1993,56022221.4862126,60939302.28358597,51220837.54475439
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,1993,49478593.32621365,53820053.8517178,45238134.380424015
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,1994,53800677.60805015,58881488.7656082,48867354.37774857
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,1994,47221554.37669416,51679550.43778132,42892292.49015452
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,1995,51256159.69092035,56298123.842558295,46096457.94407365
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,1995,44711044.29671888,49107520.00895543,40210620.822880924
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,1996,48844006.4307394,53736640.04951392,44366707.021427944
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,1996,42354267.769897126,46595068.14985088,38472277.43894257
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,1997,46639116.39730868,50822929.27555602,42194021.04575658
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,1997,40222452.49646425,43828916.68731774,36389220.683365375
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,1998,44601334.7490204,48227639.323021725,40915086.192371994
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,1998,38279976.11310377,41390637.52380719,35116154.41995203
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,1999,42736518.51996394,45863989.341826916,39546886.76039597
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,1999,36527056.858319275,39198507.0983625,33800889.33827007
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,2000,41112676.03268424,43983750.816392325,38241348.55165861
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,2000,35014083.839477785,37457798.351312585,32568641.09578675
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,2001,39817692.34345641,42701349.26692636,36924922.34188103
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,2001,33804428.30705339,36251206.22147094,31349240.280342773
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,2002,38889210.73203819,41879336.1104407,35825784.858940154
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,2002,32932552.621482216,35463196.84138805,30338446.341816112
1,All Population,44,Population,6,China,1,Male,1,<5 years,1,Number,2003,38294704.23640124,41552909.63157558,35144131.062144734
1,All Population,44,Population,6,China,2,Female,1,<5 years,1,Number,2003,32372714.849269066,35125408.692526884,29710034.168841787
