location_name,sex_name,measure_name,start_year,end_year,interval_label,count_start,count_end,population_growth,population_aging,rate_change,total_change,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total
China,Female,DALYs,1990,1991,1990-1991,981432.9910020108,1007781.9109643477,15568.0483852881,9885.286629606098,895.5849474379212,26348.91996233212,59.084199305109536,37.516857023885244,3.39894367100523
China,Female,DALYs,1991,1992,1991-1992,1007781.9109643477,1032726.1380429801,13131.671256911106,10774.297335676072,1038.2584860467857,24944.227078633965,52.64412970389878,43.193550562666346,4.162319733434869
China,Female,DALYs,1992,1993,1992-1993,1032726.1380429801,1056182.2109943265,11885.944235742229,10803.275042924175,766.8536726760407,23456.072951342445,50.673206296717154,46.0574754577828,3.2693182455000507
China,Female,DALYs,1993,1994,1993-1994,1056182.2109943265,1079475.369788965,11415.526294146975,9961.604488855888,1916.028011638167,23293.15879464103,49.00806453426705,42.766224094723114,8.225711371009846
China,Female,DALYs,1994,1995,1994-1995,1079475.369788965,1100100.8767746685,11146.70642284987,8876.543623961585,602.2569388910972,20625.506985702552,54.04330875636989,43.03672937646934,2.9199618671607794
China,Female,DALYs,1995,1996,1995-1996,1100100.8767746685,1119239.737729037,10803.37782880858,8253.94293631074,81.54018925079922,19138.860954370117,56.44733954944046,43.12661529852463,0.42604515203492577
China,Female,DALYs,1996,1997,1996-1997,1119239.737729037,1140186.1874182487,11090.7472712429,7588.573538569617,2267.128879401367,20946.449689213885,52.9481006843558,36.22844754678049,10.823451768863709
China,Female,DALYs,1997,1998,1997-1998,1140186.1874182487,1160107.5344157747,12755.228216689857,6140.414932678531,1025.703848156457,19921.346997524844,64.02794057186318,30.82329188604292,5.148767542093901
China,Female,DALYs,1998,1999,1998-1999,1160107.5344157747,1180708.5426507825,15442.956623341228,3739.6800524130617,1418.3715592530014,20601.00823500729,74.96213994565088,18.152898196789337,6.884961857559781
China,Female,DALYs,1999,2000,1999-2000,1180708.5426507825,1199983.9559180327,18344.16809971832,1130.6805014812076,-199.43533394493474,19275.413267254597,95.16874084812339,5.865920931521749,-1.0346617796451552
China,Female,DALYs,2000,2001,2000-2001,1199983.9559180327,1221037.8404404102,21084.21209567366,-1281.9630209172608,1251.6354476157576,21053.88452237216,100.1440474002281,-6.0889619659261855,5.944914565698087
China,Female,DALYs,2001,2002,2001-2002,1221037.8404404102,1240268.9853949975,22858.522598612275,-2416.376798876406,-1211.0008451406222,19231.14495459525,118.8619952300358,-12.564913865406734,-6.297081364629077
China,Female,DALYs,2002,2003,2002-2003,1240268.9853949975,1262266.23561388,23991.24098830344,-2347.886545018526,353.89577559265314,21997.25021887757,109.06472740722235,-10.673545655282041,1.6088182480596933
China,Female,DALYs,2003,2004,2003-2004,1262266.23561388,1284425.7626019863,24318.778761715086,-1594.0906288043673,-565.1611447981171,22159.5269881126,109.74412393712561,-7.193703320741058,-2.5504206163845273
China,Female,DALYs,2004,2005,2004-2005,1284425.7626019863,1308448.906931702,23463.914450974942,76.72334705541532,482.50653168236994,24023.144329712726,97.67212038914445,0.31937262667369065,2.008506984181866
China,Female,DALYs,2005,2006,2005-2006,1308448.906931702,1331106.1257858207,21294.118553560187,2306.975871682012,-943.8755711224318,22657.21885411977,93.983814565521,10.182078773814439,-4.165893339335453
China,Female,DALYs,2006,2007,2006-2007,1331106.1257858207,1355817.1416943453,19108.71810386388,4442.80005228729,1159.497752370662,24711.015908521833,77.3287434826751,17.97902631253273,4.692230204792179
China,Female,DALYs,2007,2008,2007-2008,1355817.1416943453,1378926.404489949,17122.976222027173,6565.396758561099,-579.1101849839712,23109.2627956043,74.09572678053667,28.410238858030244,-2.5059656385669125
China,Female,DALYs,2008,2009,2008-2009,1378926.404489949,1403686.0877886168,15294.024236756144,8142.684660829254,1322.974401083193,24759.68329866859,61.76987020499795,32.88686920024988,5.34326059475217
China,Female,DALYs,2009,2010,2009-2010,1403686.0877886168,1426225.7510279103,13530.614930224605,9127.25117592339,-118.20286685100292,22539.66323929699,60.03024440327274,40.49417721561339,-0.5244216188861287
China,Female,DALYs,2010,2011,2010-2011,1426225.7510279103,1447149.5036703497,11643.470419005374,9156.84122328984,123.44100014190191,20923.752642437117,55.647142355288274,43.762901329267905,0.5899563154438247
China,Female,DALYs,2011,2012,2011-2012,1447149.5036703497,1465875.8352964837,9749.761892326449,9068.648751051785,-92.07901724493907,18726.331626133295,52.064451740886035,48.427257041609515,-0.4917087824955495
China,Female,DALYs,2012,2013,2012-2013,1465875.8352964837,1481605.895186219,7916.8593986781,9218.052487925548,-1404.851996870789,15730.05988973286,50.32949304818286,58.60150916489674,-8.931002213079605
China,Female,DALYs,2013,2014,2013-2014,1481605.895186219,1496335.04906138,6193.59747542371,8691.521213748725,-155.9648140098434,14729.153875162592,42.04992036825564,59.008964719996726,-1.0588850882523742
China,Female,DALYs,2014,2015,2014-2015,1496335.04906138,1509712.2490609565,4682.7689547580285,8231.438785338503,462.9922594808353,13377.199999577366,35.005598741933845,61.53334618304701,3.4610550750191584
China,Female,DALYs,2015,2016,2015-2016,1509712.2490609565,1520415.2378718515,3483.796642983526,6428.225831993816,790.9663359185992,10702.988810895942,32.549755068761016,60.060100459506245,7.3901444717327305
China,Female,DALYs,2016,2017,2016-2017,1520415.2378718515,1528977.7525290959,2640.358013770776,4852.146830660175,1070.0098128147656,8562.514657245716,30.836245185711526,56.66731123845986,12.496443575828613
China,Female,DALYs,2017,2018,2017-2018,1528977.7525290959,1537919.4177549977,2519.964699752163,3715.2725345467916,2706.427991604316,8941.66522590327,28.182275181271965,41.5501189172678,30.267605901460236
