location_name,sex_name,measure_name,endpoint_population_growth,annual_chain_population_growth,endpoint_population_aging,annual_chain_population_aging,endpoint_rate_change,annual_chain_rate_change,endpoint_total_change,annual_chain_total_change,total_change_difference
China,Female,DALYs,403066.53482057096,407627.42935653724,149621.66926102445,148585.46631259276,14750.132649984094,11225.4410624495,567438.3367315795,567438.3367315795,0.0
United States of America,Female,DALYs,131647.50548356486,134907.13357807498,-18657.914685436477,-20891.775956212852,-33938.76329228763,-34964.53011602139,79050.82750584075,79050.82750584075,0.0
China,Female,Incidence,39629.766332045874,40888.60354079177,-22786.513207253636,-24145.80969185573,628.1138334895101,728.5731093457119,17471.366958281753,17471.366958281753,0.0
United States of America,Female,Incidence,10363.575191133306,10389.839176079418,-4422.401296093409,-4391.086670048667,-1862.0929838179588,-1919.6715948088126,4079.0809112219395,4079.0809112219395,0.0
China,Female,Prevalence,637194.2597419745,638978.6053835378,278108.3868250115,279454.4627208972,10525.633331598752,7395.211794149751,925828.2798985848,925828.2798985848,0.0
United States of America,Female,Prevalence,215130.11649674672,219048.2697452275,-24241.668315626954,-27285.28819165829,-49272.21450480206,-50146.747877251495,141616.23367631773,141616.23367631773,0.0
China,Male,DALYs,463192.9423425817,471020.80821740197,146922.76324567525,140932.41466262238,8916.85483251419,7079.337540746783,619032.5604207711,619032.5604207711,0.0
United States of America,Male,DALYs,154732.90489429448,157935.23103644824,-24599.399439680506,-28057.230173412816,-17339.53926056213,-17084.034668983593,112793.96619405184,112793.96619405184,0.0
China,Male,Incidence,48763.62238547604,49677.70709051877,-26290.97578510899,-27760.479400895332,-384.02168650600163,171.39722423760406,22088.624913861044,22088.624913861044,0.0
United States of America,Male,Incidence,13513.772394813857,13535.116771323797,-6004.215038771558,-5994.062756728325,-1094.899140511027,-1126.3957990642,6414.658215531272,6414.658215531272,0.0
China,Male,Prevalence,720518.881280536,729114.8569222036,273232.4824142592,266868.9121558562,6207.071067163178,3974.6656838986873,999958.4347619584,999958.4347619584,0.0
United States of America,Male,Prevalence,245909.17656189582,249948.13801993892,-31322.058012561814,-36151.267789674785,-22406.217190111638,-21615.96887104176,192180.90135922236,192180.90135922236,0.0
