location_name,sex_name,measure_name,age_name,age_midpoint,reference_age,reference_period,reference_cohort,fitted_rate,fitted_rate_lower,fitted_rate_upper,age_rr_vs_reference,age_rr_vs_reference_lower,age_rr_vs_reference_upper,age_rr_vs_reference_se
China,Female,DALYs,15-19 years,17.0,40-44 years,2004-2008,1959,109.32650162931046,80.91184031301539,147.71983818765014,0.3670887225847838,0.2847069576378736,0.4733081740149313,0.12966486595672122
China,Female,DALYs,20-24 years,22.0,40-44 years,2004-2008,1959,211.14175296745086,156.37021862753775,285.0980208217032,0.7089567051540381,0.5511633528355919,0.9119249442057834,0.1284506268688448
China,Female,DALYs,25-29 years,27.0,40-44 years,2004-2008,1959,268.80937407594337,199.21161732211792,362.7222175213864,0.9025889265434801,0.7057758544982616,1.154285408216552,0.1254946522355913
China,Female,DALYs,30-34 years,32.0,40-44 years,2004-2008,1959,294.94892229965785,218.85411448762912,397.50162782818984,0.9903584355223908,0.7748637202582344,1.2657836535223106,0.12519375746052186
China,Female,DALYs,35-39 years,37.0,40-44 years,2004-2008,1959,299.1117389190892,224.13896137957482,399.16234022200814,1.004336043992505,0.7864722283947404,1.282551185973016,0.12475741730426397
China,Female,DALYs,40-44 years,42.0,40-44 years,2004-2008,1959,297.82037666400964,222.7268319855249,398.2321122497581,0.8494191135438105,0.7037273918459964,1.0252731935883612,0.09600085018241927
China,Female,DALYs,45-49 years,47.0,40-44 years,2004-2008,1959,291.7483018045935,217.26142858817158,391.77258549287757,0.9796116205095448,0.7629025892822767,1.257878712851329,0.12756420021545553
China,Female,DALYs,50-54 years,52.0,40-44 years,2004-2008,1959,285.3887126618778,212.08289362936858,384.03246919639986,0.9582578460836586,0.7420462248845202,1.2374675172342466,0.1304619149193242
China,Female,DALYs,55-59 years,57.0,40-44 years,2004-2008,1959,279.7497650137137,206.66635595107604,378.67765493360935,0.9393237902231165,0.7216049506306349,1.2227316097374668,0.13453184435397744
China,Female,DALYs,60-64 years,62.0,40-44 years,2004-2008,1959,273.78829487780655,201.00855228843486,372.91960744303924,0.9193067913774237,0.7002276037055843,1.206928964525644,0.1388849326787411
China,Female,DALYs,65-69 years,67.0,40-44 years,2004-2008,1959,261.1754882488546,188.53086602420262,361.81150121736994,0.8769564096801326,0.6630377825035493,1.159892489950151,0.14266597525020475
United States of America,Female,DALYs,15-19 years,17.0,40-44 years,2004-2008,1959,166.6294016410875,122.87262626191566,225.96861755100875,0.37895971042204674,0.29122819685801726,0.49312004700278417,0.13434834335318677
United States of America,Female,DALYs,20-24 years,22.0,40-44 years,2004-2008,1959,367.5239852603004,271.01456718481177,498.40080975980584,0.8358475854543136,0.6428643157076658,1.0867630525435854,0.13393499898228595
United States of America,Female,DALYs,25-29 years,27.0,40-44 years,2004-2008,1959,449.982807281848,332.0075376810259,609.8793065469149,1.0233809439568955,0.7900962038811554,1.3255456124323317,0.13199610242785337
United States of America,Female,DALYs,30-34 years,32.0,40-44 years,2004-2008,1959,464.7942195580381,343.0389287001823,629.7642875493591,1.0570660466569377,0.8170824200249701,1.3675347793687445,0.13138392747657412
United States of America,Female,DALYs,35-39 years,37.0,40-44 years,2004-2008,1959,455.6804093124105,340.40138415807075,609.9993862971572,1.0363388109019667,0.803583854312569,1.3365103407913304,0.12977952339907217
United States of America,Female,DALYs,40-44 years,42.0,40-44 years,2004-2008,1959,439.7021558189197,328.6728488969332,588.2383850101149,0.8506674059586989,0.7010049554225305,1.0322823397508383,0.09872768815506702
United States of America,Female,DALYs,45-49 years,47.0,40-44 years,2004-2008,1959,420.3670496475452,313.93115759550415,562.8891945063575,0.9560268106137346,0.7391875040502384,1.2364755323977326,0.13124201109313718
United States of America,Female,DALYs,50-54 years,52.0,40-44 years,2004-2008,1959,400.40496774695833,298.4738128023273,537.1464139221551,0.9106277111633159,0.7016110567317222,1.1819124290904959,0.13303824181480464
United States of America,Female,DALYs,55-59 years,57.0,40-44 years,2004-2008,1959,381.8595358966777,283.6384075308043,514.0936533406176,0.8684504518416257,0.6658996229984878,1.1326124257403831,0.13549570960303559
United States of America,Female,DALYs,60-64 years,62.0,40-44 years,2004-2008,1959,362.5087248485475,268.06331069576953,490.22962243595765,0.8244415453760874,0.6285314294127742,1.0814158686975233,0.13842867787128607
United States of America,Female,DALYs,65-69 years,67.0,40-44 years,2004-2008,1959,335.3043002489363,243.82788506479608,461.0997373641302,0.7625714266159362,0.5777071270256203,1.0065916681434242,0.14164751976342277
China,Female,Incidence,15-19 years,17.0,40-44 years,2004-2008,1959,24.631363893036777,21.3955036409407,28.356616297185745,1.095249940393688,0.9724457275483649,1.2335623448689748,0.06067530892057649
China,Female,Incidence,20-24 years,22.0,40-44 years,2004-2008,1959,32.58993057117584,28.317488453593725,37.50698358629583,1.4491328888858408,1.2880834520980935,1.630318382112636,0.06010711852284118
China,Female,Incidence,25-29 years,27.0,40-44 years,2004-2008,1959,28.959070471936737,25.170495907096345,33.31788796271444,1.2876842852056503,1.1476847255624356,1.4447615982281203,0.058723901313532195
China,Female,Incidence,30-34 years,32.0,40-44 years,2004-2008,1959,25.05000167674092,21.78544830860002,28.80374895737216,1.1138649472459123,0.993037376534504,1.2493941819520524,0.058583100771340456
China,Female,Incidence,35-39 years,37.0,40-44 years,2004-2008,1959,23.17625920601351,20.248972407278604,26.526728368262695,1.0305477449062774,0.9191258431589876,1.1554768723304274,0.058378919988982134
China,Female,Incidence,40-44 years,42.0,40-44 years,2004-2008,1959,22.48926293863392,19.63042693822509,25.764439515992656,1.0922137702487238,1.000158360185484,1.1927420370707074,0.04492258715171516
China,Female,Incidence,45-49 years,47.0,40-44 years,2004-2008,1959,23.251327699049845,20.255337122149545,26.690458742225573,1.0338857152631173,0.9197322233587168,1.162207482871049,0.059692324502633454
China,Female,Incidence,50-54 years,52.0,40-44 years,2004-2008,1959,23.921105638054637,20.818492274068205,27.48610645833048,1.0636678357724643,0.9437146177536638,1.1988680090067254,0.061048279591343485
China,Female,Incidence,55-59 years,57.0,40-44 years,2004-2008,1959,24.52992568428983,21.289340885695708,28.263780325913014,1.09073942312935,0.9641276521070381,1.2339781838727557,0.06295276022231806
China,Female,Incidence,60-64 years,62.0,40-44 years,2004-2008,1959,23.27063378518463,20.137732831805526,26.890931630044076,1.0347441731942406,0.9109878908517961,1.1753125532308735,0.06498974207484016
