location_name,sex_name,measure_name,age_name,age_midpoint,period_start,period_end,period_label,period_midpoint,period_years,cohort_label,cohort_midpoint,count_value,population_sum,burden_total_sum,rate_value,percent_value
China,Female,DALYs,15-19 years,17.0,1990,1993,1990-1993,1991.5,4,1974,1974.5,122583.06264220987,230182031.4229906,31891068.517621953,53.254835698685326,0.0038438054395848954
China,Female,DALYs,20-24 years,22.0,1990,1993,1990-1993,1991.5,4,1970,1969.5,406579.0260496016,252683573.82941523,42695912.01928471,160.90441491225704,0.009522668724489588
China,Female,DALYs,25-29 years,27.0,1990,1993,1990-1993,1991.5,4,1964,1964.5,588286.7199486364,235509700.2334087,41820665.265658274,249.7929891488961,0.014066890524377136
China,Female,DALYs,30-34 years,32.0,1990,1993,1990-1993,1991.5,4,1960,1959.5,507238.67844805587,171426320.8372258,33020413.299247384,295.8931137125048,0.015361366735516212
China,Female,DALYs,35-39 years,37.0,1990,1993,1990-1993,1991.5,4,1954,1954.5,573929.8630012225,181361268.8186637,38578291.62900477,316.45668710835577,0.014877016030687012
China,Female,DALYs,40-44 years,42.0,1990,1993,1990-1993,1991.5,4,1950,1949.5,455845.6309677111,141414799.68214184,35479685.88092198,322.3464814095241,0.01284807403587603
China,Female,DALYs,45-49 years,47.0,1990,1993,1990-1993,1991.5,4,1944,1944.5,334239.5431658637,104199071.15201613,32619827.232838377,320.7701752717558,0.010246514819961548
China,Female,DALYs,50-54 years,52.0,1990,1993,1990-1993,1991.5,4,1940,1939.5,286660.1880606947,90473970.32097358,36679799.31782185,316.84271956200587,0.007815206009630845
China,Female,DALYs,55-59 years,57.0,1990,1993,1990-1993,1991.5,4,1934,1934.5,265738.46699621005,85114326.78410554,44128958.526499726,312.21355679668574,0.006021861287223273
China,Female,DALYs,60-64 years,62.0,1990,1993,1990-1993,1991.5,4,1930,1929.5,214296.15075053388,71210697.81013308,49494425.97844735,300.93252466350657,0.004329702719329455
China,Female,DALYs,65-69 years,67.0,1990,1993,1990-1993,1991.5,4,1924,1924.5,155692.92962401797,57645742.186196625,51927976.084626935,270.08574045439025,0.0029982475991416546
China,Female,DALYs,15-19 years,17.0,1994,1998,1994-1998,1996.0,5,1979,1979.0,129763.64723072597,242527348.0980528,29588659.78505813,53.504748329769,0.004385587186894313
China,Female,DALYs,20-24 years,22.0,1994,1998,1994-1998,1996.0,5,1974,1974.0,450635.88346639596,277180223.3504122,41658587.295471385,162.57865659365623,0.010817358742152632
China,Female,DALYs,25-29 years,27.0,1994,1998,1994-1998,1996.0,5,1969,1969.0,772530.8374211511,308978730.38093084,50955564.92166885,250.02719004920513,0.015160872784134955
China,Female,DALYs,30-34 years,32.0,1994,1998,1994-1998,1996.0,5,1964,1964.0,843043.1709689319,285587416.1163933,51004226.56037028,295.19618981578066,0.01652888844360924
China,Female,DALYs,35-39 years,37.0,1994,1998,1994-1998,1996.0,5,1959,1959.0,665564.175795372,210141763.53976008,41198577.27406411,316.7215143644891,0.01615502815468259
China,Female,DALYs,40-44 years,42.0,1994,1998,1994-1998,1996.0,5,1954,1954.0,698891.1776952285,216168736.62148356,49923027.99011299,323.30816593474526,0.013999374754144329
China,Female,DALYs,45-49 years,47.0,1994,1998,1994-1998,1996.0,5,1949,1949.0,546523.7476425073,168431811.5245526,47929830.92587606,324.47774722344514,0.011402580336402846
China,Female,DALYs,50-54 years,52.0,1994,1998,1994-1998,1996.0,5,1944,1944.0,397659.21471323416,124351803.3616406,45542819.3916369,319.78564360402515,0.00873154582929174
China,Female,DALYs,55-59 years,57.0,1994,1998,1994-1998,1996.0,5,1939,1939.0,336828.87435936875,107330251.07036626,50251804.24942018,313.824733474761,0.006702821508408928
China,Female,DALYs,60-64 years,62.0,1994,1998,1994-1998,1996.0,5,1934,1934.0,299038.0116143348,98569219.0224772,62081635.840436086,303.3786962907191,0.004816851353320175
China,Female,DALYs,65-69 years,67.0,1994,1998,1994-1998,1996.0,5,1929,1929.0,216868.58713696737,79422860.68942578,65257609.03281849,273.05562309699184,0.003323268969721258
China,Female,DALYs,15-19 years,17.0,1999,2003,1999-2003,2001.0,5,1984,1984.0,145911.1717590033,270089638.81817377,28068044.929140717,54.02323924659388,0.005198480055428295
China,Female,DALYs,20-24 years,22.0,1999,2003,1999-2003,2001.0,5,1979,1979.0,380143.5918223408,233265107.9187872,29784037.967172228,162.96633269073843,0.012763332904736845
China,Female,DALYs,25-29 years,27.0,1999,2003,1999-2003,2001.0,5,1974,1974.0,694312.7776310812,276039084.9436683,40805496.21684511,251.526981323232,0.0170151779049916
China,Female,DALYs,30-34 years,32.0,1999,2003,1999-2003,2001.0,5,1969,1969.0,915529.9477357517,308153140.087095,50378243.445338495,297.10226138763034,0.01817312167164228
China,Female,DALYs,35-39 years,37.0,1999,2003,1999-2003,2001.0,5,1964,1964.0,899750.9105872542,282204424.25251806,51258509.075827375,318.8294843252182,0.017553200957449642
China,Female,DALYs,40-44 years,42.0,1999,2003,1999-2003,2001.0,5,1959,1959.0,659595.579271024,202613906.72692263,43548162.1375117,325.543093229039,0.015146347099292596
China,Female,DALYs,45-49 years,47.0,1999,2003,1999-2003,2001.0,5,1954,1954.0,683388.8904487959,210082765.8996805,55188354.365356766,325.29507478739606,0.012382845951967317
China,Female,DALYs,50-54 years,52.0,1999,2003,1999-2003,2001.0,5,1949,1949.0,528882.4279509572,164574392.68913186,55118596.38917032,321.3637427482262,0.009595353702709161
China,Female,DALYs,55-59 years,57.0,1999,2003,1999-2003,2001.0,5,1944,1944.0,370523.45883448666,118337484.42794827,50149678.6811896,313.10743221019374,0.007388351602210057
China,Female,DALYs,60-64 years,62.0,1999,2003,1999-2003,2001.0,5,1939,1939.0,305136.7704006841,101409383.16292758,57807798.71909946,300.8959929382881,0.005278470676308042
China,Female,DALYs,65-69 years,67.0,1999,2003,1999-2003,2001.0,5,1934,1934.0,241972.37777205594,88977305.44212005,66805987.06750724,271.9484216449548,0.003622016355024343
China,Female,DALYs,15-19 years,17.0,2004,2008,2004-2008,2006.0,5,1989,1989.0,159331.21275275885,302382382.46185595,27360541.560101267,52.69196289001979,0.005823393970574942
China,Female,DALYs,20-24 years,22.0,2004,2008,2004-2008,2006.0,5,1984,1984.0,437009.4240414293,269616535.5219867,28935315.618690453,162.08554241503188,0.015102977613942036
