location_name,sex_name,measure_name,age_name,age_midpoint,local_drift,local_drift_lower,local_drift_upper
China,Female,DALYs,15-19 years,17.0,-0.1503551880365106,-0.20394068605500415,-0.09674091728272272
China,Female,DALYs,20-24 years,22.0,-0.0674143486150025,-0.09848763573200303,-0.03633139648743233
China,Female,DALYs,25-29 years,27.0,-0.008200559417970155,-0.02764168892952501,0.011244350713779383
China,Female,DALYs,30-34 years,32.0,0.02979197430925673,0.012960306559106627,0.04662647474269477
China,Female,DALYs,35-39 years,37.0,0.038739907638762894,0.026619988796761085,0.05086129501417069
China,Female,DALYs,40-44 years,42.0,0.037369615497606645,0.028667727461795245,0.04607226054493818
China,Female,DALYs,45-49 years,47.0,0.036799129347731,0.02504336125317419,0.04855627907711657
China,Female,DALYs,50-54 years,52.0,0.06120884066098675,0.04889680468196378,0.07352239176148245
China,Female,DALYs,55-59 years,57.0,0.08627218290837568,0.07649732042944724,0.0960480001362729
China,Female,DALYs,60-64 years,62.0,0.09630377014253622,0.07867915989849816,0.11393148421336985
China,Female,DALYs,65-69 years,67.0,0.12593637080526854,0.10897907572104959,0.14289653825778625
United States of America,Female,DALYs,15-19 years,17.0,-0.2936748375419129,-0.37091411684515574,-0.2163756770682812
United States of America,Female,DALYs,20-24 years,22.0,-0.4727998725662652,-0.5852904269631143,-0.36018203192692555
United States of America,Female,DALYs,25-29 years,27.0,-0.432692349075825,-0.5329440055893198,-0.33233965011632005
United States of America,Female,DALYs,30-34 years,32.0,-0.35129112139294927,-0.4295961872623266,-0.2729244741388803
United States of America,Female,DALYs,35-39 years,37.0,-0.2926427602394366,-0.3587884099063743,-0.22645320055877383
United States of America,Female,DALYs,40-44 years,42.0,-0.24158055946150725,-0.2973078951396535,-0.1858220758185758
United States of America,Female,DALYs,45-49 years,47.0,-0.19920066651361035,-0.2460077896495383,-0.15237158027897602
United States of America,Female,DALYs,50-54 years,52.0,-0.17755664665942694,-0.2119266909836326,-0.14317476424767772
United States of America,Female,DALYs,55-59 years,57.0,-0.15646935656741245,-0.1872097967773878,-0.1257194488867519
United States of America,Female,DALYs,60-64 years,62.0,-0.14830821890855495,-0.16859764399403954,-0.1280146702631546
United States of America,Female,DALYs,65-69 years,67.0,-0.17012622094807472,-0.18300797821237946,-0.1572428012446836
China,Female,Incidence,15-19 years,17.0,-0.11513979799558927,-0.15356180728007818,-0.07670300349867931
China,Female,Incidence,20-24 years,22.0,0.007797562584554996,-0.011124798200246033,0.026723504325087966
China,Female,Incidence,25-29 years,27.0,0.07689273937641072,0.04770509521403454,0.10608889866232651
China,Female,Incidence,30-34 years,32.0,0.059279188684358,0.027265059932957136,0.09130356368651782
China,Female,Incidence,35-39 years,37.0,0.04185495986908094,0.029479465017812068,0.05423198579770361
China,Female,Incidence,40-44 years,42.0,0.01637411323636151,-0.0018207159342087387,0.034572252985287655
China,Female,Incidence,45-49 years,47.0,0.011209284625501859,-0.006209713727667321,0.02863131738213287
China,Female,Incidence,50-54 years,52.0,0.009358734468212226,-0.010192303046152595,0.028913594802904008
China,Female,Incidence,55-59 years,57.0,0.00965665958425621,-0.020563796533001888,0.03988625033961579
China,Female,Incidence,60-64 years,62.0,-0.0030766396364123594,-0.035827704820579065,0.029685155714820333
China,Female,Incidence,65-69 years,67.0,0.006634174052200237,-0.02909066224836554,0.0423717767058962
United States of America,Female,Incidence,15-19 years,17.0,-0.46069601725872156,-0.5688321207239833,-0.35244231066035026
United States of America,Female,Incidence,20-24 years,22.0,-0.4776262482047544,-0.5836260761418632,-0.3715134010226273
United States of America,Female,Incidence,25-29 years,27.0,-0.2740601070033044,-0.32682426051034996,-0.22126802164924575
United States of America,Female,Incidence,30-34 years,32.0,-0.041960344038349806,-0.07787759583294251,-0.006030181699567816
