location_name,sex_name,measure_name,period_label,period_midpoint,reference_period,period_rr,period_rr_lower,period_rr_upper
China,Female,DALYs,1990-1993,1991.5,2004-2008,0.9665233062281142,0.7619952461047067,1.2259489888651616
China,Female,DALYs,1994-1998,1996.0,2004-2008,0.9701827115283628,0.7760428866399115,1.2128897899237805
China,Female,DALYs,1999-2003,2001.0,2004-2008,0.9873592194303072,0.7924610273895604,1.2301907532353538
China,Female,DALYs,2004-2008,2006.0,2004-2008,1.012340092968618,0.8483586269465228,1.208017967024589
China,Female,DALYs,2009-2013,2011.0,2004-2008,1.0297682594324604,0.8307054410940895,1.2765327102443416
China,Female,DALYs,2014-2018,2016.0,2004-2008,1.0600854058303975,0.8545693975187209,1.3150261066187783
China,Female,DALYs,2019-2023,2021.0,2004-2008,1.0781114407428363,0.8677335130499368,1.3394945120596076
United States of America,Female,DALYs,1990-1993,1991.5,2004-2008,1.0033196587198556,0.7853614717696493,1.2817668981207462
United States of America,Female,DALYs,1994-1998,1996.0,2004-2008,0.9942983143403428,0.7896060721061349,1.2520536161317166
United States of America,Female,DALYs,1999-2003,2001.0,2004-2008,0.9951563375125959,0.7926096673314058,1.2494626004572873
United States of America,Female,DALYs,2004-2008,2006.0,2004-2008,0.9897542373112844,0.8251448463209239,1.1872018041964973
United States of America,Female,DALYs,2009-2013,2011.0,2004-2008,0.9928895513631077,0.7943360658489284,1.2410737766923006
United States of America,Female,DALYs,2014-2018,2016.0,2004-2008,0.9719466125868355,0.7777501009243994,1.2146320734593525
United States of America,Female,DALYs,2019-2023,2021.0,2004-2008,0.9711826139668533,0.7765728630529909,1.2145617166732354
China,Female,Incidence,1990-1993,1991.5,2004-2008,1.0175520527966244,0.9104103212068761,1.137302770005991
China,Female,Incidence,1994-1998,1996.0,2004-2008,1.0224140726696478,0.9209832956864061,1.135015739035586
China,Female,Incidence,1999-2003,2001.0,2004-2008,1.0098230666582404,0.9110838397042333,1.1192632132363294
China,Female,Incidence,2004-2008,2006.0,2004-2008,0.9975420508295151,0.9183712549831438,1.0835379894282724
