location_name,sex_name,measure_name,model_year_start,model_year_end,n_age_groups,n_period_groups,n_cohort_groups,reference_age,reference_period,reference_cohort,ridge_alpha,net_drift,net_drift_lower,net_drift_upper
China,Female,DALYs,1990,2023,11,7,27,40-44 years,2004-2008,1959,5.0,0.014794355145686389,0.0045620211248653675,0.02502773612533815
United States of America,Female,DALYs,1990,2023,11,7,27,40-44 years,2004-2008,1959,5.0,-0.27893823584915767,-0.30214747943546616,-0.2557235892479026
China,Female,Incidence,1990,2023,11,7,27,40-44 years,2004-2008,1959,5.0,0.014255436584420522,0.00483084629496755,0.023680915059998142
United States of America,Female,Incidence,1990,2023,11,7,27,40-44 years,2004-2008,1959,5.0,-0.07748918264093296,-0.1069596219441804,-0.04801004897029282
China,Female,Prevalence,1990,2023,11,7,27,40-44 years,2004-2008,1959,5.0,-0.00030891915324682273,-0.009986206736933845,0.00936930502293265
United States of America,Female,Prevalence,1990,2023,11,7,27,40-44 years,2004-2008,1959,5.0,-0.27463556649924836,-0.2964883652806338,-0.2527779780689632
China,Male,DALYs,1990,2023,11,7,27,40-44 years,2004-2008,1959,5.0,0.006610290298936228,-0.0001739570563819015,0.01339499791515042
United States of America,Male,DALYs,1990,2023,11,7,27,40-44 years,2004-2008,1959,5.0,-0.12090986198999287,-0.13737423809394578,-0.10444277140022606
China,Male,Incidence,1990,2023,11,7,27,40-44 years,2004-2008,1959,5.0,0.007301873724840924,-0.0021817528089940197,0.016786399669999064
United States of America,Male,Incidence,1990,2023,11,7,27,40-44 years,2004-2008,1959,5.0,0.01530668675853164,-0.009763918858629594,0.04038357834210693
China,Male,Prevalence,1990,2023,11,7,27,40-44 years,2004-2008,1959,5.0,0.0067313861986217916,-9.628669579431204e-05,0.013559525264650318
United States of America,Male,Prevalence,1990,2023,11,7,27,40-44 years,2004-2008,1959,5.0,-0.10494443066535464,-0.12031684788699204,-0.089569647484955
