location_name,sex_name,measure_name,start_year,end_year,interval_label,count_start,count_end,population_growth,population_aging,rate_change,total_change,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total
China,Female,DALYs,1990,1995,1990-1995,981432.9910020108,1100100.8767746685,63234.301668838096,50275.86017052383,5157.723933290186,118667.88577265211,53.286785432399526,42.36686264626304,4.346351921337442
China,Female,DALYs,1995,2000,1995-2000,1100100.8767746685,1199983.9559180327,68091.00854295648,27211.299653472885,4580.770946941378,99883.07914337073,68.17071432611687,27.243152580843226,4.586133093039918
China,Female,DALYs,2000,2005,2000-2005,1199983.9559180327,1308448.906931702,115774.78564952473,-7637.964621868023,328.1299860135963,108464.9510136703,106.73935180677225,-7.0418734812366965,0.3025216744644458
China,Female,DALYs,2005,2010,2005-2010,1308448.906931702,1426225.7510279103,86675.61780592955,30161.436181346,939.7901089359463,117776.84409621148,73.59308909238946,25.608969583789516,0.7979413238210348
China,Female,DALYs,2010,2015,2010-2015,1426225.7510279103,1509712.2490609565,40278.92415963692,43977.15005643732,-769.5761830310028,83486.49803304323,48.24603391999371,52.67576325818762,-0.9217971781813284
China,Female,DALYs,2015,2020,2015-2020,1509712.2490609565,1547019.8911503556,16129.635304462166,15922.156999451807,5255.849785481115,37307.642089395085,43.234132207586256,42.67800404351411,14.087863748899641
China,Female,DALYs,2020,2023,2020-2023,1547019.8911503556,1548871.3277335828,17587.83352212088,-11999.657969352867,-3736.738969531454,1851.4365832365584,949.956033134821,-648.126869588796,-201.82916354602517
United States of America,Female,DALYs,1990,1995,1990-1995,385611.4138011097,402529.8924930821,18641.678525986732,509.28087259602034,-2232.480706608796,16918.478691973956,110.18531196206342,3.010204888206767,-13.195516850270195
United States of America,Female,DALYs,1995,2000,1995-2000,402529.8924930821,419365.43435965606,21160.26489828695,-2508.745612779293,-1815.9774189350237,16835.541866572632,125.68805367827905,-14.90148420919238,-10.786569469086647
United States of America,Female,DALYs,2000,2005,2000-2005,419365.43435965606,444192.88853158336,24574.224129657978,-2862.038158469901,3115.2682007397425,24827.45417192782,98.98004023885716,-11.527714999091538,12.547674760234372
United States of America,Female,DALYs,2005,2010,2005-2010,444192.88853158336,462076.5506884135,24658.45061288586,-3324.7495426328,-3450.0389134215266,17883.66215683153,137.8825566969591,-18.590988319261843,-19.291568377697278
United States of America,Female,DALYs,2010,2015,2010-2015,462076.5506884135,455515.21668237075,21051.788064143155,-3123.178100199468,-24489.943969987882,-6561.334006044199,-320.84615788116525,47.59974263347126,373.24641524769396
United States of America,Female,DALYs,2015,2020,2015-2020,455515.21668237075,461187.4528600073,16328.968082914664,-5559.860815180834,-5096.871090095597,5672.236177638231,287.87532062378995,-98.01885254883396,-89.85646807495591
United States of America,Female,DALYs,2020,2023,2020-2023,461187.4528600073,464662.2413069485,8375.126070781302,-4007.689505132837,-892.648118707691,3474.7884469407727,241.02549547022983,-115.33621589715005,-25.68927957307975
China,Female,Incidence,1990,1995,1990-1995,112468.84108020327,117567.90411227965,6996.634704244479,-2304.1331892188587,406.56151705190376,5099.0630320775235,137.21412463877354,-45.1873839315942,7.9732592928206545
China,Female,Incidence,1995,2000,1995-2000,117567.90411227965,120936.74077156157,7068.113387550833,-4040.633201884198,341.3564736143695,3368.8366592810053,209.8087293154589,-119.94149941204248,10.132770096583537
China,Female,Incidence,2000,2005,2000-2005,120936.74077156157,130432.59832797146,11606.6313248145,-2446.4313622161235,335.6575938067084,9495.857556405084,122.22836385098964,-25.763143009300645,3.534779158311013
China,Female,Incidence,2005,2010,2005-2010,130432.59832797146,138483.317303633,8525.737906878405,-202.619435740237,-272.3994954712859,8050.718975666881,105.9003293078203,-2.5167868404380993,-3.3835424673821963
China,Female,Incidence,2010,2015,2010-2015,138483.317303633,136893.25973886228,3779.8865485730007,-4616.43449738778,-753.5096159553261,-1590.0575647701044,-237.7201072666516,290.33128105995576,47.38882620669592
China,Female,Incidence,2015,2020,2015-2020,136893.25973886228,132123.269303477,1419.5502261614092,-6910.556372591388,721.0157110514992,-4769.9904353784805,-29.760022486266752,144.8756861509946,-15.11566366472786
China,Female,Incidence,2020,2023,2020-2023,132123.269303477,129940.2080384887,1488.698227585388,-3617.1406557205196,-54.618836865025514,-2183.0612650001567,-68.1931492923668,165.6912114063029,2.501937886063935
United States of America,Female,Incidence,1990,1995,1990-1995,31275.829779913412,31391.427982853333,1482.675538127384,-1376.1009600342616,9.023624846099363,115.59820293922166,1282.61123480175,-1190.4172599964875,7.806025194737443
United States of America,Female,Incidence,1995,2000,1995-2000,31391.427982853333,31959.566491476482,1631.2082585324686,-625.4778365960841,-437.591913314501,568.1385086218834,287.11453875732553,-110.09249102182618,-77.02204773549933
United States of America,Female,Incidence,2000,2005,2000-2005,31959.566491476482,34133.65937380946,1880.4566148743647,42.88192872154407,250.7543387368581,2174.0928823327667,86.49384900504641,1.9724055522196666,11.533745442733926
United States of America,Female,Incidence,2005,2010,2005-2010,34133.65937380946,35543.09823158608,1895.9347250788474,-261.7208516116455,-224.77501568923373,1409.4388577779682,134.5169898372078,-18.56915255084268,-15.94783728636514
United States of America,Female,Incidence,2010,2015,2010-2015,35543.09823158608,34941.351633816645,1617.0075544841518,-687.3366415690846,-1531.4175106839075,-601.7465977688407,-268.7190190155958,114.2236024462116,254.49541656938413
United States of America,Female,Incidence,2015,2020,2015-2020,34941.351633816645,34948.58132044505,1245.0420509229432,-1071.1263110194898,-166.6860532740187,7.229686629434582,17221.245051672664,-14815.667205526725,-2305.577846145938
United States of America,Female,Incidence,2020,2023,2020-2023,34948.58132044505,35354.91069113944,635.9591874245585,-430.7520790285755,201.12226229352257,406.3293706895056,156.51322136654585,-106.01056928216308,49.497347915617226
China,Female,Prevalence,1990,1995,1990-1995,1539185.4777092482,1718829.6304234315,98980.98881980032,80437.15570034483,226.00819403561763,179644.15271418076,55.09836380663168,44.7758273704142,0.1258088229541228
