location_name,sex_name,measure_name,count_1990_adult,count_2023_adult,population_growth,population_aging,rate_change,total_change,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total,chain_population_growth,chain_population_aging,chain_rate_change,chain_total_change,population_growth_difference,population_aging_difference,rate_change_difference,total_change_difference
China,Female,DALYs,981432.9910020108,1548871.3277335828,403066.53482057096,149621.66926102445,14750.132649984094,567438.3367315795,71.03265830472733,26.367916930470162,2.5994247648025026,407772.1066534688,147910.28047001094,11755.949608099763,567438.3367315795,4705.57183289784,-1711.388791013509,-2994.183041884331,0.0
United States of America,Female,DALYs,385611.4138011097,464662.2413069485,131647.50548356486,-18657.914685436477,-33938.76329228763,79050.82750584075,166.53526552120908,-23.602428050557624,-42.93283747065144,134790.50038465665,-20876.98086179911,-34862.69201701677,79050.82750584075,3142.9949010917917,-2219.066176362634,-923.9287247291431,0.0
China,Female,Incidence,112468.84108020327,129940.2080384887,39629.766332045874,-22786.513207253636,628.1138334895101,17471.366958281753,226.82693590418023,-130.42204002505028,3.5951041208700185,40885.25232580802,-24137.948714759106,724.0633472328434,17471.366958281753,1255.485993762144,-1351.43550750547,95.94951374333334,0.0
United States of America,Female,Incidence,31275.829779913412,35354.91069113944,10363.575191133306,-4422.401296093409,-1862.0929838179588,4079.0809112219395,254.06642860704542,-108.41661129905421,-45.64981730799121,10388.283929444719,-4409.632751137597,-1899.5702670851808,4079.0809112219395,24.708738311412162,12.768544955812104,-37.47728326722199,0.0
China,Female,Prevalence,1539185.4777092482,2465013.7576078335,637194.2597419745,278108.3868250115,10525.633331598752,925828.2798985848,68.82423809864316,30.038873607908748,1.1368882934480817,639333.7472855796,278498.986200855,7995.546412150259,925828.2798985848,2139.487543605035,390.5993758434779,-2530.086919448493,0.0
United States of America,Female,Prevalence,624851.7298002982,766467.9634766134,215130.11649674672,-24241.668315626954,-49272.21450480206,141616.23367631773,151.91063263866664,-17.11785978649484,-34.7927728521718,218940.4627129406,-27299.733475027162,-50024.495561595744,141616.23367631773,3810.346216193895,-3058.0651594002084,-752.2810567936831,0.0
China,Male,DALYs,1244646.2134439577,1863678.7738647286,463192.9423425817,146922.76324567525,8916.85483251419,619032.5604207711,74.82529546228366,23.734254486679724,1.4404500510366032,471195.55924797046,139924.85237436203,7912.148798438682,619032.5604207711,8002.616905388772,-6997.9108713132155,-1004.706034075507,0.0
United States of America,Male,DALYs,385181.7982555,497975.76444955164,154732.90489429448,-24599.399439680506,-17339.53926056213,112793.96619405184,137.18189909918627,-21.80914482372174,-15.37275427546454,157779.2797736611,-27939.35614342821,-17045.95743618107,112793.96619405184,3046.374879366631,-3339.9567037477027,293.58182438106087,0.0
China,Male,Incidence,149191.68386571287,171280.30877958256,48763.62238547604,-26290.97578510899,-384.02168650600163,22088.624913861044,220.76350418208202,-119.02495464355904,-1.738549538522973,49677.416272554554,-27725.5229921277,136.7316334341932,22088.624913861044,913.7938870785147,-1434.5472070187097,520.7533199401948,0.0
United States of America,Male,Incidence,35054.94300939488,41469.60122492642,13513.772394813857,-6004.215038771558,-1094.899140511027,6414.658215531272,210.6701860138721,-93.60148018851665,-17.068705825355433,13528.974825529403,-5983.609751579118,-1130.7068584190154,6414.658215531272,15.202430715546143,20.6052871924403,-35.80771790798826,0.0
China,Male,Prevalence,1920293.509529894,2920251.9442918487,720518.881280536,273232.4824142592,6207.071067163178,999958.4347619584,72.05488310642197,27.32438398595064,0.6207329076273836,729429.2568565862,265408.94942060154,5120.228484770709,999958.4347619584,8910.375576050254,-7823.532993657689,-1086.842582392469,0.0
United States of America,Male,Prevalence,606725.1570790269,798906.0584382518,245909.17656189582,-31322.058012561814,-22406.217190111638,192180.90135922236,127.95713560643843,-16.29821579097237,-11.65891981546605,249723.99422046082,-35972.05264287238,-21571.040218366077,192180.90135922236,3814.817658565007,-4649.994630310568,835.1769717455609,0.0
