location_name,sex_name,measure_name,metric_name,age_name,start_year,end_year,joinpoint_count,joinpoint_years,aapc,single_slope_eapc,single_slope_eapc_lower,single_slope_eapc_upper,bic,rss
China,Female,DALYs,Rate,Age-standardized,1990,2023,1,1998,0.04781272935103775,0.04060850997045229,0.0349157497173902,0.04630159418561597,-474.0060050493388,2.1963204597433552e-05
United States of America,Female,DALYs,Rate,Age-standardized,1990,2023,2,"2010,2015",-0.24909882956676288,-0.28446227702844107,-0.3491389673658474,-0.21974360938917803,-393.56896134091664,0.00021091336400186076
China,Female,Incidence,Rate,Age-standardized,1990,2023,2,"2004,2015",0.012491482494469963,0.0009739287218701875,-0.0067322203376796175,0.008680671668748197,-494.8548635516844,1.0723636546105282e-05
United States of America,Female,Incidence,Rate,Age-standardized,1990,2023,2,"2010,2015",-0.2096585637400339,-0.24932335575903464,-0.2974486662298048,-0.20117481573719287,-379.2694866038914,0.0003211859498375737
China,Female,Prevalence,Rate,Age-standardized,1990,2023,2,"2007,2018",0.023002204811639615,0.02806431117714503,0.025291524191839443,0.03083717502647687,-493.59571458058304,1.1128218854423019e-05
United States of America,Female,Prevalence,Rate,Age-standardized,1990,2023,2,"2010,2015",-0.23010964949635726,-0.27767961278087894,-0.33369872484767527,-0.22162901423492531,-395.95426838588224,0.00019662362384101936
China,Female,YLDs,Rate,Age-standardized,1990,2023,1,1998,0.04781272935103775,0.04060850997047449,0.0349157497174124,0.04630159418561597,-474.0060050493251,2.196320459744244e-05
United States of America,Female,YLDs,Rate,Age-standardized,1990,2023,2,"2010,2015",-0.24909882956676288,-0.28446227702840776,-0.34913896736582517,-0.21974360938915583,-393.5689613409623,0.0002109133640015774
China,Male,DALYs,Rate,Age-standardized,1990,2023,2,"1995,2000",0.036061830047295906,0.023624273118350025,0.017623530989552272,0.0296253752727349,-450.3668212515574,3.9682971274418577e-05
United States of America,Male,DALYs,Rate,Age-standardized,1990,2023,2,"2009,2017",-0.10908787107957174,-0.12194995523250318,-0.1532581079278117,-0.09063198548751039,-423.9876790625413,8.620940545525802e-05
China,Male,Incidence,Rate,Age-standardized,1990,2023,2,"2008,2014",0.0006223725618870191,-0.0018497000336514802,-0.008191475505259227,0.004492477652062732,-468.9489791592592,2.2974573499972217e-05
United States of America,Male,Incidence,Rate,Age-standardized,1990,2023,2,"2010,2017",-0.07561565297793393,-0.08402760032194534,-0.1062601498657112,-0.061790102657710566,-425.34929099702947,8.282515949654368e-05
China,Male,Prevalence,Rate,Age-standardized,1990,2023,2,"2003,2017",0.01514357827723245,0.0260412458739534,0.021017095133868402,0.031065648981920546,-467.7260688342485,2.3815962643066678e-05
United States of America,Male,Prevalence,Rate,Age-standardized,1990,2023,2,"2009,2018",-0.07924543417271446,-0.10356946308356374,-0.12956923081065552,-0.07756292670716425,-412.6677943090737,0.0001202673366829912
China,Male,YLDs,Rate,Age-standardized,1990,2023,2,"1995,2000",0.03606183004736252,0.023624273118350025,0.017623530989574476,0.02962537527277931,-450.36682125157796,3.968297127439457e-05
United States of America,Male,YLDs,Rate,Age-standardized,1990,2023,2,"2009,2017",-0.10908787107958284,-0.12194995523249208,-0.1532581079278117,-0.09063198548749929,-423.98767906253886,8.620940545526414e-05
