population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,1990,985172.0335053742,1242487.1003107172,724061.8199204785
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,1991,1011436.1272784362,1266525.3527745234,742653.8404849282
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,1992,1036332.3431222596,1303220.3841529484,759392.7226235648
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,1993,1059790.351579751,1340647.9102757834,772267.687373684
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,1994,1083146.591338219,1366320.9233838802,795245.0245639972
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,1995,1103897.208247424,1402373.320494269,800480.1914534504
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,1996,1123219.5494364696,1421372.080934906,816430.0475707091
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,1997,1144375.078948638,1454375.810868644,835499.5408910832
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,1998,1164481.0154456424,1467862.106224509,855109.6889579082
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,1999,1185195.480185652,1495235.971713607,873460.0618003544
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,2000,1204475.90380352,1518268.100500359,881688.5398412847
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,2001,1225400.5721338952,1536385.4831328443,902711.2156783196
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,2002,1244409.3758125375,1555722.0584068547,915905.8662105922
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,2003,1266129.1731282822,1593141.6098386652,938008.9194173455
1,All Population,2,DALYs,6,China,2,Female,22,All ages,559,Schizophrenia,1,Number,2004,1287991.455718933,1622646.7760895027,941627.06062796
