window,location_name,sex_name,age_lower,period_start,events,population
1994_2023,China,Female,10,1994,17279.68202068833,269624940.28498524
1994_2023,China,Female,10,1999,18430.854274112935,287547903.9977516
1994_2023,China,Female,10,2004,13364.746568674493,215213129.33324507
1994_2023,China,Female,10,2009,10405.628111520875,170979253.76550967
1994_2023,China,Female,10,2014,10630.359969158435,173637222.2861553
1994_2023,China,Female,10,2019,12362.441219165134,201118403.00707868
1994_2023,China,Female,15,1994,65878.38209123383,242527348.09805286
1994_2023,China,Female,15,1999,73611.92316089947,270089638.8181737
1994_2023,China,Female,15,2004,80706.87325318827,302382382.4618558
1994_2023,China,Female,15,2009,59475.0720842501,226612677.11389786
1994_2023,China,Female,15,2014,46089.28966468199,176021283.67355502
1994_2023,China,Female,15,2019,46367.891329640144,175295140.0224603
1994_2023,China,Female,20,1994,116755.96098424609,277180223.35041225
1994_2023,China,Female,20,1999,98989.86368157879,233265107.91878718
1994_2023,China,Female,20,2004,114257.92088093227,269616535.52198684
1994_2023,China,Female,20,2009,128967.54772896612,304524092.73245245
1994_2023,China,Female,20,2014,93300.26386874486,222435645.53801268
1994_2023,China,Female,20,2019,72841.15495805762,173010032.04828298
1994_2023,China,Female,25,1994,103469.7288915456,308978730.38093084
1994_2023,China,Female,25,1999,93853.36739371996,276039084.94366837
1994_2023,China,Female,25,2004,80777.34150871182,235561075.7121193
1994_2023,China,Female,25,2009,93293.49820139614,270985531.92668825
1994_2023,China,Female,25,2014,101716.31266298052,295092497.31285363
1994_2023,China,Female,25,2019,70854.65475986843,208017806.1240198
1994_2023,China,Female,30,1994,75342.65952230222,285587416.1163933
1994_2023,China,Female,30,1999,82630.21912089514,308153140.08709496
1994_2023,China,Female,30,2004,75451.72026235457,279146855.10048306
1994_2023,China,Female,30,2009,64065.46601132834,237854241.40281895
1994_2023,China,Female,30,2014,72695.51948215612,267743419.97628292
1994_2023,China,Female,30,2019,76632.14497331204,286173265.9956433
1994_2023,China,Female,35,1994,48400.05554660326,210141763.53976008
1994_2023,China,Female,35,1999,65044.59550826707,282204424.2525181
1994_2023,China,Female,35,2004,71045.9735296485,307166596.4732847
1994_2023,China,Female,35,2009,64206.359011995315,277394763.72455376
1994_2023,China,Female,35,2014,54219.00170855586,232173910.55011278
1994_2023,China,Female,35,2019,59942.246994217,258604707.3790096
1994_2023,China,Female,40,1994,47043.39190988744,216168736.6214835
1994_2023,China,Female,40,1999,43680.42265379406,202613906.72692266
1994_2023,China,Female,40,2004,60047.23256981004,277698221.1149844
1994_2023,China,Female,40,2009,65856.40780944313,303571794.3771086
1994_2023,China,Female,40,2014,59197.72050215213,272048942.68718094
1994_2023,China,Female,40,2019,49082.736777545986,226035787.20401463
1994_2023,China,Female,45,1994,38031.63706092866,168431811.5245526
1994_2023,China,Female,45,1999,46949.916566709566,210082765.89968053
1994_2023,China,Female,45,2004,44896.84791820413,200075259.34456038
1994_2023,China,Female,45,2009,62124.45172994579,276439806.71277773
1994_2023,China,Female,45,2014,67412.07038761147,301079131.01164305
1994_2023,China,Female,45,2019,60601.348199538406,269308542.12932324
1994_2023,China,Female,50,1994,28893.437870465263,124351803.36164068
1994_2023,China,Female,50,1999,38095.55959403299,164574392.68913192
1994_2023,China,Female,50,2004,48479.51264998366,208188328.74385858
1994_2023,China,Female,50,2009,46333.007723730305,199474996.8079333
1994_2023,China,Female,50,2014,63409.16243522205,274824207.8675048
1994_2023,China,Female,50,2019,69505.51214447773,298257808.35771906
1994_2023,China,Female,55,1994,25896.81650151505,107330251.07036625
1994_2023,China,Female,55,1999,28084.111590056113,118337484.4279483
1994_2023,China,Female,55,2004,38462.949936317826,159498061.496709
1994_2023,China,Female,55,2009,48852.708279208375,203438117.86534983
1994_2023,China,Female,55,2014,46269.132630953114,195137911.1357144
1994_2023,China,Female,55,2019,65123.82615672221,269576872.6146301
1994_2023,China,Female,60,1994,21169.978646348245,98569219.02247716
1994_2023,China,Female,60,1999,21501.36126924151,101409383.16292754
1994_2023,China,Female,60,2004,24357.173192763144,114471072.00671199
1994_2023,China,Female,60,2009,33261.88277991301,155894787.68381175
1994_2023,China,Female,60,2014,41819.76509250933,198615833.3088985
1994_2023,China,Female,60,2019,40875.46449988915,190258226.47877735
1994_2023,China,Female,65,1994,12188.663231092245,79422860.68942583
1994_2023,China,Female,65,1999,13482.541780978216,88977305.44212008
1994_2023,China,Female,65,2004,14326.164343192268,93771871.83554113
1994_2023,China,Female,65,2009,16380.600727952522,108345083.55283177
1994_2023,China,Female,65,2014,22349.95155773539,148499652.15076858
1994_2023,China,Female,65,2019,29314.291124982912,190711524.93917972
1994_2023,China,Male,10,1994,20959.261181874666,290895688.006566
1994_2023,China,Male,10,1999,22715.982785615608,314641448.28331536
1994_2023,China,Male,10,2004,17012.678458084007,243778472.7181506
1994_2023,China,Male,10,2009,13851.643405479494,199407344.59056306
1994_2023,China,Male,10,2014,14191.248305444395,203330016.7593913
1994_2023,China,Male,10,2019,16164.912737206074,230176164.9974368
1994_2023,China,Male,15,1994,83325.54824741658,254993660.90354675
1994_2023,China,Male,15,1999,91629.45549576652,283384216.50349003
1994_2023,China,Male,15,2004,102154.57481703899,317689852.4225949
1994_2023,China,Male,15,2009,78853.43936879914,247558661.53252834
1994_2023,China,Male,15,2014,64608.51617322589,200763628.17393932
1994_2023,China,Male,15,2019,65386.88156812549,202729690.04219913
1994_2023,China,Male,20,1994,156106.12046168465,290754722.69427276
1994_2023,China,Male,20,1999,127359.97232138395,239806950.99334234
1994_2023,China,Male,20,2004,146615.98405909492,272823739.1536675
1994_2023,China,Male,20,2009,164896.8743020959,309228856.3356999
1994_2023,China,Male,20,2014,127363.36625991928,239283207.79312164
1994_2023,China,Male,20,2019,103941.7536006764,195834593.82530308
1994_2023,China,Male,25,1994,145035.1391488429,333919827.55217385
1994_2023,China,Male,25,1999,125914.18833328356,288125301.72059166
1994_2023,China,Male,25,2004,106163.8934421193,241363465.25107664
1994_2023,China,Male,25,2009,119435.75445676819,272406270.67460907
1994_2023,China,Male,25,2014,132442.32905035376,303369202.9959964
