window,location_name,sex_name,measure_name,age_midpoint,local_drift
1994_2023,China,Female,Incidence,12.5,-0.132690175554373
1994_2023,China,Female,Incidence,17.5,-0.102139367246479
1994_2023,China,Female,Incidence,22.5,-0.0573175694703942
1994_2023,China,Female,Incidence,27.5,0.0089416195838687
1994_2023,China,Female,Incidence,32.5,0.0688499791017483
1994_2023,China,Female,Incidence,37.5,0.0789252419656217
1994_2023,China,Female,Incidence,42.5,0.0504444500271539
1994_2023,China,Female,Incidence,47.5,0.0149370568037543
1994_2023,China,Female,Incidence,52.5,0.0082678495968879
1994_2023,China,Female,Incidence,57.5,-0.0026146684745875
1994_2023,China,Female,Incidence,62.5,-0.0121048616736896
1994_2023,China,Female,Incidence,67.5,-0.0346676704636506
1994_2023,China,Male,Incidence,12.5,-0.0477897495918089
1994_2023,China,Male,Incidence,17.5,-0.0415277692527916
1994_2023,China,Male,Incidence,22.5,-0.0450123036850103
1994_2023,China,Male,Incidence,27.5,-0.0152328827159209
1994_2023,China,Male,Incidence,32.5,0.0423691260567738
1994_2023,China,Male,Incidence,37.5,0.0732529796352299
1994_2023,China,Male,Incidence,42.5,0.0639040066221952
1994_2023,China,Male,Incidence,47.5,0.0345846369795177
1994_2023,China,Male,Incidence,52.5,-0.004594842777672
1994_2023,China,Male,Incidence,57.5,-0.0520346201624111
1994_2023,China,Male,Incidence,62.5,-0.0793288433797334
1994_2023,China,Male,Incidence,67.5,-0.0886388702451169
1994_2023,United States of America,Female,Incidence,12.5,-0.524739400265284
1994_2023,United States of America,Female,Incidence,17.5,-0.617125290531517
1994_2023,United States of America,Female,Incidence,22.5,-0.473006536667497
1994_2023,United States of America,Female,Incidence,27.5,-0.236069286894913
1994_2023,United States of America,Female,Incidence,32.5,-0.036454385482787
1994_2023,United States of America,Female,Incidence,37.5,0.0596305515337736
1994_2023,United States of America,Female,Incidence,42.5,0.0981001174973128
1994_2023,United States of America,Female,Incidence,47.5,0.108576276522365
1994_2023,United States of America,Female,Incidence,52.5,0.0985941038461169
1994_2023,United States of America,Female,Incidence,57.5,0.0653015737141827
1994_2023,United States of America,Female,Incidence,62.5,0.03036325835577
1994_2023,United States of America,Female,Incidence,67.5,0.0011293501235298
1994_2023,United States of America,Male,Incidence,12.5,-0.29462060159845
1994_2023,United States of America,Male,Incidence,17.5,-0.369821981797414
1994_2023,United States of America,Male,Incidence,22.5,-0.258414836798648
1994_2023,United States of America,Male,Incidence,27.5,-0.0822606095417067
1994_2023,United States of America,Male,Incidence,32.5,0.0787206207033764
1994_2023,United States of America,Male,Incidence,37.5,0.177079070666641
1994_2023,United States of America,Male,Incidence,42.5,0.214392998401136
1994_2023,United States of America,Male,Incidence,47.5,0.210135212176432
1994_2023,United States of America,Male,Incidence,52.5,0.161617398448133
1994_2023,United States of America,Male,Incidence,57.5,0.0870985440465377
1994_2023,United States of America,Male,Incidence,62.5,0.0236547295985767
1994_2023,United States of America,Male,Incidence,67.5,0.0085579615662245
1990_2019,China,Female,Incidence,12.5,-0.184466147645257
1990_2019,China,Female,Incidence,17.5,-0.110849794556223
1990_2019,China,Female,Incidence,22.5,-0.0132738479293959
1990_2019,China,Female,Incidence,27.5,0.070603328701857
1990_2019,China,Female,Incidence,32.5,0.0979705655775209
1990_2019,China,Female,Incidence,37.5,0.0704860818731667
1990_2019,China,Female,Incidence,42.5,0.0232833741726113
1990_2019,China,Female,Incidence,47.5,0.0040244132221145
1990_2019,China,Female,Incidence,52.5,-0.01420201013973
1990_2019,China,Female,Incidence,57.5,-0.0229650364102274
1990_2019,China,Female,Incidence,62.5,-0.0315905582911946
1990_2019,China,Female,Incidence,67.5,-0.0358017616414075
1990_2019,China,Male,Incidence,12.5,-0.0813729920967288
1990_2019,China,Male,Incidence,17.5,-0.0503078111477873
1990_2019,China,Male,Incidence,22.5,-0.0289931163058976
1990_2019,China,Male,Incidence,27.5,0.0341360427534854
1990_2019,China,Male,Incidence,32.5,0.0916409335184998
1990_2019,China,Male,Incidence,37.5,0.096652301356781
1990_2019,China,Male,Incidence,42.5,0.0695232193896889
1990_2019,China,Male,Incidence,47.5,0.0263147778230222
1990_2019,China,Male,Incidence,52.5,-0.0358370197078295
1990_2019,China,Male,Incidence,57.5,-0.0790644042355848
1990_2019,China,Male,Incidence,62.5,-0.101080107569151
1990_2019,China,Male,Incidence,67.5,-0.10935864848769
1990_2019,United States of America,Female,Incidence,12.5,-0.358320852222171
1990_2019,United States of America,Female,Incidence,17.5,-0.528380038836385
1990_2019,United States of America,Female,Incidence,22.5,-0.346599986763163
1990_2019,United States of America,Female,Incidence,27.5,-0.156092768483251
1990_2019,United States of America,Female,Incidence,32.5,-0.0429603637378539
1990_2019,United States of America,Female,Incidence,37.5,0.01224106721327
1990_2019,United States of America,Female,Incidence,42.5,0.0509513658834893
1990_2019,United States of America,Female,Incidence,47.5,0.0831180737360659
1990_2019,United States of America,Female,Incidence,52.5,0.0661244294804852
1990_2019,United States of America,Female,Incidence,57.5,0.0099255071092097
1990_2019,United States of America,Female,Incidence,62.5,-0.0375658702385762
1990_2019,United States of America,Female,Incidence,67.5,-0.0557608147169542
1990_2019,United States of America,Male,Incidence,12.5,-0.216698770573176
