location_name,sex_name,measure_name,weighting,cohort_index,cohort_midpoint,cohort_curvature_rate_ratio,reference_cohort_midpoint,method_label
China,Female,DALYs,population,-11,1925.0,0.9687529628200909,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,-10,1930.0,0.9765414494599035,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,-9,1935.0,0.9771540488383481,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,-8,1940.0,0.9782712955547861,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,-7,1945.0,0.9852255571326782,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,-6,1950.0,0.9927273229832847,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,-5,1955.0,0.9960861142637102,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,-4,1960.0,0.9986262383155243,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,-3,1965.0,1.0,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,-2,1970.0,1.0000378003462316,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,-1,1975.0,1.0038291456281025,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,0,1980.0,1.008540675555514,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,1,1985.0,1.0086536946846965,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,2,1990.0,0.9927021070349404,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,3,1995.0,0.9694638168846361,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,4,2000.0,0.9627759540117946,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,5,2005.0,0.9585443347358724,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,-11,1925.0,1.001766638427384,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,-10,1930.0,1.003859925364394,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,-9,1935.0,1.0004099292175062,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,-8,1940.0,1.0000755978936797,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,-7,1945.0,0.9949763229937835,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,-6,1950.0,1.001066983680358,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,-5,1955.0,0.9997588177493011,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,-4,1960.0,0.9979798879473161,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,-3,1965.0,1.0,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,-2,1970.0,1.004413247592436,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,-1,1975.0,1.0124743293307548,1965.0,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
