location_name,sex_name,measure_name,weighting,period,period_midpoint,period_curvature_rate_ratio,reference_period,method_label
China,Female,DALYs,equal,1994-1998,1996.0,1.0048548359051106,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,1999-2003,2001.0,1.0051790270296521,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,2004-2008,2006.0,1.0011100290444634,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,2009-2013,2011.0,1.0,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,2014-2018,2016.0,1.0018837527398272,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,2019-2023,2021.0,1.0070599856700684,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,1994-1998,1996.0,1.0034105274730256,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,1999-2003,2001.0,1.001328652392294,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,2004-2008,2006.0,1.0025152008988423,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,2009-2013,2011.0,1.0,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,2014-2018,2016.0,0.9987713879218829,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,2019-2023,2021.0,1.005456247596354,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,equal,1994-1998,1996.0,1.0050103338180594,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,equal,1999-2003,2001.0,1.0050710797811817,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,equal,2004-2008,2006.0,1.000797226848061,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,equal,2009-2013,2011.0,1.0,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,equal,2014-2018,2016.0,1.0027360552318447,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,equal,2019-2023,2021.0,1.0065742897702858,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,equal,1994-1998,1996.0,1.0048275048651707,2009-2013,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
