location_name,sex_name,measure_name,window,start_year,end_year,period_count,period_width_years,age_group_count,age_coverage,global_period_slope_pct_per_year,reference_age,reference_period,reference_cohort_midpoint,design_rank,design_columns,log_rate_objective_value,weighting,formal_inference_performed,identifiability_note,interpretation,analysis_role,method_label
China,Female,DALYs,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.0003720725059830343,40-44 years,2009-2013,1969.0,32,32,0.0011505786719585066,equal,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.017089745179488247,40-44 years,2009-2013,1969.0,32,32,0.0026024577209802836,equal,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,principal secondary APC outcome,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.00929094436231681,40-44 years,2009-2013,1969.0,32,32,0.0010942709127403475,equal,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,0.001472406361346934,40-44 years,2009-2013,1969.0,32,32,0.0007902706547989018,equal,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,Incidence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.015566357448393298,40-44 years,2009-2013,1969.0,32,32,0.002458048978036256,equal,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,principal secondary APC outcome,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,Prevalence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,0.004362504772426057,40-44 years,2009-2013,1969.0,32,32,0.0010670175762364804,equal,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Female,DALYs,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.2919360068232124,40-44 years,2009-2013,1969.0,32,32,0.007229213798501942,equal,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Female,Incidence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.06914302155444085,40-44 years,2009-2013,1969.0,32,32,0.017252128990154898,equal,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,principal secondary APC outcome,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Female,Prevalence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.281431402930421,40-44 years,2009-2013,1969.0,32,32,0.007682872423972349,equal,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Male,DALYs,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.11054337203618703,40-44 years,2009-2013,1969.0,32,32,0.0062958194543120145,equal,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Male,Incidence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,0.03743128848912036,40-44 years,2009-2013,1969.0,32,32,0.015605049140358214,equal,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,principal secondary APC outcome,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Male,Prevalence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.09013057348949971,40-44 years,2009-2013,1969.0,32,32,0.006197256384496265,equal,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
