location_name,sex_name,measure_name,asr_endpoint_percent_change_1990_2023,all_age_count_percent_change_1990_2023,segmented_aapc_1990_2023,segmented_overall_direction,segmented_breakpoint_years,population_size_change,age_structure_change,age_specific_rate_change,decomposition_total_change,decomposition_age_partition,apc_net_drift_1994_2023,apc_net_drift_label,important_age_specific_slopes,age_specific_slopes_include_opposing_directions,period_rate_ratio_pattern,cohort_rate_ratio_pattern,methods_are_independent_replications,uncertainty_note
China,Female,Incidence,0.4183926275713734,14.54031287897164,0.012491482494536577,practically stable,"2004,2015",24854.04137323205,-8743.760836580459,712.4744519387943,16822.754988590386,fine_5_year,0.005931035239759,practically stable,minimum -0.133 at 12.5; maximum 0.079 at 37.5,True,minimum 0.998 at 2016.5; maximum 1.002 at 2021.5,minimum 0.982 at 2009; maximum 1.016 at 1984,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Female,Prevalence,0.707439167001378,59.87642275663778,0.023523613815101818,practically stable,2019,394946.01413888857,511754.03393558477,18068.420759737844,924768.4688342111,fine_5_year,,not analyzed,not analyzed,False,not analyzed,not analyzed,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Female,DALYs,1.3341211855272705,57.52164688868127,0.04781272935172609,practically stable,1998,249766.1952072096,297673.0874012678,19247.895750525833,566687.1783590032,fine_5_year,,not analyzed,not analyzed,False,not analyzed,not analyzed,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Male,Incidence,-0.03824227663088431,14.1205207904612,-0.0014346525525010811,practically stable,2006,30554.057287578973,-8856.477186875698,-94.7648394080073,21602.81526129527,fine_5_year,0.0011605627146194,practically stable,minimum -0.089 at 67.5; maximum 0.073 at 37.5,True,minimum 0.998 at 2016.5; maximum 1.001 at 2011.5,minimum 0.992 at 1959; maximum 1.016 at 1929,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Male,Prevalence,0.6098025585016043,51.864396545429116,0.015143578277454495,practically stable,"2003,2017",446097.97948562104,537691.5260430856,15375.84310684361,999165.3486355504,fine_5_year,,not analyzed,not analyzed,False,not analyzed,not analyzed,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Male,DALYs,0.9126595219625555,49.51691579109892,0.036336135652170753,practically stable,"1995,1999",286716.0315631904,317335.59727057023,14424.832100648939,618476.4609344096,fine_5_year,,not analyzed,not analyzed,False,not analyzed,not analyzed,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Female,Incidence,-6.186628872185162,13.160323699053045,-0.209658563740156,decrease,"2010,2015",8968.531243498519,-2903.3360228069937,-1870.2103676438667,4194.984853047659,fine_5_year,-0.0777024978902863,decrease,minimum -0.617 at 17.5; maximum 0.109 at 47.5,True,minimum 0.979 at 2016.5; maximum 1.008 at 1996.5,minimum 0.875 at 2004; maximum 1.004 at 1979,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Female,Prevalence,-7.333497855655347,22.658697328020306,-0.2301096494965016,decrease,"2010,2015",183047.98922952366,8052.437661181592,-49294.14595918684,141806.2809315184,fine_5_year,,not analyzed,not analyzed,False,not analyzed,not analyzed,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Female,DALYs,-8.022491393899301,20.49801494211192,-0.24909882956674068,decrease,"2010,2015",112027.18401178112,1112.7585279806226,-33954.39757518863,79185.54496457311,fine_5_year,,not analyzed,not analyzed,False,not analyzed,not analyzed,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Male,Incidence,-3.1375529946914393,18.188265789528234,-0.07561565297766748,decrease,"2010,2017",11463.270166919561,-3816.9459483536248,-1117.2499835775052,6529.074234988431,fine_5_year,0.0365350011563681,practically stable,minimum -0.370 at 17.5; maximum 0.214 at 42.5,True,minimum 0.999 at 2001.5; maximum 1.011 at 2021.5,minimum 0.934 at 2004; maximum 1.016 at 1984,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Male,Prevalence,-3.2303526345420996,31.634047020430756,-0.07924543417238139,decrease,"2009,2018",204542.53685817355,9379.037183000222,-21553.00665438218,192368.56738679158,fine_5_year,,not analyzed,not analyzed,False,not analyzed,not analyzed,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Male,DALYs,-3.925692439513273,29.243611800606907,-0.10908787107943851,decrease,"2009,2017",128713.37491010889,1060.3478762612795,-16846.568818417116,112927.15396795305,fine_5_year,,not analyzed,not analyzed,False,not analyzed,not analyzed,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.
