location_name,sex_name,measure_name,start_year,end_year,all_age_count_start_reconstructed,all_age_count_end_reconstructed,population_source,age_partition,age_group_count,population_size_change,age_structure_change,age_specific_rate_change,total_change,component_sum,closure_error,population_size_change_pct_of_total,age_structure_change_pct_of_total,age_specific_rate_change_pct_of_total
China,Female,Incidence,1990,2023,115697.33834901855,132520.0933376089,official_GBD_2023,fine_5_year,20,24854.04137323205,-8743.760836580459,712.4744519387943,16822.754988590386,16822.754988590383,-3.637978807091713e-12,147.74061317595533,-51.97579613155334,4.235182955598012
China,Female,Incidence,2000,2023,124815.24149675576,132520.0933376089,official_GBD_2023,fine_5_year,20,17358.77475421799,-9650.241389117718,-3.681524247103269,7704.851840853167,7704.851840853168,9.094947017729282e-13,225.29667166573097,-125.2488897703338,-0.04778189539716846
China,Female,Incidence,2010,2023,140601.27793472595,132520.0933376089,official_GBD_2023,fine_5_year,20,8895.531254594418,-16866.26992406897,-110.44592764246046,-8081.184597117011,-8081.184597117011,0.0,-110.07707035634265,208.71036568185886,1.366704674483768
China,Female,Prevalence,1990,2023,1544461.786892054,2469230.2557262643,official_GBD_2023,fine_5_year,20,394946.01413888857,511754.03393558477,18068.420759737844,924768.4688342111,924768.4688342112,1.1641532182693481e-10,42.70755626397692,55.33861189933478,1.9538318366883118
China,Female,Prevalence,2000,2023,1883669.735818274,2469230.2557262643,official_GBD_2023,fine_5_year,20,291427.3898448605,283799.5988884741,10333.531174655383,585560.51990799,585560.51990799,0.0,49.76896152265404,48.46631376942352,1.7647247079224375
China,Female,Prevalence,2010,2023,2243287.907829255,2469230.2557262643,official_GBD_2023,fine_5_year,20,153069.7301644832,67775.23267602501,5097.385056501254,225942.34789700946,225942.34789700946,0.0,67.74725127414204,29.99669309753246,2.256055628325496
China,Female,DALYs,1990,2023,985172.0335053749,1551859.211864378,official_GBD_2023,fine_5_year,20,249766.1952072096,297673.0874012678,19247.895750525833,566687.1783590032,566687.1783590032,0.0,44.07479200967199,52.528643450741406,3.396564539586611
China,Female,DALYs,2000,2023,1204475.9038035206,1551859.211864378,official_GBD_2023,fine_5_year,20,184656.0437877876,155271.6903824938,7455.5738905765265,347383.30806085793,347383.30806085793,0.0,53.156279965944066,44.69751043861089,2.1462095954450375
China,Female,DALYs,2010,2023,1428677.9829726964,1551859.211864378,official_GBD_2023,fine_5_year,20,96831.07013492782,23432.775351865996,2917.3834048880576,123181.22889168188,123181.22889168188,0.0,78.60862487422918,19.02300826408491,2.3683668616859053
China,Male,Incidence,1990,2023,152988.79964753235,174591.61490882759,official_GBD_2023,fine_5_year,20,30554.057287578973,-8856.477186875698,-94.7648394080073,21602.81526129527,21602.81526129527,0.0,141.4355347579221,-40.99686582398094,-0.4386689339411837
China,Male,Incidence,2000,2023,162711.82868326033,174591.61490882759,official_GBD_2023,fine_5_year,20,20596.54958301333,-8163.289056831593,-553.4743006144854,11879.786225567252,11879.786225567252,0.0,173.37474927525355,-68.71579085541838,-4.65895841983518
China,Male,Incidence,2010,2023,180219.72786109534,174591.61490882759,official_GBD_2023,fine_5_year,20,11915.46403205273,-16384.709715863613,-1158.8672684567814,-5628.112952267664,-5628.112952267664,0.0,-211.71330662885478,291.12261702675903,20.59068960209574
