location_name,sex_name,measure_name,start_year,end_year,finest_age_partition,finest_age_group_count,collapsed_age_group_count,finest_component_rank,collapsed_component_rank,component_rank_stable,maximum_component_shift_pct_of_total_change,finest_population_size_change,collapsed_population_size_change,population_size_change_sign_stable,population_size_change_shift_pct_of_total_change,finest_age_structure_change,collapsed_age_structure_change,age_structure_change_sign_stable,age_structure_change_shift_pct_of_total_change,finest_age_specific_rate_change,collapsed_age_specific_rate_change,age_specific_rate_change_sign_stable,age_specific_rate_change_shift_pct_of_total_change,material_age_bin_sensitivity,sensitivity_rule
China,Female,DALYs,1990,2023,fine_5_year,20,4,age_structure_change > population_size_change > age_specific_rate_change,age_structure_change > population_size_change > age_specific_rate_change,True,4.576713906818388,249766.1952072096,250567.33743700307,True,0.14137292326136655,297673.0874012678,271737.43650115456,True,4.576713906818388,19247.895750525833,44382.404420845596,True,4.435340983557025,False,"Flagged if a component changes sign, absolute-magnitude rank changes, or any component shifts by at least 10% of total count change."
China,Female,Incidence,1990,2023,fine_5_year,20,4,population_size_change > age_structure_change > age_specific_rate_change,population_size_change > age_specific_rate_change > age_structure_change,False,49.96653451894147,24854.04137323205,24786.35144538181,True,0.40237124000288743,-8743.760836580459,-338.013158169495,True,49.96653451894147,712.4744519387943,-7625.583298621976,False,49.56416327893886,True,"Flagged if a component changes sign, absolute-magnitude rank changes, or any component shifts by at least 10% of total count change."
China,Female,Prevalence,1990,2023,fine_5_year,20,4,age_structure_change > population_size_change > age_specific_rate_change,age_structure_change > population_size_change > age_specific_rate_change,True,4.8781699656906845,394946.01413888857,396163.5371546195,True,0.13165706409365358,511754.03393558477,466642.25623673666,True,4.8781699656906845,18068.420759737844,61962.67544285472,True,4.746512901597002,False,"Flagged if a component changes sign, absolute-magnitude rank changes, or any component shifts by at least 10% of total count change."
China,Male,DALYs,1990,2023,fine_5_year,20,4,age_structure_change > population_size_change > age_specific_rate_change,age_structure_change > population_size_change > age_specific_rate_change,True,4.119034196823954,286716.0315631904,287670.583265269,True,0.1543392129486134,317335.59727057023,291860.34034537536,True,4.119034196823954,14424.832100648939,38945.53732376527,True,3.9646949838753507,False,"Flagged if a component changes sign, absolute-magnitude rank changes, or any component shifts by at least 10% of total count change."
China,Male,Incidence,1990,2023,fine_5_year,20,4,population_size_change > age_structure_change > age_specific_rate_change,population_size_change > age_specific_rate_change > age_structure_change,False,48.99438847854198,30554.057287578973,30509.867167553937,True,0.20455722779895819,-8856.477186875698,1727.6900445450592,False,48.99438847854198,-94.7648394080073,-10634.741950803786,True,48.78983125074328,True,"Flagged if a component changes sign, absolute-magnitude rank changes, or any component shifts by at least 10% of total count change."
China,Male,Prevalence,1990,2023,fine_5_year,20,4,age_structure_change > population_size_change > age_specific_rate_change,age_structure_change > population_size_change > age_specific_rate_change,True,4.392735387931279,446097.97948562104,447526.41900298314,True,0.14296327622978153,537691.5260430856,493800.83618962485,True,4.392735387931279,15375.84310684361,57838.09344294233,True,4.249772111701503,False,"Flagged if a component changes sign, absolute-magnitude rank changes, or any component shifts by at least 10% of total count change."
United States of America,Female,DALYs,1990,2023,fine_5_year,20,4,population_size_change > age_specific_rate_change > age_structure_change,population_size_change > age_specific_rate_change > age_structure_change,True,1.317201681582261,112027.18401178112,112046.44587059996,True,0.02432496843641333,1112.7585279806226,2136.5299990050457,True,1.292876713145624,-33954.39757518863,-34997.430905032066,True,1.317201681582261,False,"Flagged if a component changes sign, absolute-magnitude rank changes, or any component shifts by at least 10% of total count change."
United States of America,Female,Incidence,1990,2023,fine_5_year,20,4,population_size_change > age_structure_change > age_specific_rate_change,population_size_change > age_structure_change > age_specific_rate_change,True,17.61911657890144,8968.531243498519,8967.41261191633,True,0.026665926609390926,-2903.3360228069937,-3641.3366629505313,True,17.592450652292097,-1870.2103676438667,-1131.0910959181424,True,17.61911657890144,True,"Flagged if a component changes sign, absolute-magnitude rank changes, or any component shifts by at least 10% of total count change."
United States of America,Female,Prevalence,1990,2023,fine_5_year,20,4,population_size_change > age_specific_rate_change > age_structure_change,population_size_change > age_specific_rate_change > age_structure_change,True,0.8257122924472763,183047.98922952366,183072.2009447657,True,0.017073796085049327,8052.437661181592,9199.137839053175,True,0.8086384963620556,-49294.14595918684,-50465.057852300706,True,0.8257122924472763,False,"Flagged if a component changes sign, absolute-magnitude rank changes, or any component shifts by at least 10% of total count change."
United States of America,Male,DALYs,1990,2023,fine_5_year,20,4,population_size_change > age_specific_rate_change > age_structure_change,population_size_change > age_specific_rate_change > age_structure_change,True,3.338033404963494,128713.37491010889,128786.61137130627,True,0.06485283532263522,1060.3478762612795,4756.657537788851,True,3.273180569640962,-16846.568818417116,-20616.114941141946,True,3.338033404963494,False,"Flagged if a component changes sign, absolute-magnitude rank changes, or any component shifts by at least 10% of total count change."
