location_name,sex_name,measure_name,total_change,population_size_change,age_structure_change,age_specific_rate_change,annual_chained_population_size_change,annual_chained_age_structure_change,annual_chained_age_specific_rate_change,annual_population_size_change_shift_pct_of_total_change,annual_age_structure_change_shift_pct_of_total_change,annual_age_specific_rate_change_shift_pct_of_total_change,fiveyear_chained_population_size_change,fiveyear_chained_age_structure_change,fiveyear_chained_age_specific_rate_change,fiveyear_population_size_change_shift_pct_of_total_change,fiveyear_age_structure_change_shift_pct_of_total_change,fiveyear_age_specific_rate_change_shift_pct_of_total_change,maximum_path_shift_pct_of_total_change,interpretation
China,Female,Incidence,16822.754988590386,24854.04137323205,-8743.760836580459,712.4744519387943,26186.961961740773,-10027.042756862495,662.8357837121075,7.9233192744752285,7.6282506709061,0.2950686035691123,26148.43932887564,-9983.982209267046,658.2978689817949,7.694328048654841,7.372284584348615,0.32204346430619357,7.9233192744752285,"Difference in accounting allocation under endpoint, annual-chain, and five-year-chain replacement paths; not statistical uncertainty."
China,Female,Prevalence,924768.4688342111,394946.01413888857,511754.03393558477,18068.420759737844,409318.21556990105,503572.592405398,11877.660858912044,1.5541405135850357,0.8847016097445984,0.6694389038404439,409382.6012752833,502826.9343645028,12558.933194424997,1.561102873089295,0.9653334723161284,0.5957694007731753,1.561102873089295,"Difference in accounting allocation under endpoint, annual-chain, and five-year-chain replacement paths; not statistical uncertainty."
China,Female,DALYs,566687.1783590032,249766.1952072096,297673.0874012678,19247.895750525833,260722.7779659826,292098.19810073305,13866.20229228753,1.9334446193931487,0.9837683846453599,0.9496762347477952,260724.8244960051,291513.62339338113,14448.730469616945,1.9338057586778674,1.0869248931523479,0.8468808655255227,1.9338057586778674,"Difference in accounting allocation under endpoint, annual-chain, and five-year-chain replacement paths; not statistical uncertainty."
China,Male,Incidence,21602.81526129527,30554.057287578973,-8856.477186875698,-94.7648394080073,31687.91834086948,-10390.111589058492,305.0085094842798,5.248672636302142,7.099233982389939,1.8505613460878032,31642.200417376585,-10316.88044102092,277.495284939602,5.03704316606913,6.760245072140001,1.7232019060708723,7.099233982389939,"Difference in accounting allocation under endpoint, annual-chain, and five-year-chain replacement paths; not statistical uncertainty."
China,Male,Prevalence,999165.3486355504,446097.97948562104,537691.5260430856,15375.84310684361,461951.2910746511,526588.8928371291,10625.164723770187,1.5866554630501546,1.111190777494254,0.47546468555588906,462091.2620363709,525220.2684334423,11853.818165737166,1.600664251676677,1.2481675457094157,0.3524967059672439,1.600664251676677,"Difference in accounting allocation under endpoint, annual-chain, and five-year-chain replacement paths; not statistical uncertainty."
China,Male,DALYs,618476.4609344096,286716.0315631904,317335.59727057023,14424.832100648939,297884.94953049225,309547.7427018035,11043.768702113846,1.8058759989713387,1.2591998338951553,0.5466761650761772,297979.16074359993,308566.78529159137,11930.514899218379,1.8211087877771326,1.417808523501561,0.40330026427555277,1.8211087877771326,"Difference in accounting allocation under endpoint, annual-chain, and five-year-chain replacement paths; not statistical uncertainty."
United States of America,Female,Incidence,4194.984853047659,8968.531243498519,-2903.3360228069937,-1870.2103676438667,8987.024722217391,-2842.2590097469,-1949.7808594228318,0.44084733000732257,1.4559531249730517,1.896800454980358,8986.012293706313,-2860.621798547129,-1930.4056421115242,0.41671307096840654,1.0182211797220875,1.4349342506904559,1.896800454980358,"Difference in accounting allocation under endpoint, annual-chain, and five-year-chain replacement paths; not statistical uncertainty."
United States of America,Female,Prevalence,141806.2809315184,183047.98922952366,8052.437661181592,-49294.14595918684,185393.46990107608,7350.419775818106,-50937.60874537579,1.65400337428291,0.49505415469044495,1.1589492195924753,185358.67643406862,7291.887118329255,-50844.28262087946,1.6294674603735229,0.5363306461859931,1.0931368141875284,1.65400337428291,"Difference in accounting allocation under endpoint, annual-chain, and five-year-chain replacement paths; not statistical uncertainty."
United States of America,Female,DALYs,79185.54496457311,112027.18401178112,1112.7585279806226,-33954.39757518863,114252.62266129215,339.0712052144519,-35406.148901933484,2.810410221343635,0.9770562583263288,1.8333539630173061,114187.22413893793,322.3209072590205,-35324.00008162384,2.727821255916334,0.998209485172119,1.7296117707442118,2.810410221343635,"Difference in accounting allocation under endpoint, annual-chain, and five-year-chain replacement paths; not statistical uncertainty."
United States of America,Male,Incidence,6529.074234988431,11463.270166919561,-3816.9459483536248,-1117.2499835775052,11467.264676344732,-3767.376901298058,-1170.8135400582419,0.061180334016799065,0.7592048316732721,0.8203851656900573,11463.860587510057,-3760.625137034744,-1174.1612154868806,0.009042944975741842,0.8626155759887835,0.8716585209645149,0.8716585209645149,"Difference in accounting allocation under endpoint, annual-chain, and five-year-chain replacement paths; not statistical uncertainty."
United States of America,Male,Prevalence,192368.56738679158,204542.53685817355,9379.037183000222,-21553.00665438218,206529.95802070174,7317.821042721761,-21479.21167663192,1.033131966165825,1.0714932113280315,0.038361245162201414,206431.7335742118,7383.262783923051,-21446.428971343285,0.9820714172288234,1.0374742746117709,0.05540285738293367,1.0714932113280315,"Difference in accounting allocation under endpoint, annual-chain, and five-year-chain replacement paths; not statistical uncertainty."
United States of America,Male,DALYs,112927.15396795305,128713.37491010889,1060.3478762612795,-16846.568818417116,130603.04338785284,-668.5880513972078,-17007.30136850258,1.6733517239619884,1.531018773526456,0.14233295043553243,130526.64969100867,-621.5109579227862,-16977.98476513283,1.605703072455328,1.4893307544626075,0.11637231799272023,1.6733517239619884,"Difference in accounting allocation under endpoint, annual-chain, and five-year-chain replacement paths; not statistical uncertainty."
