sex_name,age_name,year,china_rate,us_rate,china_us_rate_ratio,log2_china_us_rate_ratio,absolute_rate_difference,comparison,formal_inference_performed,method_note
Female,0-4 years,1990,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,1991,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,1992,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,1993,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,1994,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,1995,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,1996,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,1997,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,1998,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,1999,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,2000,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,2001,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,2002,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,2003,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,2004,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,2005,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,2006,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,2007,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,2008,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
Female,0-4 years,2009,0.0,0.0,,,0.0,equal or undefined,False,Age-specific prevalence-rate contrasts use GBD posterior means. A positive log2 ratio means China is higher; zero means equal rates.
