location_name,sex_name,year,all_age_prevalent_cases,age_65_plus_cases,age_65_plus_share_percent
China,Female,1990,1544461.786892079,133947.60125585718,8.672768882511491
China,Female,1991,1584088.1987934548,138040.23941751308,8.714176364842157
China,Female,1992,1621607.6126714156,142069.92919197676,8.761054652298565
China,Female,1993,1657551.8976533934,146273.64214045714,8.824679477459357
China,Female,1994,1691855.3815318001,150473.41658010724,8.893988116399708
China,Female,1995,1724187.0315281528,154665.4696151349,8.970341777716214
China,Female,1996,1755577.8576156949,158510.39241335195,9.02895828434689
China,Female,1997,1787128.7488487163,162273.65251839109,9.080132174188858
China,Female,1998,1819284.9422444154,166200.724011906,9.135497147954597
China,Female,1999,1851727.4209071973,170763.13918377832,9.221829155617199
China,Female,2000,1883669.735818299,175290.03821509145,9.305773452846944
China,Female,2001,1915012.4219496811,180027.7048650881,9.40086355585105
China,Female,2002,1946702.5577661532,184803.82774300672,9.493172287967282
China,Female,2003,1980028.1851477714,189293.90649128208,9.56016221946633
China,Female,2004,2015339.9127358838,193437.6132470354,9.598262408470742
China,Female,2005,2052254.5877217923,198159.56019409807,9.655700680590266
China,Female,2006,2090077.6676480179,203214.70169728447,9.722830153291083
China,Female,2007,2128448.2480253633,208916.03586462533,9.815415341126762
China,Female,2008,2167379.3316657883,215012.19788002898,9.920376868906306
China,Female,2009,2206091.9315704294,221406.82879526645,10.036156047117027
China,Female,2010,2243287.907829293,228264.9800225789,10.175465183310262
China,Female,2011,2277540.896472196,236863.69332249172,10.399975416001638
China,Female,2012,2309127.2229048903,246859.76513085727,10.690609104694838
China,Female,2013,2338397.3912969027,256196.1184687083,10.956055605528148
China,Female,2014,2364402.307371335,272314.59303929197,11.517269806001941
China,Female,2015,2387152.7627342683,284591.3706202782,11.921791309840785
China,Female,2016,2405527.419922059,300660.0258019601,12.498715388232894
China,Female,2017,2420511.720674352,317744.9010846212,13.127178784992532
China,Female,2018,2433487.206529138,337600.584592988,13.873119352639
China,Female,2019,2444345.5119563364,358849.4855262013,14.680800393026084
China,Female,2020,2454441.2822899655,380819.92791361356,15.515544440252933
China,Female,2021,2461987.5086283945,400008.4570524846,16.247379633348935
China,Female,2022,2467357.741557246,415025.9019541184,16.820661834476393
China,Female,2023,2469230.255726301,424994.6882587753,17.211626468337073
China,Male,1990,1926495.6601979556,129734.44903151013,6.734219635780512
China,Male,1991,1981431.2671111184,133975.71849401534,6.761562751018302
China,Male,1992,2032456.0762844412,138312.44600174896,6.805187458446812
China,Male,1993,2079637.6665027924,142984.413590992,6.875448348242349
China,Male,1994,2122333.8848423795,147943.08828358035,6.970773512131326
China,Male,1995,2160331.8479778455,153202.00849240043,7.091596072881279
China,Male,1996,2193614.179687465,158285.39975164493,7.2157356210287
China,Male,1997,2223505.020527037,163317.7629092383,7.345059327571347
China,Male,1998,2252272.264515297,168434.6064213129,7.478430075928724
China,Male,1999,2281189.809509613,174170.25117643832,7.635061775673971
China,Male,2000,2311360.6567536797,179864.37988655845,7.7817531141669205
China,Male,2001,2343397.9751502373,185822.26866736848,7.929607801912317
China,Male,2002,2376993.624242876,191784.734004697,8.068373934565543
China,Male,2003,2412723.211974077,197246.22192511932,8.175252799252242
China,Male,2004,2450227.932714447,202697.93685063111,8.27261554503933
China,Male,2005,2488668.6031593755,208072.56864193204,8.360798556215281
China,Male,2006,2527488.3814136996,213625.91017631188,8.452102559491275
China,Male,2007,2566872.2938776417,219567.85795882327,8.55390657659612
China,Male,2008,2606974.942667071,226026.2633803561,8.670058913152403
China,Male,2009,2646937.469662679,231946.30708388574,8.76281777496786
China,Male,2010,2685317.686562698,238391.22814052927,8.877580084227521
China,Male,2011,2720336.878598016,246666.10224948134,9.067483670500618
China,Male,2012,2752686.816281914,256356.2047435447,9.312944837284759
China,Male,2013,2783095.121206645,265299.4777876859,9.532533608576845
China,Male,2014,2810752.087857563,281678.15755389497,10.02145151010448
China,Male,2015,2835893.99394532,293237.0757516948,10.34019876546023
China,Male,2016,2856528.2905267193,307588.01966669824,10.767896844808831
China,Male,2017,2873328.882671205,322748.28138083825,11.232556193873416
China,Male,2018,2888065.261606762,340933.63550213724,11.804914523034716
China,Male,2019,2900956.161785141,360924.25615015347,12.441561885859523
China,Male,2020,2913669.047501899,382420.35238375235,13.125044270612312
China,Male,2021,2921515.600206292,402336.647898466,13.771504347608362
China,Male,2022,2925835.6952240732,417264.7224694856,14.261386008469271
China,Male,2023,2925661.0088335043,423365.81331945263,14.47077470838816
United States of America,Female,1990,625835.9820013157,63193.4022879679,10.097438323358508
United States of America,Female,1991,632391.2828289826,64025.22965812531,10.124306168755277
United States of America,Female,1992,638173.0036682378,64688.72101375621,10.13654928082565
United States of America,Female,1993,643461.3601324977,65316.88621136246,10.150863790471083
United States of America,Female,1994,648893.1491612372,65581.70538907316,10.106703310682882
United States of America,Female,1995,654625.8901091511,65852.45899706805,10.059556151390213
United States of America,Female,1996,660212.2724505927,65940.93154195901,9.987837896014533
United States of America,Female,1997,665083.7605682786,65749.97628451927,9.885969284280739
United States of America,Female,1998,669667.5634984084,65549.56646325723,9.788374118169907
United States of America,Female,1999,674735.7171341253,65227.823761062755,9.667166285210397
United States of America,Female,2000,680569.6428562781,65095.73369515859,9.564889409694906
United States of America,Female,2001,688408.8771760025,65008.25801674076,9.443262597574025
United States of America,Female,2002,696625.850429965,64946.52686389125,9.323014186712358
United States of America,Female,2003,704571.3630048862,65097.34584385577,9.23928352214399
United States of America,Female,2004,712817.1508225461,65360.648681360835,9.169342882103603
United States of America,Female,2005,720510.7520504019,65920.58607244103,9.149146752473403
United States of America,Female,2006,727695.3072651054,66597.37872771609,9.151821931902896
United States of America,Female,2007,733851.7917411287,67621.35889235744,9.214579790276147
United States of America,Female,2008,739440.1162582851,69391.07553748807,9.384272507234364
United States of America,Female,2009,744609.6205394757,70972.88721577337,9.531556571126886
United States of America,Female,2010,749564.1664284342,72532.90505504614,9.676677235073154
United States of America,Female,2011,751630.392171526,73903.00783940323,9.832360241034289
United States of America,Female,2012,749108.4864905775,77181.74638118889,10.303146710134047
United States of America,Female,2013,744712.8901352714,80216.48538696216,10.771464607305434
United States of America,Female,2014,741740.9014188986,83011.2271530304,11.19140484153371
United States of America,Female,2015,742698.3748927916,86080.8742559406,11.590287142928831
United States of America,Female,2016,746648.8520337701,89105.67642229842,11.934080683253804
United States of America,Female,2017,750126.453020056,91954.88825866893,12.258584921042685
United States of America,Female,2018,753093.5562447171,94865.66076166788,12.596796238001719
United States of America,Female,2019,756068.1912901248,98011.15169301101,12.963268766242983
United States of America,Female,2020,758461.0258689403,101148.16503059005,13.335973976343531
United States of America,Female,2021,759987.4287954838,103491.65303352542,13.617548016228504
United States of America,Female,2022,762473.0912795707,105608.10241121687,13.850731733232312
United States of America,Female,2023,767642.262932837,108752.34079403243,14.16706010668767
United States of America,Male,1990,608106.0929780935,41382.98716625372,6.80522488495186
United States of America,Male,1991,616165.5409511494,41935.35780937639,6.805858981442309
United States of America,Male,1992,623546.8672243359,42429.88450999659,6.804602306618827
United States of America,Male,1993,630426.4857221855,42938.785661648864,6.811069432221001
United States of America,Male,1994,637467.2115476334,43238.79727998648,6.782905300338816
United States of America,Male,1995,644787.3986891557,43595.83547497513,6.761272872826747
United States of America,Male,1996,652062.7253982361,43877.716801105984,6.729063798932598
United States of America,Male,1997,658869.9943812749,43974.61843428593,6.674248153549803
United States of America,Male,1998,665359.7915908109,44082.93469765307,6.625428114953421
United States of America,Male,1999,671997.7981648445,44107.536497688736,6.563643008673807
United States of America,Male,2000,678749.5609301043,44312.19176727633,6.528503931045559
United States of America,Male,2001,687418.5251034027,44525.00482724421,6.477131936551562
United States of America,Male,2002,695499.2673981155,44739.76737366636,6.432755499662742
United States of America,Male,2003,702668.383079008,45140.75490239088,6.424190413205948
United States of America,Male,2004,710307.8084056255,45653.084374548205,6.4272254696203115
United States of America,Male,2005,717679.1013969498,46397.186721648766,6.464893102131225
United States of America,Male,2006,725175.5157096729,47293.972923015506,6.521727760862495
United States of America,Male,2007,731919.5110974826,48504.49135577684,6.627025324553294
United States of America,Male,2008,738400.3314837859,50372.49541102314,6.821840844762574
United States of America,Male,2009,744629.3934285475,52093.13652106108,6.995847461944139
United States of America,Male,2010,750566.0921671374,53740.22638956117,7.159959256138924
United States of America,Male,2011,755764.8913321152,55247.59987617452,7.310156969424024
United States of America,Male,2012,759422.9662049501,58576.48124644784,7.71328809545634
United States of America,Male,2013,762376.483513359,61662.07792928939,8.088140080754327
United States of America,Male,2014,766088.0077485327,64413.439579123864,8.408099190643837
United States of America,Male,2015,771002.6361685131,67264.03146757232,8.72422846721251
United States of America,Male,2016,776418.249442375,69872.78300120146,8.999374119733046
United States of America,Male,2017,780465.3083501796,72066.61245233897,9.233800872543599
United States of America,Male,2018,783601.163148389,74251.16475634878,9.475632279311457
United States of America,Male,2019,786819.4343740139,76653.50836795353,9.742198148541963
United States of America,Male,2020,789742.4397672685,79167.52844036567,10.024474367072862
United States of America,Male,2021,796068.1919737067,81565.48758436526,10.246042789643237
United States of America,Male,2022,803796.0457214877,83807.58476962127,10.426473881741424
United States of America,Male,2023,800474.6603648879,85873.67193319679,10.72784388878121
