location_name,sex_name,measure_name,segment_index,start_year,end_year,ar1_segment_apc,ar1_rho,formal_inference_performed
China,Female,DALYs,1,1990,1997,0.11827776036803517,0.49609752680835983,False
China,Female,DALYs,2,1997,2019,0.033195868185642574,0.49609752680835983,False
China,Female,DALYs,3,2019,2023,-0.04104599709270351,0.49609752680835983,False
China,Female,Incidence,1,1990,2004,0.0607520128933281,0.8189649985995755,False
China,Female,Incidence,2,2004,2015,-0.05645124164540549,0.8189649985995755,False
China,Female,Incidence,3,2015,2023,0.02159539628521223,0.8189649985995755,False
China,Female,Prevalence,1,1990,2019,0.03100215390470229,0.8133735521095483,False
China,Female,Prevalence,2,2019,2023,-0.043429080194301584,0.8133735521095483,False
China,Male,DALYs,1,1990,1995,0.16197444753052181,0.8862772146905644,False
China,Male,DALYs,2,1995,2019,0.01942030533539363,0.8862772146905644,False
China,Male,DALYs,3,2019,2023,-0.09315298638488123,0.8862772146905644,False
China,Male,Incidence,1,1990,2005,0.04115124615942101,0.8394881265759769,False
China,Male,Incidence,2,2005,2023,-0.03565915646011053,0.8394881265759769,False
China,Male,Prevalence,1,1990,1994,0.10765464461388596,0.9149449932410558,False
China,Male,Prevalence,2,1994,2019,0.024296755605979214,0.9149449932410558,False
China,Male,Prevalence,3,2019,2023,-0.09775754061909225,0.9149449932410558,False
United States of America,Female,DALYs,1,1990,2010,-0.007020791637712964,0.7272507012081741,False
United States of America,Female,DALYs,2,2010,2015,-1.2792456085625292,0.7272507012081741,False
United States of America,Female,DALYs,3,2015,2023,-0.2181261248536126,0.7272507012081741,False
United States of America,Female,Incidence,1,1990,2010,-0.048777884017869866,0.7855368405486518,False
United States of America,Female,Incidence,2,2010,2015,-1.0516793248121603,0.7855368405486518,False
United States of America,Female,Incidence,3,2015,2023,-0.052166943154219325,0.7855368405486518,False
United States of America,Female,Prevalence,1,1990,2010,-0.045661196804880344,0.774208287261191,False
United States of America,Female,Prevalence,2,2010,2015,-1.2125075713752653,0.774208287261191,False
United States of America,Female,Prevalence,3,2015,2023,-0.08321999242564271,0.774208287261191,False
United States of America,Male,DALYs,1,1990,2009,0.02634156959593348,-0.0039006874022386767,False
United States of America,Male,DALYs,2,2009,2017,-0.43291135750537224,-0.0039006874022386767,False
United States of America,Male,DALYs,3,2017,2023,-0.10505435865970636,-0.0039006874022386767,False
United States of America,Male,Incidence,1,1990,2010,0.011105384591636458,0.14186427175086935,False
United States of America,Male,Incidence,2,2010,2017,-0.33942258141100856,0.14186427175086935,False
United States of America,Male,Incidence,3,2017,2023,-0.06372134146372943,0.14186427175086935,False
United States of America,Male,Prevalence,1,1990,2009,0.014628662827753658,0.015128713924188103,False
United States of America,Male,Prevalence,2,2009,2018,-0.3686027113376289,0.015128713924188103,False
United States of America,Male,Prevalence,3,2018,2023,0.08478799444096019,0.015128713924188103,False
