location_name,sex_name,measure_name,primary_joinpoint_count,primary_joinpoint_years,primary_aapc,ar1_joinpoint_count,ar1_joinpoint_years,ar1_aapc,ar1_minus_primary_aapc,ar1_rho,ar1_bic,iterations_converged,primary_practical_label,ar1_practical_label,practical_label_agreement,interpretation
China,Female,DALYs,1,1998,0.04781272935172609,2,"1997,2019",0.04223392476714327,-0.005578804584582819,0.49609752680835983,-470.85147652872143,True,practically stable,practically stable,True,AR(1) feasible-GLS robustness analysis of posterior-mean series; not GBD posterior uncertainty.
China,Female,Incidence,2,"2004,2015",0.012491482494536577,2,"2004,2015",0.012178785559524563,-0.00031269693501201345,0.8189649985995755,-514.2697069243283,True,practically stable,practically stable,True,AR(1) feasible-GLS robustness analysis of posterior-mean series; not GBD posterior uncertainty.
China,Female,Prevalence,1,2019,0.023523613815101818,1,2019,0.02197723507286753,-0.001546378742234289,0.8133735521095483,-521.7967056124003,True,practically stable,practically stable,True,AR(1) feasible-GLS robustness analysis of posterior-mean series; not GBD posterior uncertainty.
China,Male,DALYs,2,"1995,1999",0.036336135652170753,2,"1995,2019",0.02735142239997934,-0.008984713252191412,0.8862772146905644,-464.35453593258205,True,practically stable,practically stable,True,AR(1) feasible-GLS robustness analysis of posterior-mean series; not GBD posterior uncertainty.
China,Male,Incidence,1,2006,-0.0014346525525010811,1,2005,-0.0007526506506261299,0.0006820019018749512,0.8394881265759769,-490.02905129553636,True,practically stable,practically stable,True,AR(1) feasible-GLS robustness analysis of posterior-mean series; not GBD posterior uncertainty.
China,Male,Prevalence,2,"2003,2017",0.015143578277454495,2,"1994,2019",0.01959315093194025,0.004449572654485756,0.9149449932410558,-496.5857930625145,True,practically stable,practically stable,True,AR(1) feasible-GLS robustness analysis of posterior-mean series; not GBD posterior uncertainty.
United States of America,Female,DALYs,2,"2010,2015",-0.24909882956674068,2,"2010,2015",-0.2519495807734806,-0.002850751206739943,0.7272507012081741,-401.90390488448844,True,decrease,decrease,True,AR(1) feasible-GLS robustness analysis of posterior-mean series; not GBD posterior uncertainty.
United States of America,Female,Incidence,2,"2010,2015",-0.209658563740156,2,"2010,2015",-0.20220386442992844,0.007454699310227575,0.7855368405486518,-392.8270294108724,True,decrease,decrease,True,AR(1) feasible-GLS robustness analysis of posterior-mean series; not GBD posterior uncertainty.
United States of America,Female,Prevalence,2,"2010,2015",-0.2301096494965016,2,"2010,2015",-0.23242830431849937,-0.0023186548219977787,0.774208287261191,-406.57957245037755,True,decrease,decrease,True,AR(1) feasible-GLS robustness analysis of posterior-mean series; not GBD posterior uncertainty.
United States of America,Male,DALYs,2,"2009,2017",-0.10908787107943851,2,"2009,2017",-0.1090629865870052,2.488449243331914e-05,-0.0039006874022386767,-413.40899798025947,True,decrease,decrease,True,AR(1) feasible-GLS robustness analysis of posterior-mean series; not GBD posterior uncertainty.
United States of America,Male,Incidence,2,"2010,2017",-0.07561565297766748,2,"2010,2017",-0.07695080311478364,-0.001335150137116159,0.14186427175086935,-415.28150065021254,True,decrease,decrease,True,AR(1) feasible-GLS robustness analysis of posterior-mean series; not GBD posterior uncertainty.
United States of America,Male,Prevalence,2,"2009,2018",-0.07924543417238139,2,"2009,2018",-0.07941901947049468,-0.00017358529811328793,0.015128713924188103,-402.0931232565793,True,decrease,decrease,True,AR(1) feasible-GLS robustness analysis of posterior-mean series; not GBD posterior uncertainty.
