location_name,sex_name,measure_name,year,val,lower,upper,fitted,joinpoint_years
China,Female,DALYs,1990,175.27341718732393,131.5414364375916,219.91064101128163,175.33870511860383,1998
China,Female,DALYs,1991,175.50459640531432,131.1372509134992,219.74095862907595,175.53310626724274,1998
China,Female,DALYs,1992,175.73938149510028,129.74132056283648,219.509707865756,175.72772295190128,1998
China,Female,DALYs,1993,175.9172940260676,130.04536804263623,220.55109104292623,175.92255541154813,1998
China,Female,DALYs,1994,176.2763901629885,130.58098951844286,220.3833375538765,176.1176038854168,1998
China,Female,DALYs,1995,176.38830673033715,129.51482613470068,221.3325782514063,176.31286861300617,1998
China,Female,DALYs,1996,176.40358481514488,130.0976753041381,219.98991843537743,176.50834983408058,1998
China,Female,DALYs,1997,176.7336058225633,131.17351756137995,222.2195637029208,176.70404778867018,1998
China,Female,DALYs,1998,176.85099885803174,131.83340951972042,220.85165191408936,176.89996271707133,1998
China,Female,DALYs,1999,177.0503373583302,131.37197247787577,220.9829868775499,176.94886179807503,1998
China,Female,DALYs,2000,177.01472386225464,131.62343769291684,221.77968721297145,176.9977743958714,1998
China,Female,DALYs,2001,177.21181117797266,132.2867651801458,220.8749481965032,177.04670051419683,1998
China,Female,DALYs,2002,177.08126475042494,132.18851317827546,220.7553368395559,177.09564015678868,1998
China,Female,DALYs,2003,177.13470614055805,132.39801755477623,222.12409744091576,177.1445933273853,1998
China,Female,DALYs,2004,177.08667036053336,130.5644168007118,222.7330317912746,177.1935600297262,1998
China,Female,DALYs,2005,177.19040261152588,131.39427108757425,223.43198083155625,177.24254026755185,1998
China,Female,DALYs,2006,177.08357922683112,131.41398706419554,219.42624684977915,177.2915340446037,1998
China,Female,DALYs,2007,177.2685280218044,130.93725099514103,222.3372816340468,177.34054136462436,1998
China,Female,DALYs,2008,177.2651619318366,131.5866645408128,222.06889771987292,177.3895622313574,1998
China,Female,DALYs,2009,177.5171391937506,131.0076070572923,223.8202537567008,177.43859664854736,1998
China,Female,DALYs,2010,177.5367157696848,131.23344770132925,222.3384013477362,177.48764461993997,1998
China,Female,DALYs,2011,177.62542830131346,131.61375554325724,221.78505251694148,177.53670614928188,1998
China,Female,DALYs,2012,177.6411087621761,130.02562459939185,223.9511542839936,177.5857812403208,1998
China,Female,DALYs,2013,177.52659634986904,130.59265318922652,223.3807741602611,177.6348698968055,1998
China,Female,DALYs,2014,177.54183549652976,130.95357649439907,223.32724366483427,177.68397212248578,1998
China,Female,DALYs,2015,177.640520336365,130.31241071276523,224.65033802714376,177.73308792111246,1998
China,Female,DALYs,2016,177.71747893127716,131.42224159813375,224.41717648001813,177.78221729643738,1998
China,Female,DALYs,2017,177.82708530908045,131.33692027933884,225.0826688087533,177.83136025221344,1998
China,Female,DALYs,2018,178.12676277047,131.86257973052764,224.42229810698663,177.88051679219464,1998
China,Female,DALYs,2019,178.2023411338725,131.56044082178144,225.1006474391532,177.92968692013588,1998
China,Female,DALYs,2020,178.10295146317856,130.78610836507357,224.39973355577817,177.97887063979323,1998
China,Female,DALYs,2021,178.2173675206934,131.56685586571308,225.82308455176684,178.0280679549237,1998
China,Female,DALYs,2022,178.18347240095312,131.93640486328297,224.8746092288713,178.0772788692854,1998
China,Female,DALYs,2023,177.61177697861763,129.6486159303557,223.14257796807365,178.1265033866375,1998
China,Female,Incidence,1990,18.34535763107,15.44722119973,21.77862017745,18.367472637468733,"2004,2015"
China,Female,Incidence,1991,18.36688061924,15.459467216360002,21.75428378242,18.377859054159416,"2004,2015"
China,Female,Incidence,1992,18.3862735577,15.47011129257,21.73210630593,18.388251344148717,"2004,2015"
China,Female,Incidence,1993,18.40537946575,15.48108979665,21.72061761991,18.39864951075786,"2004,2015"
China,Female,Incidence,1994,18.42266294983,15.51525370973,21.71113835271,18.409053557309957,"2004,2015"
China,Female,Incidence,1995,18.43528949441,15.55155666138,21.69843383782,18.41946348712998,"2004,2015"
China,Female,Incidence,1996,18.44231479079,15.52673131159,21.72331767222,18.4298793035448,"2004,2015"
China,Female,Incidence,1997,18.44696969099,15.49238114075,21.76161665759,18.440301009883164,"2004,2015"
China,Female,Incidence,1998,18.45313831433,15.50381144569,21.822201862510003,18.450728609475693,"2004,2015"
China,Female,Incidence,1999,18.461255215,15.5165218041,21.89075258873,18.461162105654896,"2004,2015"
China,Female,Incidence,2000,18.47044852898,15.52585132682,21.93038065058,18.471601501755174,"2004,2015"
China,Female,Incidence,2001,18.47890190853,15.55276448996,21.94351295852,18.482046801112805,"2004,2015"
China,Female,Incidence,2002,18.48610691361,15.576939950500002,21.92300717259,18.492498007065954,"2004,2015"
China,Female,Incidence,2003,18.49368187295,15.60080057123,21.90209912799,18.50295512295468,"2004,2015"
China,Female,Incidence,2004,18.49930475621,15.622257008840002,21.88362611596,18.513418152120924,"2004,2015"
China,Female,Incidence,2005,18.49982487861,15.64305961799,21.84126210677,18.50282573751863,"2004,2015"
China,Female,Incidence,2006,18.49421071701,15.61533219225,21.84824075205,18.49223938334484,"2004,2015"
China,Female,Incidence,2007,18.48525555374,15.58669857773,21.85605413533,18.481659086132098,"2004,2015"
China,Female,Incidence,2008,18.47560389184,15.55873486202,21.86670860151,18.47108484241492,"2004,2015"
China,Female,Incidence,2009,18.46679729891,15.53164926105,21.8727153907,18.46051664872981,"2004,2015"
China,Female,Incidence,2010,18.45940755223,15.50395427964,21.88757712019,18.449954501615263,"2004,2015"
China,Female,Incidence,2011,18.447352143390003,15.47930988641,21.85781789795,18.439398397611736,"2004,2015"
China,Female,Incidence,2012,18.42800950977,15.46631886039,21.8303172198,18.42884833326168,"2004,2015"
China,Female,Incidence,2013,18.40750198174,15.45017253198,21.785462161890003,18.41830430510952,"2004,2015"
China,Female,Incidence,2014,18.39232651687,15.43659469523,21.72763684878,18.407766309701653,"2004,2015"
China,Female,Incidence,2015,18.38810121276,15.42373173404,21.68378890118,18.397234343586465,"2004,2015"
China,Female,Incidence,2016,18.39604506144,15.444473524629998,21.75253898553,18.40299103652608,"2004,2015"
China,Female,Incidence,2017,18.40968225841,15.45809525509,21.78482479806,18.408749530796968,"2004,2015"
China,Female,Incidence,2018,18.42456344649,15.4689067283,21.78456555625,18.41450982696279,"2004,2015"
China,Female,Incidence,2019,18.43718645593,15.475567464930002,21.78318610846,18.42027192558737,"2004,2015"
China,Female,Incidence,2020,18.44443501912,15.47952262276,21.79304746107,18.426035827234728,"2004,2015"
China,Female,Incidence,2021,18.43823828659,15.480596926929998,21.79976783837,18.43180153246904,"2004,2015"
China,Female,Incidence,2022,18.42991677455,15.50316549332,21.77511347988,18.437569041854676,"2004,2015"
China,Female,Incidence,2023,18.4221132549,15.40349009442,21.88439895793,18.443338355956165,"2004,2015"
China,Female,Prevalence,1990,276.90029239308,233.24618241484004,329.6091622691,276.907690299249,2019
China,Female,Prevalence,1991,276.94916923532,233.46729211739,330.09729021043,276.99346724410776,2019
China,Female,Prevalence,1992,277.01559798184,233.65552394615,329.51263565956003,277.0792707598585,2019
China,Female,Prevalence,1993,277.09881737032003,233.58643631562,328.98285187292,277.1651008547318,2019
China,Female,Prevalence,1994,277.19277521666,233.40434683725,329.14774206017,277.25095753696075,2019
China,Female,Prevalence,1995,277.27207979671005,233.22109644355,329.19303064653,277.3368408147815,2019
