population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,1990,40351.18696324868,58765.996120258176,23661.196619932845
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,1991,38414.56411552471,58666.457692916905,23089.27207623433
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,1992,36597.17132682068,55401.15338761311,21659.215442520694
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,1993,34535.01247948233,52394.06926248479,20382.300928622015
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,1994,32902.86586319798,50118.03427613715,19421.29986630571
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,1995,32015.987118245685,49050.179770294795,19341.59273084811
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,1996,31489.503829381174,48443.99002207734,18044.257468671087
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,1997,30951.86958316948,46441.33581391674,18573.477228664407
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,1998,31357.4949054987,46107.78128875665,17810.015805599556
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,1999,31892.96835449687,48509.76090050743,18490.853612953546
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,2000,33449.17207026991,49748.544713479285,19999.742362294124
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,2001,35314.05757947176,52739.322673240276,20408.55836909962
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,2002,37262.053114790055,56218.45287575141,21538.4447780338
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,2003,38919.9950463508,59187.54733036064,22739.132006525724
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,2004,40097.2906148462,61685.941664758124,22544.33506236158
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,2005,40667.14476636586,60976.656153077405,24057.472705776378
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,2006,39861.0378504909,60554.632163806484,22517.75058786585
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,2007,38186.33338380815,57800.97376516214,21341.77691821455
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,2008,36059.105991774784,54711.915221376315,20483.490552562238
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,8,15-19 years,559,Schizophrenia,1,Number,2009,33579.64051201433,51457.4659960653,19843.993944232578
