year,rate,lower,upper,log_se_from_ui_sensitivity_only
1990,18.34535763107,15.44722119973,21.77862017745,0.0876274574538282
1991,18.36688061924,15.459467216360002,21.75428378242,0.087140079888282
1992,18.3862735577,15.47011129257,21.73210630593,0.08670430145551365
1993,18.40537946575,15.48108979665,21.72061761991,0.08638843474913335
1994,18.42266294983,15.51525370973,21.71113835271,0.0857147364008053
1995,18.43528949441,15.55155666138,21.69843383782,0.08496922043709063
1996,18.44231479079,15.52673131159,21.72331767222,0.08566915599085845
1997,18.44696969099,15.49238114075,21.76161665759,0.08668350775008131
1998,18.45313831433,15.50381144569,21.822201862510003,0.08720458984292181
1999,18.461255215,15.5165218041,21.89075258873,0.08779564090480522
2000,18.47044852898,15.52585132682,21.93038065058,0.08810368816954349
2001,18.47890190853,15.55276448996,21.94351295852,0.08781458038654098
2002,18.48610691361,15.576939950500002,21.92300717259,0.08717985430470639
2003,18.49368187295,15.60080057123,21.90209912799,0.08654598245278262
2004,18.49930475621,15.622257008840002,21.88362611596,0.08598011797594773
2005,18.49982487861,15.64305961799,21.84126210677,0.08514632506256235
2006,18.49421071701,15.61533219225,21.84824075205,0.08568039262544043
2007,18.48525555374,15.58669857773,21.85605413533,0.08623981250768549
2008,18.47560389184,15.55873486202,21.86670860151,0.08682222363662068
2009,18.46679729891,15.53164926105,21.8727153907,0.0873367748958809
2010,18.45940755223,15.50395427964,21.88757712019,0.08796533542916103
2011,18.447352143390003,15.47930988641,21.85781789795,0.08802407395244795
2012,18.42800950977,15.46631886039,21.8303172198,0.08791709668098968
2013,18.40750198174,15.45017253198,21.785462161890003,0.08765885296645029
2014,18.39232651687,15.43659469523,21.72763684878,0.08720511945880788
2015,18.38810121276,15.42373173404,21.68378890118,0.08690244417383301
2016,18.39604506144,15.444473524629998,21.75253898553,0.08736715484851575
2017,18.40968225841,15.45809525509,21.78482479806,0.08752060876638028
2018,18.42456344649,15.4689067283,21.78456555625,0.08733921566026492
2019,18.43718645593,15.475567464930002,21.78318610846,0.08721324109535676
2020,18.44443501912,15.47952262276,21.79304746107,0.08726351167368121
2021,18.43823828659,15.480596926929998,21.79976783837,0.08732446212575871
2022,18.42991677455,15.50316549332,21.77511347988,0.08666415963035985
2023,18.4221132549,15.40349009442,21.88439895793,0.08958670749000922
