year,rate,lower,upper,log_se_from_ui_sensitivity_only
1990,207.24980956684453,151.97094845504552,258.3372852445434,0.13535118987127234
1991,207.6173399738649,152.3049857105828,258.4799926892305,0.13493196371185842
1992,208.10453472933145,152.879507425895,259.23449730731534,0.13471504314399085
1993,208.54291405484324,154.52926804631196,261.07994676143375,0.1337865189440101
1994,208.72804083270137,154.70498996579116,261.37580604582445,0.13378551754958606
1995,209.0636580504319,155.68684086334082,261.9162825812448,0.13269856154840123
1996,209.15736463609068,155.19921498742124,262.59385578332075,0.13415791181199785
1997,208.8857292908356,153.54300179914424,260.81131561058794,0.13515728249487152
1998,208.4908952277685,152.89149115314734,260.2724425614167,0.13571440733854173
1999,208.44604490146705,153.98865556488278,259.5643684758597,0.13319535341492794
2000,208.44345552447044,153.96921205160322,260.83329109782966,0.134471635494172
2001,208.51352859780587,152.8249508590018,257.96746484545866,0.13355620340703225
2002,208.70874210449688,154.64146952247083,261.573464417741,0.1340831227066007
2003,208.78225995945343,153.90711769150215,261.7321620070968,0.13545214537635367
2004,209.0576043179419,154.63323887636182,260.40325162469134,0.13295287883925014
2005,209.11505019967643,154.27658579215884,261.6913758175381,0.1348007273932112
2006,209.1498673638339,154.54823972799824,262.556254496102,0.135193643638125
2007,209.15889430943272,154.590055402566,261.8268104416405,0.13441490993480273
2008,209.32472123778587,155.5175870965447,260.9083402830019,0.1319924320060711
2009,209.27668116415632,154.20726324921833,262.7042033821886,0.13590079960550078
2010,209.2218129359716,154.8743059064282,263.85609416116216,0.1359158159056318
2011,209.06640184820552,154.52644118089597,262.0655778506349,0.13475243560138592
2012,209.17251646314088,154.06326819764286,261.2621274706512,0.13473491649096528
2013,209.14809416421872,153.03602541397638,261.2406847600412,0.1364206102868176
2014,209.09022884460856,153.61419908355728,261.9079077939522,0.13610935882923178
2015,209.0753752101842,154.17785612091745,261.97106557912144,0.13523653445083214
2016,209.26340575499225,154.46927950980873,262.7785988825696,0.13553995149335435
2017,209.50872592637907,152.19541371231375,262.885869646078,0.13942721188674978
2018,209.75515660095977,153.80302677281804,262.2482790315293,0.1361272826860942
2019,210.0402424143799,156.44757402640982,262.17152443509354,0.13170357126542592
2020,210.0792161088028,154.4785446771076,261.18100812954293,0.13396899678504856
2021,209.7987789834989,154.60195643444763,261.59146324967026,0.1341658661541746
2022,209.63512678989787,153.86306248566265,262.2083096817631,0.13598884203556785
2023,209.1412946881056,154.26520770529277,260.5666300417896,0.1337207542835755
