year,rate,lower,upper,log_se_from_ui_sensitivity_only
1990,322.43326719739,269.45275657734,380.64500636323,0.08813115414390821
1991,322.90401216876,270.50075559798,380.81137906767,0.08725237062636862
1992,323.30285773669004,270.76971836363,381.53595169885,0.08748376839882302
1993,323.62710952955,270.93465471927,382.45166175781,0.08793995037867386
1994,323.87652741949,271.44334214756003,383.26086549985,0.08800062123432167
1995,324.04531418682,272.01199406569,383.91979557137,0.08790497548957765
1996,324.04757008521,271.83095908013,383.43129836006,0.08775001577741004
1997,323.87326976675,272.00489729334004,382.83194860093,0.08718776670978377
1998,323.6393190468,272.37013381951004,382.66347076583,0.08673316560012098
1999,323.44749288086,272.74463673036,382.58623116614,0.08633114999473232
2000,323.39484394767004,272.97616433407,382.34171495925,0.08595159930588518
2001,323.48429228327,272.4594149795,382.89217772326,0.08680198012381506
2002,323.64071030385,271.68137309098,382.99875433598,0.08760249479696372
2003,323.83888796052,270.94265063214004,383.38199893438,0.08855221968672485
2004,324.02720738748,270.53472716968,383.69928886857,0.0891476205225817
2005,324.15264187869,270.44911633512,383.82407311562,0.0893113096314446
2006,324.27617770628,270.7281424469,383.50419537807,0.08883556313384208
2007,324.47410751534,271.41771385267,383.0402668691,0.08787783300486139
2008,324.71441532844,272.48058881528,382.67728240355,0.08663894169353142
2009,324.93748402771,272.89983948547,382.38339223735,0.08605074243854748
2010,325.08351587878,272.91764217064,382.25053882892,0.0859454545387481
2011,325.18911961657,272.73436934598,382.58285700749,0.08633850356805446
2012,325.32413439658,272.51530532139,382.98741850271,0.08681310202439878
2013,325.4762915899,272.28413642593,383.4284537784,0.08732318926656991
2014,325.61690695473,272.21531274068,383.9603378186,0.08774130515587622
2015,325.71382373033,272.06247184907,384.52382501284,0.08825868234905165
2016,325.75150533511,271.96781158251,384.93073348546,0.08861726672285844
2017,325.74645337097,272.00791710116,385.69427437045,0.08908516517027437
2018,325.71835324919,271.89080811464,385.74193415219,0.08922653993912207
2019,325.68498439291,271.92074065248,385.59321300927,0.08910008476839978
2020,325.66380422307,271.93081940095,385.40327344503,0.08896493777193085
2021,325.46489588991,271.99331009647,385.09940570068,0.08870510888417132
2022,325.19566849371,272.20156083761,383.58928509622,0.08750754739014256
2023,324.39947351022,272.29677744072,383.47358593897,0.08734137171355877
