year,rate,lower,upper,log_se_from_ui_sensitivity_only
1990,269.4807146176897,190.0374175951557,335.4177287828488,0.1449376834526721
1991,268.90803854059664,189.9535643203384,333.09089904430624,0.14327443338203144
1992,268.999897370078,190.9305830482139,332.6364939640097,0.14161743917719213
1993,268.83597550712113,190.8152215948477,333.50039676795853,0.14243329629620083
1994,268.6273448028327,189.2929040705473,334.46905659025435,0.1452165296990014
1995,268.2076083139268,190.04869347044047,331.1372464511784,0.14164607411580762
1996,268.1128317718701,189.17175241414844,332.1775587399952,0.14362609594408293
1997,268.09153583287986,190.1881394931616,330.7044490386924,0.14112532734906758
1998,267.930728238397,189.3278778048224,330.646632413053,0.1422372229831618
1999,267.8256605443129,188.5105524863976,330.9860354246531,0.14360260172355266
2000,267.6177112544077,188.1451471519948,328.29472572912783,0.14201480477391604
2001,267.851362026526,189.54833462433595,328.9985626769906,0.14066564439107737
2002,268.7681169434914,190.40755818216863,333.3985216255813,0.1429009485117723
2003,269.17243432737547,190.2969432168348,332.6971325969932,0.14251195234687034
2004,269.9618007073998,189.36061281486465,335.2103412389793,0.145690055520598
2005,270.133037153141,189.7296725465536,333.1131929492984,0.14359236428699795
2006,270.18490526737594,189.38568407245157,333.8273204163657,0.14460159753207255
2007,269.819451050855,189.95414826345765,333.81004124561576,0.14382381997196386
2008,269.3433272039496,189.85247924779776,333.90117388526363,0.1440300298591018
2009,268.7398182139412,189.4988680056399,331.0712159919599,0.14233429983912832
2010,267.9552509790738,188.46531850002808,331.5334539856158,0.14408538732431403
2011,265.8650779449273,186.60097084574485,329.8943403952823,0.14535712534546047
2012,262.0837657118509,185.36720506216145,324.659619791323,0.1429690203503951
2013,257.88553139735615,183.9694986706122,318.06153462802826,0.13966196260373073
2014,254.14882289831175,179.40978832866026,314.40122782810784,0.14311159597999673
2015,252.07844780375035,177.72119825222651,310.4029693815868,0.14225901381758826
2016,251.2684743319306,178.70184192816194,308.91523632021665,0.139629641240239
2017,250.61537667774573,177.39929708699714,309.3719578177374,0.14187275316227407
2018,250.0651045308392,177.8175429145236,307.9789318283399,0.1401207634453512
2019,249.5356896057436,177.9569969513529,307.2325257537821,0.1393017711301131
2020,248.31600808597693,176.77835521044122,305.91463447294,0.13990035032986403
2021,247.7122543569937,176.05567880430416,307.2157551447892,0.14202805724145845
2022,247.74249552589455,178.52396490131622,305.8309854198492,0.13732391958459064
2023,247.86164747926725,176.80561033016937,305.02831248853687,0.13912084637593494
