year,rate,lower,upper,log_se_from_ui_sensitivity_only
1990,443.11101973017,370.70370520332,523.97939661787,0.08827787215725875
1991,442.99587487878006,370.35419482787,524.19294262719,0.08862244811611937
1992,442.88136017682,370.00986178647,524.4293920604999,0.088974780737732
1993,442.7772840295301,369.68303769065,524.8830647336599,0.08942079600317962
1994,442.69230609633,369.38213799313,525.36377395793,0.08986204411545978
1995,442.6357082213,369.11324148245,525.8658238800799,0.09029148165059894
1996,442.57092654151006,369.33860957737,525.28947638934,0.089856028019873
1997,442.47785527013,369.49633545953,524.63087883928,0.08942706750272561
1998,442.38851265662,369.48225715769,524.02788381696,0.08914341213745605
1999,442.3332905322901,369.36742146335,523.55609195539,0.08899293412410368
2000,442.34246343046,369.33576334515,523.22983020022,0.08885577942717511
2001,442.53966931547,369.68193916575,523.72299425799,0.08885711621367746
2002,442.93419481406,370.17813099335,524.48389121834,0.08888530352505226
2003,443.3889911345301,370.71082813397,525.36966447698,0.08894893314587263
2004,443.76362225532,371.30891733822,526.20053827249,0.08894081992910867
2005,443.92330157674,371.70121996929,526.7788961095599,0.08895167068839205
2006,443.9190443697,371.48625635649,526.80901660937,0.08911383088345554
2007,443.83201630376993,371.41314921651,526.85094132423,0.08918433979449343
2008,443.62796105864,371.15476286171,526.95232572052,0.08941095783823817
2009,443.25653979910993,370.73825824237,527.1358144375799,0.08978620344681958
2010,442.66637620731,370.14085692584,527.04931041928,0.0901557359019017
2011,441.34763943587,368.40252739773,524.41859070028,0.09008011168507465
2012,439.18739952071,366.84445716255,520.50272524629,0.08924928267704989
2013,436.73612200012,364.90805242709,516.26010258311,0.08851155677630915
2014,434.54448755159,362.81783335139,512.5339180863999,0.08812908639016107
2015,433.1592552023,361.40429626495,510.17860142408,0.08794989728508011
2016,432.19358895785,360.64897259305,508.9254879137801,0.08785625165462366
2017,431.04738328102,359.71915435215,507.52397590669,0.08781131448280714
2018,429.94630338685,359.13268747783,506.26289914806006,0.08759290170677415
2019,429.1179572849901,358.93229642452,505.58508601039,0.0873935110804136
2020,428.79155584828,358.93931967804,505.62727195262,0.08740980431692325
2021,431.0964634867401,359.88251747244,507.53608068144,0.08770157282969242
2022,433.44876797577,362.0971244506,510.05600036844,0.08740001247630509
2023,428.7969712303701,358.33495356076,502.3204850343,0.08616585687380497
