location_name,sex_name,measure_name,start_year,end_year,adult_count_start_reconstructed,adult_count_end_reconstructed,population_source,population_growth,population_aging,rate_change,total_change,component_sum,closure_error,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total,cumulative_population_growth,cumulative_population_aging,cumulative_rate_change,cumulative_total_change,chain_step_years
China,Female,DALYs,1990,1991,981432.9910020297,1007781.9109643617,derived_proxy_NOT_OFFICIAL,15568.0483852881,9885.286629606098,895.5849474379212,26348.91996233212,26348.91996233212,0.0,59.084199305109536,37.516857023885244,3.39894367100523,15568.0483852881,9885.286629606098,895.5849474379212,26348.91996233212,1
China,Female,DALYs,1991,1992,1007781.9109643617,1032726.1380429956,derived_proxy_NOT_OFFICIAL,13131.671256911106,10774.297335676072,1038.2584860467857,24944.227078633965,24944.227078633965,0.0,52.64412970389878,43.193550562666346,4.162319733434869,28699.719642199205,20659.58396528217,1933.843433484707,51293.14704096608,1
China,Female,DALYs,1992,1993,1032726.1380429956,1056182.2109943386,derived_proxy_NOT_OFFICIAL,11885.944235742229,10803.275042924175,766.8536726760407,23456.072951342445,23456.07295134244,-3.637978807091713e-12,50.673206296717154,46.0574754577828,3.2693182455000507,40585.663877941435,31462.859008206346,2700.6971061607474,74749.21999230853,1
China,Female,DALYs,1993,1994,1056182.2109943386,1079475.3697889794,derived_proxy_NOT_OFFICIAL,11415.526294146975,9961.604488855888,1916.028011638167,23293.15879464103,23293.15879464103,0.0,49.00806453426705,42.766224094723114,8.225711371009846,52001.19017208841,41424.463497062236,4616.725117798915,98042.37878694956,1
China,Female,DALYs,1994,1995,1079475.3697889794,1100100.8767746822,derived_proxy_NOT_OFFICIAL,11146.70642284987,8876.543623961585,602.2569388910972,20625.506985702552,20625.50698570255,-3.637978807091713e-12,54.04330875636989,43.03672937646934,2.9199618671607794,63147.896594938284,50301.00712102382,5218.982056690012,118667.88577265211,1
China,Female,DALYs,1995,1996,1100100.8767746822,1119239.737729052,derived_proxy_NOT_OFFICIAL,10803.37782880858,8253.94293631074,81.54018925079922,19138.860954370117,19138.860954370117,0.0,56.44733954944046,43.12661529852463,0.42604515203492577,73951.27442374686,58554.95005733456,5300.522245940811,137806.74672702223,1
China,Female,DALYs,1996,1997,1119239.737729052,1140186.1874182657,derived_proxy_NOT_OFFICIAL,11090.7472712429,7588.573538569617,2267.128879401367,20946.449689213885,20946.449689213885,0.0,52.9481006843558,36.22844754678049,10.823451768863709,85042.02169498976,66143.52359590417,7567.651125342178,158753.1964162361,1
China,Female,DALYs,1997,1998,1140186.1874182657,1160107.5344157906,derived_proxy_NOT_OFFICIAL,12755.228216689857,6140.414932678531,1025.703848156457,19921.346997524844,19921.346997524844,0.0,64.02794057186318,30.82329188604292,5.148767542093901,97797.24991167962,72283.9385285827,8593.354973498635,178674.54341376096,1
China,Female,DALYs,1998,1999,1160107.5344157906,1180708.5426507974,derived_proxy_NOT_OFFICIAL,15442.956623341228,3739.6800524130617,1418.3715592530014,20601.00823500729,20601.00823500729,0.0,74.96213994565088,18.152898196789337,6.884961857559781,113240.20653502084,76023.61858099577,10011.726532751636,199275.55164876825,1
China,Female,DALYs,1999,2000,1180708.5426507974,1199983.9559180525,derived_proxy_NOT_OFFICIAL,18344.16809971832,1130.6805014812076,-199.43533394493474,19275.413267254597,19275.413267254597,0.0,95.16874084812339,5.865920931521749,-1.0346617796451552,131584.37463473916,77154.29908247698,9812.291198806703,218550.96491602284,1
China,Female,DALYs,2000,2001,1199983.9559180525,1221037.8404404246,derived_proxy_NOT_OFFICIAL,21084.21209567366,-1281.9630209172608,1251.6354476157576,21053.88452237216,21053.88452237216,0.0,100.1440474002281,-6.0889619659261855,5.944914565698087,152668.58673041282,75872.33606155972,11063.92664642246,239604.849438395,1
China,Female,DALYs,2001,2002,1221037.8404404246,1240268.9853950203,derived_proxy_NOT_OFFICIAL,22858.522598612275,-2416.376798876406,-1211.0008451406222,19231.14495459525,19231.14495459525,0.0,118.8619952300358,-12.564913865406734,-6.297081364629077,175527.1093290251,73455.9592626833,9852.925801281837,258835.99439299025,1
China,Female,DALYs,2002,2003,1240268.9853950203,1262266.235613898,derived_proxy_NOT_OFFICIAL,23991.24098830344,-2347.886545018526,353.89577559265314,21997.25021887757,21997.25021887757,0.0,109.06472740722235,-10.673545655282041,1.6088182480596933,199518.35031732853,71108.07271766478,10206.82157687449,280833.2446118678,1
China,Female,DALYs,2003,2004,1262266.235613898,1284425.76260201,derived_proxy_NOT_OFFICIAL,24318.778761715086,-1594.0906288043673,-565.1611447981171,22159.5269881126,22159.526988112604,3.637978807091713e-12,109.74412393712561,-7.193703320741058,-2.5504206163845273,223837.12907904363,69513.98208886042,9641.660432076373,302992.7715999804,1
China,Female,DALYs,2004,2005,1284425.76260201,1308448.9069317228,derived_proxy_NOT_OFFICIAL,23463.914450974942,76.72334705541532,482.50653168236994,24023.144329712726,24023.14432971273,3.637978807091713e-12,97.67212038914445,0.31937262667369065,2.008506984181866,247301.04353001856,69590.70543591584,10124.166963758744,327015.91592969315,1
China,Female,DALYs,2005,2006,1308448.9069317228,1331106.1257858425,derived_proxy_NOT_OFFICIAL,21294.118553560187,2306.975871682012,-943.8755711224318,22657.21885411977,22657.218854119765,-3.637978807091713e-12,93.983814565521,10.182078773814439,-4.165893339335453,268595.16208357876,71897.68130759784,9180.29139263631,349673.1347838129,1
China,Female,DALYs,2006,2007,1331106.1257858425,1355817.1416943648,derived_proxy_NOT_OFFICIAL,19108.71810386388,4442.80005228729,1159.497752370662,24711.015908521833,24711.015908521833,0.0,77.3287434826751,17.97902631253273,4.692230204792179,287703.88018744264,76340.48135988513,10339.789145006973,374384.15069233475,1
China,Female,DALYs,2007,2008,1355817.1416943648,1378926.404489969,derived_proxy_NOT_OFFICIAL,17122.976222027173,6565.396758561099,-579.1101849839712,23109.2627956043,23109.2627956043,0.0,74.09572678053667,28.410238858030244,-2.5059656385669125,304826.8564094698,82905.87811844623,9760.678960023002,397493.41348793905,1
China,Female,DALYs,2008,2009,1378926.404489969,1403686.0877886373,derived_proxy_NOT_OFFICIAL,15294.024236756144,8142.684660829254,1322.974401083193,24759.68329866859,24759.68329866859,0.0,61.76987020499795,32.88686920024988,5.34326059475217,320120.88064622594,91048.56277927548,11083.653361106195,422253.09678660764,1
China,Female,DALYs,2009,2010,1403686.0877886373,1426225.751027934,derived_proxy_NOT_OFFICIAL,13530.614930224605,9127.25117592339,-118.20286685100292,22539.66323929699,22539.66323929699,0.0,60.03024440327274,40.49417721561339,-0.5244216188861287,333651.49557645054,100175.81395519887,10965.450494255192,444792.76002590463,1
China,Female,DALYs,2010,2011,1426225.751027934,1447149.5036703714,derived_proxy_NOT_OFFICIAL,11643.470419005374,9156.84122328984,123.44100014190191,20923.752642437117,20923.752642437117,0.0,55.647142355288274,43.762901329267905,0.5899563154438247,345294.9659954559,109332.65517848871,11088.891494397094,465716.51266834175,1
China,Female,DALYs,2011,2012,1447149.5036703714,1465875.835296505,derived_proxy_NOT_OFFICIAL,9749.761892326449,9068.648751051785,-92.07901724493907,18726.331626133295,18726.3316261333,3.637978807091713e-12,52.064451740886035,48.427257041609515,-0.4917087824955495,355044.7278877824,118401.3039295405,10996.812477152156,484442.84429447504,1
China,Female,DALYs,2012,2013,1465875.835296505,1481605.8951862373,derived_proxy_NOT_OFFICIAL,7916.8593986781,9218.052487925548,-1404.851996870789,15730.05988973286,15730.059889732858,-1.8189894035458565e-12,50.32949304818286,58.60150916489674,-8.931002213079605,362961.5872864605,127619.35641746604,9591.960480281366,500172.9041842079,1
China,Female,DALYs,2013,2014,1481605.8951862373,1496335.0490614001,derived_proxy_NOT_OFFICIAL,6193.59747542371,8691.521213748725,-155.9648140098434,14729.153875162592,14729.153875162592,0.0,42.04992036825564,59.008964719996726,-1.0588850882523742,369155.1847618842,136310.87763121477,9435.995666271523,514902.0580593705,1
China,Female,DALYs,2014,2015,1496335.0490614001,1509712.2490609773,derived_proxy_NOT_OFFICIAL,4682.7689547580285,8231.438785338503,462.9922594808353,13377.199999577366,13377.199999577368,1.8189894035458565e-12,35.005598741933845,61.53334618304701,3.4610550750191584,373837.9537166422,144542.31641655328,9898.987925752359,528279.2580589479,1
China,Female,DALYs,2015,2016,1509712.2490609773,1520415.2378718737,derived_proxy_NOT_OFFICIAL,3483.796642983526,6428.225831993816,790.9663359185992,10702.988810895942,10702.988810895942,0.0,32.549755068761016,60.060100459506245,7.3901444717327305,377321.75035962573,150970.5422485471,10689.954261670957,538982.2468698438,1
China,Female,DALYs,2016,2017,1520415.2378718737,1528977.7525291194,derived_proxy_NOT_OFFICIAL,2640.358013770776,4852.146830660175,1070.0098128147656,8562.514657245716,8562.514657245716,0.0,30.836245185711526,56.66731123845986,12.496443575828613,379962.1083733965,155822.68907920728,11759.964074485722,547544.7615270895,1
China,Female,DALYs,2017,2018,1528977.7525291194,1537919.4177550222,derived_proxy_NOT_OFFICIAL,2519.964699752163,3715.2725345467916,2706.427991604316,8941.66522590327,8941.66522590327,0.0,28.182275181271965,41.5501189172678,30.267605901460236,382482.07307314867,159537.96161375407,14466.39206609004,556486.4267529928,1
China,Female,DALYs,2018,2019,1537919.4177550222,1543174.0724627222,derived_proxy_NOT_OFFICIAL,3199.222478322607,970.1074278698457,1085.3248015073282,5254.654707699781,5254.654707699781,0.0,60.88359095479106,18.461868226057216,20.65454081915171,385681.2955514713,160508.0690416239,15551.716867597368,561741.0814606926,1
China,Female,DALYs,2019,2020,1543174.0724627222,1547019.8911503726,derived_proxy_NOT_OFFICIAL,4332.588114150839,134.1422490067004,-620.9116755071639,3845.818687650375,3845.818687650376,9.094947017729282e-13,112.6571080447336,3.488002422928975,-16.14511046766257,390013.88366562215,160642.2112906306,14930.805192090203,565586.900148343,1
China,Female,DALYs,2020,2021,1547019.8911503726,1550439.6259349005,derived_proxy_NOT_OFFICIAL,5315.037884070926,-2371.2092357636043,475.90613622012705,3419.734784527449,3419.734784527449,0.0,155.42251721153218,-69.33898051077274,13.9164632992406,395328.92154969304,158271.002054867,15406.71132831033,569006.6349328704,1
China,Female,DALYs,2021,2022,1550439.6259349005,1552061.9611910055,derived_proxy_NOT_OFFICIAL,5880.563424672156,-4053.4746703506294,-204.75349821600443,1622.3352561055217,1622.335256105522,2.2737367544323206e-13,362.47522838088815,-249.85431680016322,-12.620911580724881,401209.4849743652,154217.52738451638,15201.957830094327,570628.9701889759,1
China,Female,DALYs,2022,2023,1552061.9611910055,1548871.3277336091,derived_proxy_NOT_OFFICIAL,6417.944382172039,-5632.061071923623,-3976.5167676448277,-3190.6334573964123,-3190.633457396412,4.547473508864641e-13,-201.14953559752183,176.518586265921,124.63094933160086,407627.42935653724,148585.46631259276,11225.4410624495,567438.3367315795,1
China,Female,Incidence,1990,1991,112468.84108018402,114077.48814327462,derived_proxy_NOT_OFFICIAL,1773.108111683551,-249.1694369661394,84.70838837318539,1608.647063090597,1608.6470630905972,2.2737367544323206e-13,110.22356316474945,-15.489378788124297,5.265815623374854,1773.108111683551,-249.1694369661394,84.70838837318539,1608.647063090597,1
China,Female,Incidence,1991,1992,114077.48814327462,115274.29622622207,derived_proxy_NOT_OFFICIAL,1476.06803595183,-359.3067760868871,80.04682308249176,1196.8080829474347,1196.8080829474347,0.0,123.33372885622973,-30.022088019493122,6.688359163263398,3249.1761476353813,-608.4762130530265,164.75521145567714,2805.4551460380317,1
China,Female,Incidence,1992,1993,115274.29622622207,116209.51567463139,derived_proxy_NOT_OFFICIAL,1317.2195519977904,-467.17184220138734,85.17173861291667,935.2194484093197,935.2194484093197,0.0,140.8460393160344,-49.95317868934213,9.107139373307746,4566.395699633172,-1075.648055254414,249.9269500685938,3740.6745944473514,1
China,Female,Incidence,1993,1994,116209.51567463139,116979.45410466455,derived_proxy_NOT_OFFICIAL,1246.495198916993,-563.3904356023777,86.8336667185431,769.9384300331585,769.9384300331585,0.0,161.89543868635198,-73.17344006041034,11.278001374058375,5812.890898550165,-1639.0384908567917,336.7606167871369,4510.61302448051,1
China,Female,Incidence,1994,1995,116979.45410466455,117567.90411226155,derived_proxy_NOT_OFFICIAL,1199.5606488461708,-682.6486715523862,71.53803030322888,588.4500075970136,588.4500075970135,-1.1368683772161603e-13,203.85090209186677,-116.00792977130564,12.157027679438837,7012.451547396336,-2321.6871624091777,408.29864709036576,5099.0630320775235,1
China,Female,Incidence,1995,1996,117567.90411226155,117986.4356882982,derived_proxy_NOT_OFFICIAL,1146.6852152871895,-785.6307969966413,57.47715774608756,418.53157603663567,418.53157603663584,1.7053025658242404e-13,273.9781849068458,-187.71123661357203,13.733051706726272,8159.136762683525,-3107.3179594058192,465.77580483645335,5517.594608114159,1
China,Female,Incidence,1996,1997,117986.4356882982,118353.57194116674,derived_proxy_NOT_OFFICIAL,1160.1681130798534,-854.170392226195,61.13853201488382,367.1362528685422,367.1362528685422,0.0,316.00478133530066,-232.65759933875054,16.652818003449866,9319.304875763379,-3961.488351632014,526.9143368513372,5884.730860982701,1
China,Female,Incidence,1997,1998,118353.57194116674,118877.3839295535,derived_proxy_NOT_OFFICIAL,1315.5158047301761,-863.4465254933871,71.74270915000186,523.8119883867912,523.8119883867909,-3.410605131648481e-13,251.14274470533465,-164.83901564616428,13.69627094082961,10634.820680493554,-4824.934877125401,598.657046001339,6408.542849369493,1
China,Female,Incidence,1998,1999,118877.3839295535,119733.67934257856,derived_proxy_NOT_OFFICIAL,1574.2439276625664,-796.9285994382298,78.9800848007071,856.2954130250437,856.2954130250438,1.1368683772161603e-13,183.8435548896868,-93.0670172134768,9.223462323790027,12209.06460815612,-5621.863476563631,677.6371308020462,7264.838262394536,1
China,Female,Incidence,1999,2000,119733.67934257856,120936.74077154252,derived_proxy_NOT_OFFICIAL,1854.5131960065385,-729.6888095248312,78.23704248228509,1203.0614289639925,1203.0614289639923,-2.2737367544323206e-13,154.1495015432037,-60.65266427444169,6.50316273123795,14063.57780416266,-6351.552286088462,755.8741732843313,8467.899691358529,1
China,Female,Incidence,2000,2001,120936.74077154252,122465.01714696258,derived_proxy_NOT_OFFICIAL,2119.7935721127506,-675.3671205966602,83.8499239038938,1528.276375419984,1528.276375419984,0.0,138.7048577211836,-44.19142580876861,5.486568087585014,16183.371376275409,-7026.919406685122,839.7240971882251,9996.176066778513,1
China,Female,Incidence,2001,2002,122465.01714696258,124207.42379630519,derived_proxy_NOT_OFFICIAL,2290.9200485970264,-637.8546559303674,89.34125667594829,1742.4066493426071,1742.4066493426074,2.2737367544323206e-13,131.48021728804628,-36.60768031222928,5.127463024183009,18474.291424872437,-7664.77406261549,929.0653538641733,11738.58271612112,1
