location_name,sex_name,age_name,measure_name,year,rate,population,population_source,reported_count,reconstructed_count,absolute_error,relative_error_pct
China,Male,15-19 years,DALYs,1990,61.88337504950358,65205213.72819838,derived_proxy_NOT_OFFICIAL,40351.18696324868,40351.18696325139,2.713932190090418e-09,6.725780316108746e-12
China,Male,15-19 years,DALYs,1991,61.84073386632883,62118545.03305512,derived_proxy_NOT_OFFICIAL,38414.56411552471,38414.564115527246,2.5393092073500156e-09,6.610277288878021e-12
China,Male,15-19 years,DALYs,1992,62.2752142830235,58766833.23881966,derived_proxy_NOT_OFFICIAL,36597.17132682068,36597.17132682203,1.3460521586239338e-09,3.67802239851653e-12
China,Male,15-19 years,DALYs,1993,62.08882778308881,55621943.129828095,derived_proxy_NOT_OFFICIAL,34535.01247948233,34535.01247948656,4.234607331454754e-09,1.2261780226576103e-11
China,Male,15-19 years,DALYs,1994,61.89376532449737,53160226.54413922,derived_proxy_NOT_OFFICIAL,32902.86586319798,32902.86586320069,2.713932190090418e-09,8.248315515658363e-12
China,Male,15-19 years,DALYs,1995,62.16858373728255,51498659.28029317,derived_proxy_NOT_OFFICIAL,32015.987118245685,32015.98711824689,1.204170985147357e-09,3.761155265024168e-12
China,Male,15-19 years,DALYs,1996,62.44145686949989,50430443.82387963,derived_proxy_NOT_OFFICIAL,31489.50382938117,31489.503829385172,4.001776687800884e-09,1.2708287528071625e-11
China,Male,15-19 years,DALYs,1997,62.07207194469227,49864405.381456316,derived_proxy_NOT_OFFICIAL,30951.86958316948,30951.869583170566,1.0877556633204222e-09,3.5143455887133384e-12
China,Male,15-19 years,DALYs,1998,62.6649507526977,50039925.87379838,derived_proxy_NOT_OFFICIAL,31357.4949054987,31357.494905502186,3.485183697193861e-09,1.1114356257402168e-11
China,Male,15-19 years,DALYs,1999,62.33473757278825,51164037.25492373,derived_proxy_NOT_OFFICIAL,31892.96835449687,31892.96835450032,3.4524418879300356e-09,1.0825087992925079e-11
China,Male,15-19 years,DALYs,2000,62.77961235479193,53280309.98540917,derived_proxy_NOT_OFFICIAL,33449.17207026991,33449.17207027137,1.4624674804508686e-09,4.3722083087094705e-12
China,Male,15-19 years,DALYs,2001,62.69642801349104,56325469.725123815,derived_proxy_NOT_OFFICIAL,35314.05757947176,35314.057579472945,1.1859810911118984e-09,3.3583823904770297e-12
China,Male,15-19 years,DALYs,2002,62.363073432332094,59750187.19246253,derived_proxy_NOT_OFFICIAL,37262.053114790055,37262.0531147913,1.2441887520253658e-09,3.3390236125543024e-12
China,Male,15-19 years,DALYs,2003,61.911210837092064,62864212.34558374,derived_proxy_NOT_OFFICIAL,38919.9950463508,38919.99504635161,8.076312951743603e-10,2.07510636682387e-12
China,Male,15-19 years,DALYs,2004,61.633504385893815,65057619.251689374,derived_proxy_NOT_OFFICIAL,40097.2906148462,40097.29061484807,1.8699211068451405e-09,4.663459994857592e-12
China,Male,15-19 years,DALYs,2005,61.75771802020604,65849493.90951295,derived_proxy_NOT_OFFICIAL,40667.14476636586,40667.14476636976,3.899913281202316e-09,9.589837948071967e-12
China,Male,15-19 years,DALYs,2006,61.451789950656014,64865544.00205515,derived_proxy_NOT_OFFICIAL,39861.0378504909,39861.03785049328,2.3792381398379803e-09,5.9688313905973206e-12
China,Male,15-19 years,DALYs,2007,61.04127764407573,62558214.47000265,derived_proxy_NOT_OFFICIAL,38186.33338380815,38186.33338381067,2.5174813345074654e-09,6.5926238824881075e-12
China,Male,15-19 years,DALYs,2008,60.74751539238542,59358980.789355375,derived_proxy_NOT_OFFICIAL,36059.105991774784,36059.105991776756,1.9717845134437084e-09,5.468201330042624e-12
China,Male,15-19 years,DALYs,2009,60.30580005673043,55682273.48020818,derived_proxy_NOT_OFFICIAL,33579.64051201433,33579.64051201618,1.8480932340025902e-09,5.50361232527599e-12
China,Male,15-19 years,DALYs,2010,60.14758400223724,52050711.09240444,derived_proxy_NOT_OFFICIAL,31307.24517806245,31307.245178065776,3.3251126296818256e-09,1.0620904556660872e-11
China,Male,15-19 years,DALYs,2011,60.13182292269767,49010340.299854316,derived_proxy_NOT_OFFICIAL,29470.81104291779,29470.81104291993,2.1391315385699272e-09,7.25847529426574e-12
China,Male,15-19 years,DALYs,2012,60.10057588017917,46488432.93321268,derived_proxy_NOT_OFFICIAL,27939.815910528683,27939.81591053169,3.0086084734648466e-09,1.0768175721340739e-11
China,Male,15-19 years,DALYs,2013,60.40047001845578,44326903.7268681,derived_proxy_NOT_OFFICIAL,26773.65819565537,26773.658195656724,1.3533281162381172e-09,5.054700057602608e-12
China,Male,15-19 years,DALYs,2014,60.49163253956742,42456998.308650464,derived_proxy_NOT_OFFICIAL,25682.931404198796,25682.931404199197,4.001776687800884e-10,1.5581463910099647e-12
China,Male,15-19 years,DALYs,2015,60.72930764636518,40904271.50051269,derived_proxy_NOT_OFFICIAL,24840.88088004845,24840.880880050827,2.3756001610308886e-09,9.563268599459808e-12
China,Male,15-19 years,DALYs,2016,60.75812862516495,39740219.51442723,derived_proxy_NOT_OFFICIAL,24145.41368849753,24145.413688498596,1.0659277904778719e-09,4.41461804808779e-12
China,Male,15-19 years,DALYs,2017,61.20533392536307,39000499.762183204,derived_proxy_NOT_OFFICIAL,23870.386112004195,23870.38611200466,4.656612873077393e-10,1.9507907627583894e-12
China,Male,15-19 years,DALYs,2018,61.457822371725314,38661639.088174865,derived_proxy_NOT_OFFICIAL,23760.60147680677,23760.601476808028,1.2587406672537327e-09,5.2975959740851524e-12
China,Male,15-19 years,DALYs,2019,61.56498665338584,38732910.15876223,derived_proxy_NOT_OFFICIAL,23845.910969708184,23845.910969709897,1.7134880181401968e-09,7.185668101826205e-12
China,Male,15-19 years,DALYs,2020,61.65800067714599,39235262.88198076,derived_proxy_NOT_OFFICIAL,24191.678653450446,24191.67865345171,1.2623786460608244e-09,5.218235014380749e-12
China,Male,15-19 years,DALYs,2021,61.31797870033228,40172887.60090091,derived_proxy_NOT_OFFICIAL,24633.202662427902,24633.202662428852,9.49512468650937e-10,3.854604217173891e-12
China,Male,15-19 years,DALYs,2022,61.40334369239255,41497456.02754338,derived_proxy_NOT_OFFICIAL,25480.82554819127,25480.825548191933,6.621121428906918e-10,2.5984721006721504e-12
China,Male,15-19 years,DALYs,2023,61.07504126488006,43091173.37302044,derived_proxy_NOT_OFFICIAL,26317.951919092546,26317.951919093248,7.021299097687006e-10,2.6678744300742318e-12
