location_name,sex_name,measure_name,joinpoint_count,joinpoint_years,permutation_p_0_vs_1,permutation_p_1_vs_2,aapc,aapc_lower_model_ci,aapc_upper_model_ci,model_label,permutations
China,Female,DALYs,2,"1998,2015",0.01,0.02,0.05594213393158576,0.05242934914724273,0.05945504204782903,independent permutation-selected segmented regression; not NCI Joinpoint,99
China,Female,Incidence,2,"2005,2015",0.01,0.01,0.012203683673961407,0.008989660757263707,0.015417809880813316,independent permutation-selected segmented regression; not NCI Joinpoint,99
China,Female,Prevalence,0,,0.49,,0.030647061717847812,0.027970827963752498,0.03332336707420058,independent permutation-selected segmented regression; not NCI Joinpoint,99
China,Male,DALYs,2,"1995,1999",0.01,0.01,0.039192058316217526,0.033800195880906436,0.044584211375076066,independent permutation-selected segmented regression; not NCI Joinpoint,99
China,Male,Incidence,2,"2008,2015",0.01,0.01,0.005838512777356364,0.0012893304301320185,0.010387902072506172,independent permutation-selected segmented regression; not NCI Joinpoint,99
China,Male,Prevalence,0,,0.05,,0.031615260235784426,0.02708417867185453,0.036146547051130185,independent permutation-selected segmented regression; not NCI Joinpoint,99
United States of America,Female,DALYs,2,"2010,2015",0.01,0.01,-0.25086040930576425,-0.26762815421838004,-0.23408984527569787,independent permutation-selected segmented regression; not NCI Joinpoint,99
United States of America,Female,Incidence,2,"2010,2015",0.01,0.01,-0.23629340308634061,-0.25568432975895394,-0.21689870669477918,independent permutation-selected segmented regression; not NCI Joinpoint,99
United States of America,Female,Prevalence,2,"2010,2015",0.01,0.01,-0.25814635345758896,-0.2743392707374892,-0.24195080685872616,independent permutation-selected segmented regression; not NCI Joinpoint,99
United States of America,Male,DALYs,2,"2010,2014",0.01,0.01,-0.11662992480722112,-0.12174996552486439,-0.11150962162185252,independent permutation-selected segmented regression; not NCI Joinpoint,99
United States of America,Male,Incidence,2,"1994,2010",0.01,0.01,-0.10166942672027446,-0.10732739439619499,-0.09601113857442556,independent permutation-selected segmented regression; not NCI Joinpoint,99
United States of America,Male,Prevalence,2,"2010,2014",0.01,0.01,-0.10767121420399706,-0.11325933703434377,-0.10208277874840244,independent permutation-selected segmented regression; not NCI Joinpoint,99
