location_name,sex_name,measure_name,segment_index,start_year,end_year,apc,apc_lower_model_ci,apc_upper_model_ci
China,Female,DALYs,1,1990,1998,0.1108717829913175,0.09497894253032158,0.12676714687938073
China,Female,DALYs,2,1998,2023,0.02764222233437863,0.023483083962916318,0.031801533649544744
China,Female,Incidence,1,1990,2004,0.05654788165843083,0.050354545087549774,0.06274160161046094
China,Female,Incidence,2,2004,2015,-0.0572147969394865,-0.06445914624347848,-0.049969922491011065
China,Female,Incidence,3,2015,2023,0.03129107795281083,0.01866147010460839,0.043922280573371886
China,Female,Prevalence,1,1990,2019,0.03097672901974935,0.028383529971054422,0.03356999529615656
China,Female,Prevalence,2,2019,2023,-0.030494866539998444,-0.057732190883141854,-0.0032501191929990014
China,Male,DALYs,1,1990,1995,0.179582823018265,0.1311944491559247,0.22799458054978405
China,Male,DALYs,2,1995,1999,-0.06775287445166533,-0.11023422287802509,-0.025253459460117256
China,Male,DALYs,3,1999,2023,0.023872398853286292,0.017817555277388486,0.029927608975177655
China,Male,Incidence,1,1990,2006,0.029439333001124446,0.02158156527156674,0.03729771804259485
China,Male,Incidence,2,2006,2023,-0.030483816359050397,-0.037801173676332844,-0.023165923402113098
China,Male,Prevalence,1,1990,2019,0.03201423093106559,0.027747045123138747,0.03628159877722137
China,Male,Prevalence,2,2019,2023,-0.09401712883604363,-0.13880444437217587,-0.04920972638204901
United States of America,Female,DALYs,1,1990,2010,0.01176173952370796,-0.006613272785593871,0.03014012846709324
United States of America,Female,DALYs,2,2010,2015,-1.3435994389443207,-1.4175025837360522,-1.2696408920786606
United States of America,Female,DALYs,3,2015,2023,-0.2125488690981281,-0.274609330560871,-0.15044978656957309
United States of America,Female,Incidence,1,1990,2010,-0.03612437852293926,-0.05878837684046845,-0.013455240615733999
United States of America,Female,Incidence,2,2010,2015,-1.109026171233618,-1.2004338013292148,-1.0175339723978771
United States of America,Female,Incidence,3,2015,2023,-0.07837788551015024,-0.15505983665394796,-0.0016370418313704782
United States of America,Female,Prevalence,1,1990,2010,-0.025816784796939274,-0.04355180141608628,-0.008078621499219008
United States of America,Female,Prevalence,2,2010,2015,-1.2971466691339972,-1.3685368969132194,-1.22570476854712
United States of America,Female,Prevalence,3,2015,2023,-0.06970081095885039,-0.12970847395727958,-0.009657091996584377
United States of America,Male,DALYs,1,1990,2009,0.02633003873739881,0.014188184454155817,0.03847336705775639
United States of America,Male,DALYs,2,2009,2017,-0.43286279716271414,-0.462294731498869,-0.4034221602072119
United States of America,Male,DALYs,3,2017,2023,-0.10521972262764745,-0.15870892978897544,-0.051701859033170816
United States of America,Male,Incidence,1,1990,2010,0.011915824713271128,0.0006830298508120336,0.023149881323902832
United States of America,Male,Incidence,2,2010,2017,-0.34219531097773315,-0.3756511134933471,-0.30872827335007846
United States of America,Male,Incidence,3,2017,2023,-0.05583237093801374,-0.10930223408115447,-0.002333886248251371
United States of America,Male,Prevalence,1,1990,2009,0.014689243083343406,0.0005014757211485588,0.028879023362859968
United States of America,Male,Prevalence,2,2009,2018,-0.3688379957072496,-0.39974452131149585,-0.33792187963236353
United States of America,Male,Prevalence,3,2018,2023,0.086130621418401,0.008395568650576557,0.16392609649773515
