year,location_name,measure_name,male_asr,female_asr,male_female_rate_ratio,absolute_rate_difference,interval_dominance,derived_uncertainty_note
1990,China,Incidence,22.782916362690003,18.34535763107,1.2418900094977967,4.437558731620001,overlap/inconclusive,Point-estimate ratio/difference; no posterior-draw UI.
1990,China,Prevalence,322.43326719739,276.90029239308,1.1644381607935346,45.532974804310015,overlap/inconclusive,Point-estimate ratio/difference; no posterior-draw UI.
1990,China,DALYs,207.24980956684453,175.27341718732393,1.1824372052114769,31.976392379520604,overlap/inconclusive,Point-estimate ratio/difference; no posterior-draw UI.
1990,United States of America,Incidence,27.27643306768,24.55491470791,1.110833956954992,2.7215183597699983,overlap/inconclusive,Point-estimate ratio/difference; no posterior-draw UI.
1990,United States of America,Prevalence,443.11101973017,435.1880400926101,1.0182058763284807,7.9229796375599335,overlap/inconclusive,Point-estimate ratio/difference; no posterior-draw UI.
1990,United States of America,DALYs,281.19895976143107,269.4807146176897,1.0434845408524538,11.718245143741342,overlap/inconclusive,Point-estimate ratio/difference; no posterior-draw UI.
2023,China,Incidence,22.77420365679,18.4221132549,1.2362427340268582,4.352090401889999,overlap/inconclusive,Point-estimate ratio/difference; no posterior-draw UI.
2023,China,Prevalence,324.39947351022,278.85919351501,1.163309229368329,45.54027999520997,overlap/inconclusive,Point-estimate ratio/difference; no posterior-draw UI.
2023,China,DALYs,209.1412946881056,177.61177697861763,1.1775192965570282,31.529517709487976,overlap/inconclusive,Point-estimate ratio/difference; no posterior-draw UI.
2023,United States of America,Incidence,26.42062052512,23.03579326505,1.1469377338615672,3.3848272600700007,overlap/inconclusive,Point-estimate ratio/difference; no posterior-draw UI.
2023,United States of America,Prevalence,428.7969712303701,403.27353450435,1.0632906316487893,25.523436726020122,overlap/inconclusive,Point-estimate ratio/difference; no posterior-draw UI.
2023,United States of America,DALYs,270.1599534580866,247.86164747926725,1.0899627118821782,22.298305978819343,overlap/inconclusive,Point-estimate ratio/difference; no posterior-draw UI.
