table,column,dtype,description,uncertainty_class
data_audit,location_name,object,Location name,none/not applicable
data_audit,sex_name,object,Sex name,none/not applicable
data_audit,measure_name,object,Measure name,none/not applicable
data_audit,all_age_count_years,int64,All age count years,none/not applicable
data_audit,asr_years,int64,Asr years,none/not applicable
data_audit,all_age_groups,int64,All age groups,none/not applicable
data_audit,all_age_year_cells,int64,All age year cells,none/not applicable
data_audit,missing_values,int64,Missing values,none/not applicable
data_audit,invalid_ui_rows,int64,Invalid ui rows,none/not applicable
data_audit,negative_rows,int64,Negative rows,none/not applicable
data_audit,zero_rows,int64,Zero rows,none/not applicable
data_audit,nonpositive_rows,int64,Nonpositive rows,none/not applicable
duplicate_audit,rows,int64,Rows,none/not applicable
duplicate_audit,duplicate_dimensional_keys,int64,Duplicate dimensional keys,none/not applicable
duplicate_audit,population_rows,int64,Population rows,none/not applicable
duplicate_audit,population_source,object,Provenance status of population denominator,none/not applicable
burden_age_granularity_audit,measure_name,object,Measure name,none/not applicable
burden_age_granularity_audit,required_age_groups,int64,Required age groups,none/not applicable
burden_age_granularity_audit,available_required_age_groups,int64,Available required age groups,none/not applicable
burden_age_granularity_audit,expected_cells_per_metric,int64,Expected cells per metric,none/not applicable
burden_age_granularity_audit,number_cells,int64,Number cells,none/not applicable
burden_age_granularity_audit,rate_cells,int64,Rate cells,none/not applicable
burden_age_granularity_audit,duplicate_number_keys,int64,Duplicate number keys,none/not applicable
burden_age_granularity_audit,duplicate_rate_keys,int64,Duplicate rate keys,none/not applicable
burden_age_granularity_audit,fine_age_panel_complete,bool,Fine age panel complete,none/not applicable
population_reconstruction,location_name,object,Location name,none/not applicable
population_reconstruction,sex_name,object,Sex name,none/not applicable
population_reconstruction,age_name,object,Age name,none/not applicable
population_reconstruction,measure_name,object,Measure name,none/not applicable
population_reconstruction,year,int64,Year,none/not applicable
population_reconstruction,rate,float64,Rate,none/not applicable
population_reconstruction,population,float64,Population,none/not applicable
population_reconstruction,population_source,object,Provenance status of population denominator,none/not applicable
