year,rate,lower,upper,log_se_from_ui_sensitivity_only
1990,175.27341718732393,131.5414364375916,219.91064101128163,0.1310967802670815
1991,175.50459640531432,131.1372509134992,219.74095862907595,0.1316849235199124
1992,175.73938149510028,129.74132056283648,219.509707865756,0.13414638582914218
1993,175.9172940260676,130.04536804263623,220.55109104292623,0.13475663238254795
1994,176.2763901629885,130.58098951844286,220.3833375538765,0.1335139872154335
1995,176.38830673033715,129.51482613470068,221.3325782514063,0.13670180795273768
1996,176.40358481514488,130.0976753041381,219.98991843537743,0.13400413346444726
1997,176.7336058225633,131.17351756137995,222.2195637029208,0.1344757424787788
1998,176.85099885803174,131.83340951972042,220.85165191408936,0.13162044422883545
1999,177.0503373583302,131.37197247787577,220.9829868775499,0.13266656430001747
2000,177.01472386225464,131.62343769291684,221.77968721297145,0.13309678269686367
2001,177.21181117797266,132.2867651801458,220.8749481965032,0.13077159857564533
2002,177.08126475042494,132.18851317827546,220.7553368395559,0.13082295439250272
2003,177.13470614055805,132.39801755477623,222.12409744091576,0.13199580431974953
2004,177.08667036053336,130.5644168007118,222.7330317912746,0.13625182834751615
2005,177.19040261152588,131.39427108757425,223.43198083155625,0.13543482789256725
2006,177.08357922683112,131.41398706419554,219.42624684977915,0.130781536727571
2007,177.2685280218044,130.93725099514103,222.3372816340468,0.13507074162166155
2008,177.2651619318366,131.5866645408128,222.06889771987292,0.13350051105434058
2009,177.5171391937506,131.0076070572923,223.8202537567008,0.13662956645098578
2010,177.5367157696848,131.23344770132925,222.3384013477362,0.134495604818399
2011,177.62542830131346,131.61375554325724,221.78505251694148,0.1331217199218899
2012,177.6411087621761,130.02562459939185,223.9511542839936,0.1386980672218219
2013,177.52659634986904,130.59265318922652,223.3807741602611,0.13693746474631652
2014,177.54183549652976,130.95357649439907,223.32724366483427,0.13617226369480856
2015,177.640520336365,130.31241071276523,224.65033802714376,0.13893122790394194
2016,177.71747893127716,131.42224159813375,224.41717648001813,0.13650289711050245
2017,177.82708530908045,131.33692027933884,225.0826688087533,0.13742393357720967
2018,178.12676277047,131.86257973052764,224.42229810698663,0.13565541294218322
2019,178.2023411338725,131.56044082178144,225.1006474391532,0.13701052349344064
2020,178.10295146317856,130.78610836507357,224.39973355577817,0.13772085664848244
2021,178.2173675206934,131.56685586571308,225.82308455176684,0.1378154971813071
2022,178.18347240095312,131.93640486328297,224.8746092288713,0.13602625749732775
2023,177.61177697861763,129.6486159303557,223.14257796807365,0.13851609534274967
