year,rate,lower,upper,log_se_from_ui_sensitivity_only
1990,276.90029239308,233.24618241484004,329.6091622691,0.08821763345065584
1991,276.94916923532,233.46729211739,330.09729021043,0.08835342834623079
1992,277.01559798184,233.65552394615,329.51263565956003,0.08769560978351676
1993,277.09881737032003,233.58643631562,328.98285187292,0.0873605719105199
1994,277.19277521666,233.40434683725,329.14774206017,0.087687339366986
1995,277.27207979671005,233.22109644355,329.19303064653,0.08792280168235829
1996,277.39045849985,233.41645397566003,329.56138352625,0.08799449369275365
1997,277.58313115753003,233.42217485142,330.14845214175,0.08844226658398813
1998,277.81095142946,233.88122450393,330.54143554976,0.08824454715453293
1999,278.01621770125,233.90308271362,329.58616053006,0.08748238656767035
2000,278.1289174789,233.74044331328,329.63262415599,0.08769578854108627
2001,278.11702585665,234.3130829444,329.10397433648,0.08666213006885722
2002,278.03093998887005,234.77111980687,329.70935745056,0.08663276788706627
2003,277.93577421439,234.83587842707,330.77165616243,0.08738300925838777
2004,277.86868085887,234.60950936901,331.25784929554,0.08800372530958835
2005,277.85468733323,234.2997499917,331.34778764426,0.08841001613473322
2006,277.93100277389,234.35015370846,331.45604015946,0.08843847237269196
2007,278.09137296797,234.48714046736,330.83219404199,0.08780880915691912
2008,278.30636811519,234.6056367536,330.28606101937004,0.08725846110257951
2009,278.51882753679,234.62944496074,330.03634036934,0.08703962526626312
2010,278.65902168162,234.59992144108,330.50003092093,0.08742988558512958
2011,278.74801831264,234.58602663038,330.95765390498,0.0877979748612023
2012,278.84764858283,234.5582779939,331.16995652058,0.08799174238976505
2013,278.95820420687,234.461982222,331.52783480695,0.08837202048820167
2014,279.0636870608,234.34758592671,331.65084061279003,0.08859114985607516
2015,279.13834944969,234.35781691034,331.71102510939,0.08862630205989913
2016,279.1934174338,234.14089215665,331.77013689505003,0.08890799310607354
2017,279.24803417755,233.99603965028,331.82185865163,0.08910562855654942
2018,279.29943369808,233.96778227654,331.44245812017,0.08884458952247432
2019,279.3416516949,233.95111433574,331.15420083302,0.08864080357219556
2020,279.36627567966,233.90244415421,330.97159967637003,0.08855317525747616
2021,279.36637841349,233.61442401003,331.56701658528,0.08932600897264939
2022,279.32341776059,233.86366799534,331.19102201912,0.08876453687414074
2023,278.85919351501,234.44465743948,331.61728314358,0.08845968997880665
