year,rate,lower,upper,log_se_from_ui_sensitivity_only
1990,22.782916362690003,19.22242107758,26.97943154351,0.08647893337296648
1991,22.80992081871,19.25503838243,26.9800908836,0.08605266803286424
1992,22.83253394493,19.28440866957,26.987319816610004,0.0857321915286175
1993,22.85307603628,19.30988353998,27.00755012842,0.08558658059965064
1994,22.87028672082,19.32825123333,27.01926089534,0.08545463216641865
1995,22.88274874173,19.344151205,27.02341860932,0.08528411619687966
1996,22.88302406762,19.33855641546,26.96310163856,0.08478787769268191
1997,22.87206589513,19.32476922478,26.92900245076,0.0846469926602369
1998,22.85997851676,19.31006283091,26.92221536031,0.08477689932916443
1999,22.85248563193,19.2910770112,26.91710266983,0.0849793912210236
2000,22.85456833048,19.26458748673,26.920905498830003,0.08536596316211476
2001,22.86643943251,19.29241589843,26.9298286534,0.08508226634829064
2002,22.88377156863,19.31738530731,26.94824116344,0.08492667058879891
2003,22.90435951441,19.34744139253,26.97080216492,0.08474354505410757
2004,22.92176034363,19.3710994533,26.98771466921,0.08459171269658232
2005,22.92933130176,19.38363103342,27.00900101522,0.08462786547043538
2006,22.92796342348,19.35232553075,27.04218120744,0.08535339774359807
2007,22.92495842757,19.35261417102,27.06948686694,0.085607050519081
2008,22.9216814711,19.35139294162,27.049229405,0.08543217182510995
2009,22.91794885377,19.35182108833,26.99358292457,0.0849011837134377
2010,22.91314469692,19.35556916571,26.93991844021,0.08434412073208582
2011,22.89962902791,19.32124968525,26.9669971937,0.08505313316354653
2012,22.87584095772,19.27982979555,27.002491775800003,0.08593614505787088
2013,22.85022128077,19.23661796895,27.0371120984,0.0868354070994446
2014,22.83151710384,19.19908175876,27.00506113207,0.08703108289498113
2015,22.82725852467,19.17491576865,27.02432733913,0.08753431592400464
2016,22.83387289846,19.17837860252,27.04702173174,0.08770238950352087
2017,22.84124901813,19.18119944671,27.07859708242,0.0879625093029041
2018,22.84843310984,19.18195276123,27.1189850011,0.08833269375441631
2019,22.8553270604,19.2035589968,27.15219775041,0.08835774624514733
2020,22.86161413276,19.24624195875,27.17425548517,0.08799852470124109
2021,22.84494471232,19.26268453991,27.19140279434,0.08794159916693829
2022,22.82157242665,19.2613380022,27.07350385544,0.08685093306644191
2023,22.77420365679,19.21045574529,26.926866401650003,0.0861402648729878
