year,rate,lower,upper,log_se_from_ui_sensitivity_only
1990,435.1880400926101,361.33163503976,517.16221686159,0.09146948921888448
1991,434.82937908548,361.11546516825,516.60800862894,0.09134862954341236
1992,434.4399680863,361.14562351296,516.11311198387,0.0910828276795645
1993,434.0549666716301,361.14799363755,515.69756089678,0.09087567406954215
1994,433.70851926144,361.15821234806,515.38175449993,0.09071218705495843
1995,433.43600175232,361.21486676824,515.1877547232899,0.0905761291901346
1996,433.02990107428,360.82140334767,514.98976818078,0.09075610319137699
1997,432.38648839527,360.26650282688,514.50990358538,0.09091090837650379
1998,431.6960983313001,359.4417155503,513.9743317191701,0.0912299204913826
1999,431.14897880118,358.67912921485,513.61050942745,0.091591075539732
2000,430.93607870005,358.66450919842,513.6519197588,0.09162204090563267
2001,431.29856351893,359.03171236237,514.13944280948,0.09160300977480927
2002,432.1325354853,359.74187352542003,515.3794018388601,0.09171341218021294
2003,433.11544444097,360.34442158768,515.8918292303699,0.0915400024284662
2004,433.92172485544006,360.69902190955,516.0555991551499,0.09137005962169661
2005,434.22906802042,360.64240980664,515.6907083364899,0.09122966083218777
2006,433.98045588005,360.9615555061701,516.8443973598501,0.09157408131717719
2007,433.36580712136,360.94018169711,517.6060826358399,0.09196486015298257
2008,432.46473916796,360.64701035095,516.22180219063,0.0914889931192654
2009,431.34613471026006,360.15333841443004,514.62143325409,0.09104634400398773
2010,430.07895772541,359.52978008388,512.96946484364,0.0906681911835949
2011,426.91053322944,356.32713480485,508.08268123782005,0.09050891984194663
2012,421.18490898276,351.63585884443995,500.20879845818,0.08990547447612629
2013,414.62067288757,346.80668489976,491.38574629758,0.08889335017384783
2014,408.93632103551,341.91866190797003,483.62946153902,0.08845565308255718
2015,405.84745395247006,339.03293189855,478.9322188688,0.08812801913244735
2016,404.73931045516,338.18712380609,478.00938521946,0.08827321521157186
2017,403.84841026946,337.54233448698,477.39821977469,0.08843368544211849
2018,403.16494043235,337.0832706998,477.11304601698,0.08862843435247701
2019,402.67997925326,336.57550831991,477.13031498737007,0.08902222792827744
2020,402.38527902662,335.68577265612,477.3911996323701,0.08983692801601918
2021,402.48875181116,336.84007569576,477.26200158451,0.08889217979063051
2022,402.75014803638,337.74897912623,477.51659074791,0.08834080359068347
2023,403.27353450435,336.95953658544,477.09964003767,0.08871492458619938
