year,rate,lower,upper,log_se_from_ui_sensitivity_only
1990,281.19895976143107,202.4422217345952,346.5631887911838,0.13714557244164644
1991,281.17503191331826,201.6459335741777,347.12786518499576,0.13856628680672264
1992,281.1780549497299,201.8444189648825,349.3167202782249,0.13991883192049495
1993,281.0816137642352,200.73163304613476,346.4305908068601,0.13921265981295292
1994,281.2005463398549,200.1988536221277,348.8095334346576,0.14163644975881576
1995,281.27825429140904,200.9982705656957,347.59156918415715,0.13972750889411226
1996,281.3655871877486,201.71272649354577,350.44814153583326,0.14091025528896955
1997,281.36917602476694,200.17027957593257,348.917941454774,0.14175213458947197
1998,281.22689738502095,199.9328898131168,347.0664257949627,0.14069755896092387
1999,281.3962048259405,201.531235687234,348.8619272790028,0.13998261094125083
2000,281.3763280196945,200.4201045372793,348.49206203287144,0.14112238933572
2001,281.4651567616994,200.7448930588279,349.63740444220485,0.1415463563711404
2002,281.673605960779,204.0206994051772,347.28640351312794,0.13569600854636057
2003,281.86076082562533,200.81629647440676,347.6898845584452,0.14003071527668648
2004,282.2602069134176,202.6322454119971,348.47091730221524,0.1383066424725666
2005,282.3926853395554,200.78074735277204,348.82329758916165,0.1409061173080597
2006,282.35545551984177,200.8033741574156,347.5622924615416,0.13995349912572572
2007,282.14949041780574,200.83049643233815,348.6192384895296,0.14069363991803616
2008,282.1362377203964,200.80476678251264,349.0332907554194,0.1410291275879212
2009,281.85652025356967,200.62253922250127,347.7588933505212,0.1403275959699407
2010,281.4191996936053,199.49938159395992,347.0361555213907,0.1412290389182798
2011,280.49840847857394,199.3797098483812,347.07263030624546,0.14140892116340997
2012,278.95438820923573,198.84673321486088,343.1527454416267,0.1391942160451431
2013,277.306950546476,198.1130785739022,344.1432944570973,0.14087248793571525
2014,275.8198714957597,197.86408032759192,343.4255479533238,0.140660717037138
2015,274.7809072655301,196.1329770087226,339.6650907689359,0.1400936790028724
2016,274.0600818072071,195.89052690156365,339.83805701611345,0.14053909037592383
2017,273.25529287533726,196.0570190514068,335.38496771202216,0.13695752524171442
2018,272.4079757055924,195.50120022585756,335.2385273699211,0.1375703524969781
2019,271.8152154596659,195.65988275352055,334.7678195349367,0.13700493768582897
2020,270.86379229887905,195.79323550649912,333.59422429663965,0.1359352488649506
2021,271.6963497028006,196.02415629376875,336.5544090233591,0.13788824719047
2022,272.8756050380509,196.35534315421364,339.7448886343856,0.13986454473892695
2023,270.1599534580866,194.75363846728052,334.9655725847668,0.1383398956135695
