location_name,sex_name,measure_name,year,reconstructed_all_age_count,reported_all_age_count,reported_all_age_lower,reported_all_age_upper,absolute_error,relative_error_pct,within_tolerance,tolerance_pct
China,Female,DALYs,1990,985172.0335053749,985172.0335053742,724061.8199204785,1242487.1003107172,6.984919309616089e-10,7.090050338480285e-14,True,0.0001
China,Female,DALYs,1991,1011436.1272784357,1011436.1272784362,742653.8404849282,1266525.3527745234,-4.656612873077393e-10,-4.6039613846969926e-14,True,0.0001
China,Female,DALYs,1992,1036332.3431222598,1036332.3431222596,759392.7226235648,1303220.3841529484,2.3283064365386963e-10,2.246679312858248e-14,True,0.0001
China,Female,DALYs,1993,1059790.351579751,1059790.351579751,772267.687373684,1340647.9102757834,0.0,0.0,True,0.0001
China,Female,DALYs,1994,1083146.5913382187,1083146.591338219,795245.0245639972,1366320.9233838802,-2.3283064365386963e-10,-2.1495764794514954e-14,True,0.0001
China,Female,DALYs,1995,1103897.2082474243,1103897.208247424,800480.1914534504,1402373.320494269,2.3283064365386963e-10,2.1091696030603937e-14,True,0.0001
China,Female,DALYs,1996,1123219.5494364703,1123219.5494364696,816430.0475707091,1421372.080934906,6.984919309616089e-10,6.218658955072936e-14,True,0.0001
China,Female,DALYs,1997,1144375.0789486377,1144375.078948638,835499.5408910832,1454375.810868644,-2.3283064365386963e-10,-2.0345658336755827e-14,True,0.0001
China,Female,DALYs,1998,1164481.015445642,1164481.0154456424,855109.6889579082,1467862.106224509,-4.656612873077393e-10,-3.998874014528545e-14,True,0.0001
China,Female,DALYs,1999,1185195.480185652,1185195.480185652,873460.0618003544,1495235.971713607,0.0,0.0,True,0.0001
China,Female,DALYs,2000,1204475.9038035204,1204475.90380352,881688.5398412847,1518268.100500359,4.656612873077393e-10,3.8660905198457194e-14,True,0.0001
China,Female,DALYs,2001,1225400.5721338952,1225400.5721338952,902711.2156783196,1536385.4831328443,0.0,0.0,True,0.0001
China,Female,DALYs,2002,1244409.3758125377,1244409.3758125375,915905.8662105922,1555722.0584068547,2.3283064365386963e-10,1.871013254796821e-14,True,0.0001
China,Female,DALYs,2003,1266129.1731282824,1266129.1731282822,938008.9194173455,1593141.6098386652,2.3283064365386963e-10,1.8389169809475642e-14,True,0.0001
China,Female,DALYs,2004,1287991.4557189331,1287991.455718933,941627.06062796,1622646.7760895027,2.3283064365386963e-10,1.807703324583841e-14,True,0.0001
China,Female,DALYs,2005,1311737.268882961,1311737.268882961,961166.73372931,1662622.1774674996,0.0,0.0,True,0.0001
China,Female,DALYs,2006,1334164.835917821,1334164.8359178214,979904.3125940256,1664195.677898133,-4.656612873077393e-10,-3.4902830202940675e-14,True,0.0001
China,Female,DALYs,2007,1358681.081627046,1358681.0816270467,991473.3225678044,1707039.1090304572,-6.984919309616089e-10,-5.1409557430883737e-14,True,0.0001
China,Female,DALYs,2008,1381623.7287097669,1381623.7287097676,1015220.3514158694,1728797.970867654,-6.984919309616089e-10,-5.05558725177583e-14,True,0.0001
China,Female,DALYs,2009,1406244.367452264,1406244.3674522634,1028231.5995219612,1770445.0144981858,6.984919309616089e-10,4.967073626236729e-14,True,0.0001
China,Female,DALYs,2010,1428677.9829726962,1428677.9829726971,1049881.838794365,1783801.9009386846,-9.313225746154785e-10,-6.518771799630069e-14,True,0.0001
China,Female,DALYs,2011,1449529.659640977,1449529.659640975,1062135.420350202,1812739.115283216,1.862645149230957e-09,1.2849996803047852e-13,True,0.0001
China,Female,DALYs,2012,1468213.1031967718,1468213.103196773,1069412.379740094,1838296.324412851,-1.1641532182693481e-09,-7.929048009002314e-14,True,0.0001
China,Female,DALYs,2013,1483927.2979055662,1483927.2979055662,1084088.803474512,1865313.7187063687,0.0,0.0,True,0.0001
China,Female,DALYs,2014,1498667.4006656974,1498667.4006656972,1095700.0087495772,1875267.2715814367,2.3283064365386963e-10,1.5535844948015013e-14,True,0.0001
China,Female,DALYs,2015,1512083.0670208826,1512083.0670208824,1090709.7291329172,1892432.1945697227,2.3283064365386963e-10,1.5398006150058565e-14,True,0.0001
China,Female,DALYs,2016,1522852.704565557,1522852.7045655577,1106493.274296963,1895785.597649696,-6.984919309616089e-10,-4.5867333647404594e-14,True,0.0001
China,Female,DALYs,2017,1531508.409683915,1531508.409683915,1110469.9131552898,1928660.791830102,0.0,0.0,True,0.0001
China,Female,DALYs,2018,1540562.3853142497,1540562.3853142485,1120085.821584589,1912368.3718389927,1.1641532182693481e-09,7.556676895183837e-14,True,0.0001
China,Female,DALYs,2019,1545928.7148753058,1545928.7148753044,1133606.9729537112,1938445.7067239173,1.3969838619232178e-09,9.036534792847155e-14,True,0.0001
China,Female,DALYs,2020,1549848.827500562,1549848.827500563,1126011.6642661048,1944726.444228968,-1.1641532182693481e-09,-7.511398515858962e-14,True,0.0001
China,Female,DALYs,2021,1553296.115766705,1553296.1157667043,1131829.4228078914,1943000.1481091208,6.984919309616089e-10,4.4968369126245734e-14,True,0.0001
China,Female,DALYs,2022,1554954.1634446485,1554954.1634446485,1126202.5612285598,1941132.3026088688,0.0,0.0,True,0.0001
China,Female,DALYs,2023,1551859.211864378,1551859.2118643762,1120101.8617092932,1948122.882467781,1.862645149230957e-09,1.200266837990547e-13,True,0.0001
China,Female,Incidence,1990,115697.33834901855,115697.33834904048,97975.38808770616,138931.39420657957,-2.1929736249148846e-08,-1.8954399956021734e-11,True,0.0001
China,Female,Incidence,1991,117232.93842308338,117232.9384230991,98668.61853754202,141562.42969810398,-1.57160684466362e-08,-1.3405847075090946e-11,True,0.0001
China,Female,Incidence,1992,118388.51311735723,118388.51311737872,99255.46130035896,142782.418508976,-2.149317879229784e-08,-1.8154783962011574e-11,True,0.0001
China,Female,Incidence,1993,119325.59388220572,119325.59388222347,99991.31465716811,144026.1594157064,-1.775333657860756e-08,-1.4878062619265422e-11,True,0.0001
China,Female,Incidence,1994,120150.09249752676,120150.09249754724,100896.60742336442,144862.57205784606,-2.0489096641540527e-08,-1.7052917909288162e-11,True,0.0001
China,Female,Incidence,1995,120846.48524511754,120846.48524513698,101656.25769291214,145075.12132037152,-1.9441358745098114e-08,-1.6087649306193172e-11,True,0.0001
China,Female,Incidence,1996,121423.24579656393,121423.24579658188,101963.7241338386,144743.53178248982,-1.7942511476576328e-08,-1.477683400642665e-11,True,0.0001
