location_name,sex_name,measure_name,start_year,end_year,all_age_count_start_reconstructed,all_age_count_end_reconstructed,population_source,age_partition,age_group_count,population_size_change,age_structure_change,age_specific_rate_change,total_change,component_sum,closure_error,population_size_change_pct_of_total,age_structure_change_pct_of_total,age_specific_rate_change_pct_of_total,cumulative_population_size_change,cumulative_age_structure_change,cumulative_age_specific_rate_change,cumulative_total_change,chain_step_years
China,Female,DALYs,1990,1991,985172.0335053749,1011436.1272784356,official_GBD_2023,fine_5_year,20,12725.618037690798,12571.318873618477,967.1568617515538,26264.093773060828,26264.093773060828,0.0,48.45253046858791,47.8650395564492,3.68242997496289,12725.618037690798,12571.318873618477,967.1568617515538,26264.093773060828,1
China,Female,DALYs,1991,1992,1011436.1272784356,1036332.34312226,official_GBD_2023,fine_5_year,20,10469.128343478582,13323.344212895821,1103.7432874497997,24896.215843824204,24896.215843824204,0.0,42.05108281978352,53.51553945577167,4.433377724444802,23194.74638116938,25894.663086514298,2070.9001492013535,51160.30961688503,1
China,Female,DALYs,1992,1993,1036332.34312226,1059790.351579751,official_GBD_2023,fine_5_year,20,8704.544592691082,13955.829841984629,797.6340228152305,23458.00845749094,23458.00845749094,0.0,37.10692068538079,59.49281614112496,3.400263173494248,31899.29097386046,39850.49292849893,2868.5341720165843,74618.31807437597,1
China,Female,DALYs,1993,1994,1059790.351579751,1083146.5913382187,official_GBD_2023,fine_5_year,20,7348.725284427637,14083.432552921588,1924.0819211185446,23356.239758467767,23356.23975846777,3.637978807091713e-12,31.46364894530323,60.29837293400648,8.237978120690304,39248.0162582881,53933.92548142051,4792.616093135129,97974.55783284374,1
China,Female,DALYs,1994,1995,1083146.5913382187,1103897.2082474246,official_GBD_2023,fine_5_year,20,6285.227066731779,13831.166746634059,634.2230958398432,20750.61690920568,20750.61690920568,0.0,30.28935040453394,66.65424361671909,3.056405978746975,45533.24332501988,67765.09222805458,5426.839188974972,118725.17474204942,1
China,Female,DALYs,1995,1996,1103897.2082474246,1123219.54943647,official_GBD_2023,fine_5_year,20,5470.3834781362675,13671.511254592799,180.44645631639287,19322.34118904546,19322.34118904546,0.0,28.311183539382007,70.75494175800848,0.9338747026095086,51003.62680315615,81436.60348264738,5607.285645291365,138047.51593109488,1
China,Female,DALYs,1996,1997,1123219.54943647,1144375.0789486377,official_GBD_2023,fine_5_year,20,4891.4351094756275,13882.753160819528,2381.341241872986,21155.52951216814,21155.52951216814,0.0,23.121307867345955,65.6223383717931,11.256353760860947,55895.061912631776,95319.3566434669,7988.626887164351,159203.04544326302,1
China,Female,DALYs,1997,1998,1144375.0789486377,1164481.015445642,official_GBD_2023,fine_5_year,20,4641.531292819147,14353.845416776798,1110.5597874082935,20105.936497004237,20105.936497004237,0.0,23.085377264126592,71.39108103179132,5.5235417040821035,60536.59320545092,109673.2020602437,9099.186674572644,179308.98194026726,1
China,Female,DALYs,1998,1999,1164481.015445642,1185195.4801856522,official_GBD_2023,fine_5_year,20,4751.522143059605,14483.978106136863,1478.964490813281,20714.464740009746,20714.46474000975,3.637978807091713e-12,22.93818451355924,69.92204861640103,7.139766870039747,65288.115348510524,124157.18016638057,10578.151165385925,200023.446680277,1
China,Female,DALYs,1999,2000,1185195.4801856522,1204475.9038035206,official_GBD_2023,fine_5_year,20,5251.677256289908,14169.339079946432,-140.59271836812454,19280.42361786822,19280.423617868215,-3.637978807091713e-12,27.238391439817185,73.49080788253498,-0.7291993223521791,70539.79260480043,138326.519246327,10437.5584470178,219303.87029814522,1
China,Female,DALYs,2000,2001,1204475.9038035206,1225400.5721338955,official_GBD_2023,fine_5_year,20,6197.306552399882,13402.86844515486,1324.4933328203624,20924.668330375105,20924.668330375105,0.0,29.617227162466506,64.0529552657172,6.329817571816293,76737.09915720031,151729.38769148185,11762.051779838162,240228.53862852033,1
China,Female,DALYs,2001,2002,1225400.5721338955,1244409.3758125377,official_GBD_2023,fine_5_year,20,7092.8881709026555,13047.531190333579,-1131.6156825942064,19008.803678642027,19008.803678642027,0.0,37.31370101355776,68.63941261592157,-5.953113629479328,83829.98732810297,164776.91888181542,10630.436097243957,259237.34230716235,1
China,Female,DALYs,2002,2003,1244409.3758125377,1266129.1731282827,official_GBD_2023,fine_5_year,20,7913.090883504521,13366.405214174341,440.3012180662869,21719.79731574515,21719.79731574515,0.0,36.43261844698777,61.54019312364736,2.0271884293648683,91743.07821160748,178143.32409598978,11070.737315310244,280957.1396229075,1
China,Female,DALYs,2003,2004,1266129.1731282827,1287991.455718933,official_GBD_2023,fine_5_year,20,8698.98496142282,13676.36539522275,-513.0677659948511,21862.28259065072,21862.28259065072,0.0,39.789920953372416,62.55689605380625,-2.346817007178663,100442.06317303031,191819.6894912125,10557.669549315393,302819.4222135582,1
China,Female,DALYs,2004,2005,1287991.455718933,1311737.268882961,official_GBD_2023,fine_5_year,20,9503.76319226929,13641.181535307822,600.8684364505268,23745.81316402764,23745.81316402764,0.0,40.0229005703897,57.44668098363019,2.5304184459801022,109945.8263652996,205460.87102652036,11158.537985765919,326565.23537758586,1
China,Female,DALYs,2005,2006,1311737.268882961,1334164.8359178212,official_GBD_2023,fine_5_year,20,10270.359505272121,12957.383772143046,-800.1762425550261,22427.56703486014,22427.56703486014,0.0,45.79346252452821,57.774362025104296,-3.567824549632501,120216.18587057172,218418.2547986634,10358.361743210893,348992.802412446,1
China,Female,DALYs,2006,2007,1334164.8359178212,1358681.0816270462,official_GBD_2023,fine_5_year,20,10852.745862487083,12293.84910177773,1369.6507449607209,24516.245709225535,24516.245709225535,0.0,44.26756849807214,50.14572478832483,5.586706713603042,131068.93173305881,230712.1039004411,11728.012488171615,373509.04812167154,1
China,Female,DALYs,2007,2008,1358681.0816270462,1381623.7287097666,official_GBD_2023,fine_5_year,20,11057.313593931109,12145.015687074474,-259.682198285164,22942.647082720418,22942.647082720418,0.0,48.195456932513615,52.93641855399357,-1.1318754865071667,142126.2453269899,242857.1195875156,11468.33028988645,396451.69520439196,1
China,Female,DALYs,2008,2009,1381623.7287097666,1406244.367452264,official_GBD_2023,fine_5_year,20,10808.152742600689,12050.700057946418,1761.7859419498518,24620.638742496958,24620.638742496958,0.0,43.898750376224214,48.945521616976,7.155728006799778,152934.3980695906,254907.819645462,13230.116231836302,421072.3339468889,1
China,Female,DALYs,2009,2010,1406244.367452264,1428677.9829726964,official_GBD_2023,fine_5_year,20,9847.686999202124,12279.676224269206,306.25229696102906,22433.61552043236,22433.61552043236,0.0,43.89701245540617,54.73783845981034,1.3651490847834888,162782.08506879272,267187.49586973124,13536.368528797331,443505.9494673213,1
China,Female,DALYs,2010,2011,1428677.9829726964,1449529.6596409772,official_GBD_2023,fine_5_year,20,8788.972197919307,11513.593048797842,549.111421563585,20851.676668280736,20851.676668280736,0.0,42.14995435493666,55.21662949201658,2.6334161530467486,171571.05726671204,278701.08891852904,14085.479950360916,464357.626135602,1
China,Female,DALYs,2011,2012,1449529.6596409772,1468213.1031967718,official_GBD_2023,fine_5_year,20,9001.768506177817,9369.25902316207,312.4160264554667,18683.443555795355,18683.443555795355,0.0,48.180457094514516,50.14738848961198,1.6721544158735098,180572.82577288986,288070.3479416911,14397.895976816382,483041.06969139737,1
China,Female,DALYs,2012,2013,1468213.1031967718,1483927.2979055662,official_GBD_2023,fine_5_year,20,9527.476477190814,7221.977401399829,-1035.2591697965206,15714.194708794123,15714.194708794123,0.0,60.62974688648194,45.95830416533021,-6.588051051812151,190100.30225008065,295292.325343091,13362.636807019862,498755.2644001915,1
China,Female,DALYs,2013,2014,1483927.2979055662,1498667.4006656974,official_GBD_2023,fine_5_year,20,9488.306529535446,5059.493370195385,192.30286039994098,14740.102760130772,14740.102760130772,0.0,64.3706945870116,34.324681805342436,1.304623607645968,199588.6087796161,300351.81871328637,13554.939667419803,513495.36716032226,1
China,Female,DALYs,2014,2015,1498667.4006656974,1512083.0670208826,official_GBD_2023,fine_5_year,20,9861.492655006354,2781.2626059880713,772.9110941914842,13415.66635518591,13415.66635518591,0.0,73.50728911944304,20.731453305060445,5.761257575496506,209450.10143462245,303133.08131927444,14327.850761611287,526911.0335155082,1
China,Female,DALYs,2015,2016,1512083.0670208826,1522852.7045655567,official_GBD_2023,fine_5_year,20,10617.034850909997,-697.794476499975,850.3971702640798,10769.6375446741,10769.637544674102,1.8189894035458565e-12,98.58302850833108,-6.479275403702465,7.896246895371386,220067.13628553247,302435.2868427744,15178.247931875367,537680.6710601823,1
China,Female,DALYs,2016,2017,1522852.7045655567,1531508.409683915,official_GBD_2023,fine_5_year,20,10333.08008388461,-2640.5616584704644,963.1866929437577,8655.705118357902,8655.705118357902,0.0,119.37883676246271,-30.506603706613014,11.127766944150318,230400.21636941706,299794.725184304,16141.434624819125,546336.3761785402,1
China,Female,DALYs,2017,2018,1531508.409683915,1540562.38531425,official_GBD_2023,fine_5_year,20,9136.55281522808,-2822.948022233594,2740.3708373403256,9053.975630334811,9053.975630334811,0.0,100.91205441968056,-31.17909896703801,30.26704454735746,239536.76918464515,296971.7771620704,18881.80546215945,555390.351808875,1
China,Female,DALYs,2018,2019,1540562.38531425,1545928.7148753055,official_GBD_2023,fine_5_year,20,7768.7019536712905,-2899.508606069605,497.1362134539523,5366.329561055638,5366.329561055638,0.0,144.76751502647315,-54.031504645406606,9.263989618933469,247305.47113831644,294072.2685560008,19378.9416756134,560756.6813699306,1
China,Female,DALYs,2019,2020,1545928.7148753055,1549848.827500562,official_GBD_2023,fine_5_year,20,6136.042418620433,-1606.0173361863708,-609.9124571778812,3920.1126252561808,3920.1126252561808,0.0,156.5271971801943,-40.96865293714404,-15.55854424305024,253441.51355693687,292466.2512198144,18769.02921843552,564676.7939951868,1
China,Female,DALYs,2020,2021,1549848.827500562,1553296.115766705,official_GBD_2023,fine_5_year,20,4171.658079881105,-911.1312601432438,186.76144640543498,3447.288266143296,3447.288266143296,0.0,121.01274270713101,-26.430376278412748,5.417633571281727,257613.17163681798,291555.11995967117,18955.790664840955,568124.0822613301,1
