location_name,sex_name,measure_name,age_name,age_midpoint,longitudinal_age_rr,reference_age
China,Female,DALYs,10-14 years,12.0,0.022578240911656097,40-44 years
China,Female,DALYs,15-19 years,17.0,0.16297764132903936,40-44 years
China,Female,DALYs,20-24 years,22.0,0.49731978693020645,40-44 years
China,Female,DALYs,25-29 years,27.0,0.7705175786783979,40-44 years
China,Female,DALYs,30-34 years,32.0,0.9112777354532162,40-44 years
China,Female,DALYs,35-39 years,37.0,0.9774838556168073,40-44 years
China,Female,DALYs,40-44 years,42.0,1.0,40-44 years
China,Female,DALYs,45-49 years,47.0,1.0034549228681122,40-44 years
China,Female,DALYs,50-54 years,52.0,0.9966520752868294,40-44 years
China,Female,DALYs,55-59 years,57.0,0.982839217612938,40-44 years
China,Female,DALYs,60-64 years,62.0,0.9503275506279303,40-44 years
China,Female,DALYs,65-69 years,67.0,0.8623145280655661,40-44 years
China,Female,Incidence,10-14 years,12.0,0.28832298249175486,40-44 years
China,Female,Incidence,15-19 years,17.0,1.2257528359735346,40-44 years
China,Female,Incidence,20-24 years,22.0,1.9348553632805072,40-44 years
China,Female,Incidence,25-29 years,27.0,1.5619335587345333,40-44 years
China,Female,Incidence,30-34 years,32.0,1.2298447457428299,40-44 years
China,Female,Incidence,35-39 years,37.0,1.063496180150387,40-44 years
China,Female,Incidence,40-44 years,42.0,1.0,40-44 years
China,Female,Incidence,45-49 years,47.0,1.0377974825285303,40-44 years
China,Female,Incidence,50-54 years,52.0,1.075409108408906,40-44 years
China,Female,Incidence,55-59 years,57.0,1.1124365804089111,40-44 years
China,Female,Incidence,60-64 years,62.0,0.9880361786427371,40-44 years
China,Female,Incidence,65-69 years,67.0,0.70580121363294,40-44 years
China,Female,Prevalence,10-14 years,12.0,0.020544871655643376,40-44 years
China,Female,Prevalence,15-19 years,17.0,0.1556909436510378,40-44 years
China,Female,Prevalence,20-24 years,22.0,0.4786368025984025,40-44 years
China,Female,Prevalence,25-29 years,27.0,0.7500952386572005,40-44 years
China,Female,Prevalence,30-34 years,32.0,0.8950783313597936,40-44 years
China,Female,Prevalence,35-39 years,37.0,0.9685921441872297,40-44 years
China,Female,Prevalence,40-44 years,42.0,1.0,40-44 years
China,Female,Prevalence,45-49 years,47.0,1.0151931796441007,40-44 years
China,Female,Prevalence,50-54 years,52.0,1.0225422826892754,40-44 years
China,Female,Prevalence,55-59 years,57.0,1.0242557614541017,40-44 years
China,Female,Prevalence,60-64 years,62.0,1.0090025706733599,40-44 years
China,Female,Prevalence,65-69 years,67.0,0.937010492184507,40-44 years
China,Male,DALYs,10-14 years,12.0,0.021452677013328685,40-44 years
China,Male,DALYs,15-19 years,17.0,0.16105302781887318,40-44 years
China,Male,DALYs,20-24 years,22.0,0.5147288039003584,40-44 years
China,Male,DALYs,25-29 years,27.0,0.8081075482577085,40-44 years
China,Male,DALYs,30-34 years,32.0,0.9503100372836493,40-44 years
China,Male,DALYs,35-39 years,37.0,1.002024516578224,40-44 years
China,Male,DALYs,40-44 years,42.0,1.0,40-44 years
China,Male,DALYs,45-49 years,47.0,0.9842280517956105,40-44 years
China,Male,DALYs,50-54 years,52.0,0.9663655803656709,40-44 years
China,Male,DALYs,55-59 years,57.0,0.9468942324001725,40-44 years
China,Male,DALYs,60-64 years,62.0,0.909549665789814,40-44 years
China,Male,DALYs,65-69 years,67.0,0.814849310326122,40-44 years
China,Male,Incidence,10-14 years,12.0,0.278090524443275,40-44 years
China,Male,Incidence,15-19 years,17.0,1.2647180947031158,40-44 years
China,Male,Incidence,20-24 years,22.0,2.092162445987444,40-44 years
China,Male,Incidence,25-29 years,27.0,1.7104250583781742,40-44 years
China,Male,Incidence,30-34 years,32.0,1.3143960286420568,40-44 years
China,Male,Incidence,35-39 years,37.0,1.0792105598800312,40-44 years
China,Male,Incidence,40-44 years,42.0,1.0,40-44 years
China,Male,Incidence,45-49 years,47.0,1.07464025529294,40-44 years
China,Male,Incidence,50-54 years,52.0,1.1480609047061077,40-44 years
China,Male,Incidence,55-59 years,57.0,1.2198897771772537,40-44 years
China,Male,Incidence,60-64 years,62.0,1.095472535538478,40-44 years
China,Male,Incidence,65-69 years,67.0,0.7809492927906398,40-44 years
China,Male,Prevalence,10-14 years,12.0,0.01979581618051143,40-44 years
China,Male,Prevalence,15-19 years,17.0,0.15453327029295041,40-44 years
China,Male,Prevalence,20-24 years,22.0,0.4966739765112535,40-44 years
China,Male,Prevalence,25-29 years,27.0,0.7866729802390588,40-44 years
China,Male,Prevalence,30-34 years,32.0,0.9319485134828666,40-44 years
China,Male,Prevalence,35-39 years,37.0,0.9915490117697262,40-44 years
China,Male,Prevalence,40-44 years,42.0,1.0,40-44 years
China,Male,Prevalence,45-49 years,47.0,0.9972133748768374,40-44 years
China,Male,Prevalence,50-54 years,52.0,0.9925871629593223,40-44 years
China,Male,Prevalence,55-59 years,57.0,0.9872607260039606,40-44 years
China,Male,Prevalence,60-64 years,62.0,0.9672602577518951,40-44 years
China,Male,Prevalence,65-69 years,67.0,0.8875413512498854,40-44 years
United States of America,Female,DALYs,10-14 years,12.0,0.017805654801949674,40-44 years
United States of America,Female,DALYs,15-19 years,17.0,0.1702450046235199,40-44 years
United States of America,Female,DALYs,20-24 years,22.0,0.6825269044790091,40-44 years
United States of America,Female,DALYs,25-29 years,27.0,1.0014559980085462,40-44 years
United States of America,Female,DALYs,30-34 years,32.0,1.0685075045830636,40-44 years
United States of America,Female,DALYs,35-39 years,37.0,1.0526101237910634,40-44 years
United States of America,Female,DALYs,40-44 years,42.0,1.0,40-44 years
United States of America,Female,DALYs,45-49 years,47.0,0.9363307436735541,40-44 years
United States of America,Female,DALYs,50-54 years,52.0,0.8666093941969055,40-44 years
United States of America,Female,DALYs,55-59 years,57.0,0.7933139766031658,40-44 years
United States of America,Female,DALYs,60-64 years,62.0,0.7087835998345773,40-44 years
United States of America,Female,DALYs,65-69 years,67.0,0.5921120735779186,40-44 years
United States of America,Female,Incidence,10-14 years,12.0,0.4252848265660849,40-44 years
United States of America,Female,Incidence,15-19 years,17.0,3.1838988070152148,40-44 years
United States of America,Female,Incidence,20-24 years,22.0,5.124265808708432,40-44 years
United States of America,Female,Incidence,25-29 years,27.0,2.8107446475396975,40-44 years
United States of America,Female,Incidence,30-34 years,32.0,1.6066630230100134,40-44 years
United States of America,Female,Incidence,35-39 years,37.0,1.2127823780911875,40-44 years
United States of America,Female,Incidence,40-44 years,42.0,1.0,40-44 years
United States of America,Female,Incidence,45-49 years,47.0,0.9711003506131213,40-44 years
United States of America,Female,Incidence,50-54 years,52.0,0.9418072080168408,40-44 years
United States of America,Female,Incidence,55-59 years,57.0,0.9107910829771567,40-44 years
United States of America,Female,Incidence,60-64 years,62.0,0.785675687087656,40-44 years
United States of America,Female,Incidence,65-69 years,67.0,0.5650953939852472,40-44 years
United States of America,Female,Prevalence,10-14 years,12.0,0.015704661994440337,40-44 years
United States of America,Female,Prevalence,15-19 years,17.0,0.16196261856818153,40-44 years
United States of America,Female,Prevalence,20-24 years,22.0,0.6591515385172574,40-44 years
United States of America,Female,Prevalence,25-29 years,27.0,0.9761694927802443,40-44 years
United States of America,Female,Prevalence,30-34 years,32.0,1.049751683315901,40-44 years
United States of America,Female,Prevalence,35-39 years,37.0,1.0429359153362505,40-44 years
United States of America,Female,Prevalence,40-44 years,42.0,1.0,40-44 years
United States of America,Female,Prevalence,45-49 years,47.0,0.9456770494773482,40-44 years
United States of America,Female,Prevalence,50-54 years,52.0,0.8867348505937598,40-44 years
United States of America,Female,Prevalence,55-59 years,57.0,0.8247553008687942,40-44 years
United States of America,Female,Prevalence,60-64 years,62.0,0.7533515494710673,40-44 years
United States of America,Female,Prevalence,65-69 years,67.0,0.6478066835156092,40-44 years
United States of America,Male,DALYs,10-14 years,12.0,0.02009248937779416,40-44 years
United States of America,Male,DALYs,15-19 years,17.0,0.1692307623904915,40-44 years
United States of America,Male,DALYs,20-24 years,22.0,0.6148029438250656,40-44 years
United States of America,Male,DALYs,25-29 years,27.0,0.942141582416996,40-44 years
United States of America,Male,DALYs,30-34 years,32.0,1.0420678919058572,40-44 years
United States of America,Male,DALYs,35-39 years,37.0,1.0448584283048667,40-44 years
United States of America,Male,DALYs,40-44 years,42.0,1.0,40-44 years
United States of America,Male,DALYs,45-49 years,47.0,0.9275853954179285,40-44 years
United States of America,Male,DALYs,50-54 years,52.0,0.8385265494651264,40-44 years
United States of America,Male,DALYs,55-59 years,57.0,0.7403855994267783,40-44 years
United States of America,Male,DALYs,60-64 years,62.0,0.6337091894421807,40-44 years
United States of America,Male,DALYs,65-69 years,67.0,0.50404161144849,40-44 years
United States of America,Male,Incidence,10-14 years,12.0,0.4038117440272067,40-44 years
United States of America,Male,Incidence,15-19 years,17.0,2.3677821000007873,40-44 years
United States of America,Male,Incidence,20-24 years,22.0,3.9477007194413387,40-44 years
United States of America,Male,Incidence,25-29 years,27.0,2.6197607602447954,40-44 years
United States of America,Male,Incidence,30-34 years,32.0,1.6297314559734792,40-44 years
United States of America,Male,Incidence,35-39 years,37.0,1.2317091035745855,40-44 years
United States of America,Male,Incidence,40-44 years,42.0,1.0,40-44 years
United States of America,Male,Incidence,45-49 years,47.0,0.9355285174283703,40-44 years
United States of America,Male,Incidence,50-54 years,52.0,0.869322666539884,40-44 years
United States of America,Male,Incidence,55-59 years,57.0,0.7995610425792308,40-44 years
United States of America,Male,Incidence,60-64 years,62.0,0.6686246509843959,40-44 years
United States of America,Male,Incidence,65-69 years,67.0,0.47865112266086063,40-44 years
United States of America,Male,Prevalence,10-14 years,12.0,0.01815452550533226,40-44 years
United States of America,Male,Prevalence,15-19 years,17.0,0.16220909326601443,40-44 years
United States of America,Male,Prevalence,20-24 years,22.0,0.5958516229596168,40-44 years
United States of America,Male,Prevalence,25-29 years,27.0,0.9212537156942738,40-44 years
United States of America,Male,Prevalence,30-34 years,32.0,1.0250698520130814,40-44 years
United States of America,Male,Prevalence,35-39 years,37.0,1.0365087594838855,40-44 years
United States of America,Male,Prevalence,40-44 years,42.0,1.0,40-44 years
United States of America,Male,Prevalence,45-49 years,47.0,0.9394495155756333,40-44 years
United States of America,Male,Prevalence,50-54 years,52.0,0.8646040486070715,40-44 years
United States of America,Male,Prevalence,55-59 years,57.0,0.7801593339763196,40-44 years
United States of America,Male,Prevalence,60-64 years,62.0,0.6845139342832899,40-44 years
United States of America,Male,Prevalence,65-69 years,67.0,0.5619889107001612,40-44 years
