location_name,sex_name,measure_name,age_name,age_midpoint,period,period_midpoint,cohort_midpoint,events,population,rate,window,age_coverage,age_index,period_index,cohort_index,cohort_level,fitted_rate
China,Female,DALYs,10-14 years,12.0,1994-1998,1996.0,1984.0,20009.73728969937,269624940.28498524,7.421322845189949,primary_1994_2023,10-14 to 65-69,0,0,0,11,7.420011127369174
China,Female,DALYs,10-14 years,12.0,1999-2003,2001.0,1989.0,21344.94504578443,287547903.9977516,7.4230918567054935,primary_1994_2023,10-14 to 65-69,0,1,1,12,7.36342051789988
China,Female,DALYs,10-14 years,12.0,2004-2008,2006.0,1994.0,15474.029352723583,215213129.33324507,7.1900954187432236,primary_1994_2023,10-14 to 65-69,0,2,2,13,7.171223447025667
China,Female,DALYs,10-14 years,12.0,2009-2013,2011.0,1999.0,12049.338198697005,170979253.76550967,7.04725160119258,primary_1994_2023,10-14 to 65-69,0,3,3,14,7.113289973461651
China,Female,DALYs,10-14 years,12.0,2014-2018,2016.0,2004.0,12314.260972020651,173637222.2861553,7.091947688339927,primary_1994_2023,10-14 to 65-69,0,4,4,15,7.146862966829991
China,Female,DALYs,10-14 years,12.0,2019-2023,2021.0,2009.0,14320.15497910156,201118403.00707868,7.120260883633579,primary_1994_2023,10-14 to 65-69,0,5,5,16,7.1202608836335495
China,Female,DALYs,15-19 years,17.0,1994-1998,1996.0,1979.0,129763.647230726,242527348.09805286,53.504748329769,primary_1994_2023,10-14 to 65-69,1,0,-1,10,53.369215989923894
China,Female,DALYs,15-19 years,17.0,1999-2003,2001.0,1984.0,145911.17175900328,270089638.8181737,54.02323924659388,primary_1994_2023,10-14 to 65-69,1,1,0,11,53.68698542288682
China,Female,DALYs,15-19 years,17.0,2004-2008,2006.0,1989.0,159331.2127527588,302382382.4618558,52.69196289001979,primary_1994_2023,10-14 to 65-69,1,2,1,12,52.86578474194536
China,Female,DALYs,15-19 years,17.0,2009-2013,2011.0,1994.0,116124.63971408516,226612677.11389786,51.243664384989245,primary_1994_2023,10-14 to 65-69,1,3,2,13,51.71687961739687
