location_name,sex_name,measure_name,age_name,age_midpoint,local_drift,formal_inference_performed,inference_note
China,Female,DALYs,10-14 years,12.0,-0.21382920229218172,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,DALYs,15-19 years,17.0,-0.18782917187268877,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,DALYs,20-24 years,22.0,-0.1125536006578387,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,DALYs,25-29 years,27.0,-0.022123667803253255,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,DALYs,30-34 years,32.0,0.03293227286744749,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,DALYs,35-39 years,37.0,0.03888295343026371,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,DALYs,40-44 years,42.0,0.03212553759166514,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,DALYs,45-49 years,47.0,0.019772806358453465,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,DALYs,50-54 years,52.0,0.047323571829860356,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,DALYs,55-59 years,57.0,0.08797490859657753,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,DALYs,60-64 years,62.0,0.1029725741530596,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,DALYs,65-69 years,67.0,0.1305185217886473,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Incidence,10-14 years,12.0,-0.21511031661306523,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Incidence,15-19 years,17.0,-0.1623637544661216,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Incidence,20-24 years,22.0,-0.017863996991551723,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Incidence,25-29 years,27.0,0.08708353767765686,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Incidence,30-34 years,32.0,0.0607003217115043,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Incidence,35-39 years,37.0,0.04020203691892377,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Incidence,40-44 years,42.0,0.012494310072286297,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Incidence,45-49 years,47.0,-0.0023376064591351664,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Incidence,50-54 years,52.0,0.0033054067501758766,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Incidence,55-59 years,57.0,0.009433825279336894,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Incidence,60-64 years,62.0,-0.0035859235760438146,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Incidence,65-69 years,67.0,0.0053934322299831194,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Prevalence,10-14 years,12.0,-0.2138326477600816,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
