location_name,sex_name,measure_name,weighting,age_name,age_midpoint,descriptive_age_rate_ratio,reference_age,method_label
China,Female,DALYs,population,10-14 years,12.0,0.022717482622396448,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,15-19 years,17.0,0.16328304476329122,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,20-24 years,22.0,0.49681298813215313,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,25-29 years,27.0,0.7692631602839063,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,30-34 years,32.0,0.9107860958461477,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,35-39 years,37.0,0.9776420884323976,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,40-44 years,42.0,1.0,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,45-49 years,47.0,1.0039900891776132,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,50-54 years,52.0,0.9970957061962397,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,55-59 years,57.0,0.9826054297223673,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,60-64 years,62.0,0.9490024108800723,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,65-69 years,67.0,0.8598547791070973,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,10-14 years,12.0,0.28886203854953224,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,15-19 years,17.0,1.2229974297414055,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,20-24 years,22.0,1.9260977128849037,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,25-29 years,27.0,1.5559062624756024,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,30-34 years,32.0,1.2285480052020101,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,35-39 years,37.0,1.0632690129373126,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,40-44 years,42.0,1.0,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,45-49 years,47.0,1.0375500355399312,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,50-54 years,52.0,1.0737714382962382,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,55-59 years,57.0,1.109047679662534,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,60-64 years,62.0,0.9841392262822585,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,population,65-69 years,67.0,0.7024073775646185,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,population,10-14 years,12.0,0.02064984536681904,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,population,15-19 years,17.0,0.15601708152883784,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,population,20-24 years,22.0,0.4779312316446495,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,population,25-29 years,27.0,0.7487923594482263,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,population,30-34 years,32.0,0.8945099370996314,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,population,35-39 years,37.0,0.9685551488858946,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,population,40-44 years,42.0,1.0,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,population,45-49 years,47.0,1.0155664288350563,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,population,50-54 years,52.0,1.0229222693871753,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,population,55-59 years,57.0,1.0242650801732847,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,population,60-64 years,62.0,1.0076907525504801,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,population,65-69 years,67.0,0.9343605520751534,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,population,10-14 years,12.0,0.021508237271225483,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,population,15-19 years,17.0,0.16122706441950913,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,population,20-24 years,22.0,0.5144472859356052,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,population,25-29 years,27.0,0.8073370937125588,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,population,30-34 years,32.0,0.9500928953541573,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,population,35-39 years,37.0,1.0019004807437828,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,population,40-44 years,42.0,1.0,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,population,45-49 years,47.0,0.9848286893148148,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,population,50-54 years,52.0,0.9675541193503535,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,population,55-59 years,57.0,0.9486856178982144,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,population,60-64 years,62.0,0.9105021621020151,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
