location_name,sex_name,measure_name,weighting,age_name,age_midpoint,period,period_midpoint,cohort_midpoint,events,population,observed_rate,window,age_coverage,age_index,period_index,cohort_index,cohort_level,custom_fitted_rate,method_label
China,Female,DALYs,population,10-14 years,12.0,1990-1994,1992.0,1980.0,18278.826031410143,245079123.5302365,7.458336625377641,sensitivity_1990_2019,10-14 to 65-69,0,0,0,11,7.444954216263511,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,10-14 years,12.0,1995-1999,1997.0,1985.0,20825.453275314663,280052727.6317071,7.436261539541899,sensitivity_1990_2019,10-14 to 65-69,0,1,1,12,7.457754891636191,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,10-14 years,12.0,2000-2004,2002.0,1990.0,20423.700627861443,276532964.4717258,7.385629654272075,sensitivity_1990_2019,10-14 to 65-69,0,2,2,13,7.346960598823988,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,10-14 years,12.0,2005-2009,2007.0,1995.0,14466.615899424465,202529402.7308478,7.142970701715803,sensitivity_1990_2019,10-14 to 65-69,0,3,3,14,7.144203521566856,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,10-14 years,12.0,2010-2014,2012.0,2000.0,11823.410139367603,167611520.93602276,7.054055755439743,sensitivity_1990_2019,10-14 to 65-69,0,4,4,15,7.098323341805133,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,10-14 years,12.0,2015-2019,2017.0,2005.0,12736.551780310096,179418689.3843522,7.098787659197392,sensitivity_1990_2019,10-14 to 65-69,0,5,5,16,7.0987876591973835,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,15-19 years,17.0,1990-1994,1992.0,1975.0,149651.70779312757,280919087.07978284,53.272175041144685,sensitivity_1990_2019,10-14 to 65-69,1,0,-1,10,53.26099794740795,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,15-19 years,17.0,1995-1999,1997.0,1980.0,129096.12083704569,240302492.99765885,53.722339384262405,sensitivity_1990_2019,10-14 to 65-69,1,1,0,11,53.59698081824,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,15-19 years,17.0,2000-2004,2002.0,1985.0,152993.9285930654,283934455.3254102,53.88353745857398,sensitivity_1990_2019,10-14 to 65-69,1,2,1,12,53.655189911302124,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,15-19 years,17.0,2005-2009,2007.0,1990.0,152767.01594577474,291983271.2459099,52.32046866723179,sensitivity_1990_2019,10-14 to 65-69,1,3,2,13,52.5801768827889,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,15-19 years,17.0,2010-2014,2012.0,1995.0,108382.4834170345,212391895.75578415,51.02948162469277,sensitivity_1990_2019,10-14 to 65-69,1,4,3,14,51.37395887119686,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,15-19 years,17.0,2015-2019,2017.0,2000.0,88532.05356142759,171699978.1392166,51.56206455055261,sensitivity_1990_2019,10-14 to 65-69,1,5,4,15,51.248139260872264,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,20-24 years,22.0,1990-1994,1992.0,1970.0,503771.2669264652,312630018.0155027,161.13976198583853,sensitivity_1990_2019,10-14 to 65-69,2,0,-2,9,161.44245962807577,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,20-24 years,22.0,1995-1999,1997.0,1975.0,432191.0995313782,265570395.79291472,162.74069187605917,sensitivity_1990_2019,10-14 to 65-69,2,1,-1,10,162.31496390144832,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,20-24 years,22.0,2000-2004,2002.0,1980.0,378776.33448043035,232552258.59371722,162.87794269165772,sensitivity_1990_2019,10-14 to 65-69,2,2,0,11,163.23561585618077,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,20-24 years,22.0,2005-2009,2007.0,1985.0,462069.28015253454,285115436.90724885,162.06392932096858,sensitivity_1990_2019,10-14 to 65-69,2,3,1,12,162.55376528722283,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,20-24 years,22.0,2010-2014,2012.0,1990.0,468303.44486147666,292782508.424566,159.94925632045837,sensitivity_1990_2019,10-14 to 65-69,2,4,2,13,160.05978295601713,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,20-24 years,22.0,2015-2019,2017.0,1995.0,328980.5312217802,208054988.43237755,158.12191464407312,sensitivity_1990_2019,10-14 to 65-69,2,5,3,14,157.01325685047905,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,25-29 years,27.0,1990-1994,1992.0,1965.0,745804.7880858439,298682181.84143275,249.69845321465607,sensitivity_1990_2019,10-14 to 65-69,3,0,-3,8,249.96738279971578,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,25-29 years,27.0,1995-1999,1997.0,1970.0,763472.0901432765,304889902.50322443,250.40910960808296,sensitivity_1990_2019,10-14 to 65-69,3,1,-2,9,250.37857787546537,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,25-29 years,27.0,2000-2004,2002.0,1975.0,667652.5254494055,265623632.56046122,251.3528329590307,sensitivity_1990_2019,10-14 to 65-69,3,2,-1,10,251.5725769004609,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,25-29 years,27.0,2005-2009,2007.0,1980.0,590644.7801688304,235019460.63889432,251.31739242494126,sensitivity_1990_2019,10-14 to 65-69,3,3,0,11,251.66937012049527,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,25-29 years,27.0,2010-2014,2012.0,1985.0,720188.1123492629,285345339.1773946,252.39175604740947,sensitivity_1990_2019,10-14 to 65-69,3,4,1,12,251.81834036939813,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,25-29 years,27.0,2015-2019,2017.0,1990.0,699571.1831523194,280816476.2742032,249.12041929805545,sensitivity_1990_2019,10-14 to 65-69,3,5,2,13,248.9462879155803,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,30-34 years,32.0,1990-1994,1992.0,1960.0,653427.1645474959,221065184.52725402,295.5812177954861,sensitivity_1990_2019,10-14 to 65-69,4,0,-4,7,295.5478286982553,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,30-34 years,32.0,1995-1999,1997.0,1965.0,883607.750183434,298716963.7855472,295.8009946893366,sensitivity_1990_2019,10-14 to 65-69,4,1,-3,8,296.43003783938343,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,30-34 years,32.0,2000-2004,2002.0,1970.0,905137.485933139,304892510.79074335,296.871013192699,sensitivity_1990_2019,10-14 to 65-69,4,2,-2,9,296.7299413548634,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,30-34 years,32.0,2005-2009,2007.0,1975.0,798405.50318514,268996686.9847224,296.80867527951574,sensitivity_1990_2019,10-14 to 65-69,4,3,-1,10,296.57750137398455,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,30-34 years,32.0,2010-2014,2012.0,1980.0,706562.0662276502,236570316.2267984,298.6689443954895,sensitivity_1990_2019,10-14 to 65-69,4,4,0,11,298.1124744838092,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,30-34 years,32.0,2015-2019,2017.0,1985.0,839610.7861936124,280540680.1911037,299.2830792388724,sensitivity_1990_2019,10-14 to 65-69,4,5,1,12,299.48167404033285,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,35-39 years,37.0,1990-1994,1992.0,1955.0,710442.596261156,224453444.5015109,316.5211377526326,sensitivity_1990_2019,10-14 to 65-69,5,0,-5,6,316.4354887603908,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,35-39 years,37.0,1995-1999,1997.0,1960.0,684408.6313218086,215851019.31152102,317.074542202673,sensitivity_1990_2019,10-14 to 65-69,5,1,-4,7,317.7522834861608,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,35-39 years,37.0,2000-2004,2002.0,1965.0,943386.2838747486,295795904.10054374,318.93148985392406,sensitivity_1990_2019,10-14 to 65-69,5,2,-3,8,318.4992783563061,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,35-39 years,37.0,2005-2009,2007.0,1970.0,966698.2903722146,304161082.2553149,317.8244511770778,sensitivity_1990_2019,10-14 to 65-69,5,3,-2,9,317.14532595972884,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,35-39 years,37.0,2010-2014,2012.0,1975.0,848855.7099620915,266564280.18735218,318.4431572622863,sensitivity_1990_2019,10-14 to 65-69,5,4,-1,10,318.5004351748504,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,35-39 years,37.0,2015-2019,2017.0,1980.0,737640.2812112458,230090647.29150218,320.5868164979032,sensitivity_1990_2019,10-14 to 65-69,5,5,0,11,321.4290205817367,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,40-44 years,42.0,1990-1994,1992.0,1950.0,587021.1258751147,182100860.99572834,322.36043402830745,sensitivity_1990_2019,10-14 to 65-69,6,0,-6,5,322.58070264058586,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,40-44 years,42.0,1995-1999,1997.0,1955.0,702031.4921493747,216779649.485558,323.84566254967785,sensitivity_1990_2019,10-14 to 65-69,6,1,-5,6,324.19230584340625,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,40-44 years,42.0,2000-2004,2002.0,1960.0,680494.5956339547,209020984.66233623,325.56281214216955,sensitivity_1990_2019,10-14 to 65-69,6,2,-4,7,325.33555992987624,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,40-44 years,42.0,2005-2009,2007.0,1965.0,947811.2138213584,291712768.34614336,324.9124881282863,sensitivity_1990_2019,10-14 to 65-69,6,3,-3,8,324.3859301498071,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,40-44 years,42.0,2010-2014,2012.0,1970.0,976095.5059198692,300328319.8259119,325.00947845533585,sensitivity_1990_2019,10-14 to 65-69,6,4,-2,9,324.5538423879177,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,40-44 years,42.0,2015-2019,2017.0,1975.0,851539.240339164,260898678.308772,326.38695061972396,sensitivity_1990_2019,10-14 to 65-69,6,5,-1,10,327.24391326508794,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,45-49 years,47.0,1990-1994,1992.0,1945.0,431811.1460619811,134287382.123747,321.5574979815031,sensitivity_1990_2019,10-14 to 65-69,7,0,-7,4,321.42044879432467,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,45-49 years,47.0,1995-1999,1997.0,1950.0,577289.9819436875,177811637.42206714,324.66377921788575,sensitivity_1990_2019,10-14 to 65-69,7,1,-6,5,324.38832735363695,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,45-49 years,47.0,2000-2004,2002.0,1955.0,686933.1038443826,211118526.33650923,325.37793615964137,sensitivity_1990_2019,10-14 to 65-69,7,2,-5,6,325.80284640108624,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,45-49 years,47.0,2005-2009,2007.0,1960.0,674106.546104622,207022121.63501763,325.62053793124556,sensitivity_1990_2019,10-14 to 65-69,7,3,-4,7,325.23285187794727,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,45-49 years,47.0,2010-2014,2012.0,1965.0,947549.061695801,290316584.45165896,326.38475114520327,sensitivity_1990_2019,10-14 to 65-69,7,4,-3,8,325.8365244285437,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,45-49 years,47.0,2015-2019,2017.0,1970.0,972043.6599594916,297647234.7437862,326.57574016980993,sensitivity_1990_2019,10-14 to 65-69,7,5,-2,9,327.3087520751584,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,50-54 years,52.0,1990-1994,1992.0,1940.0,360745.7991947399,113747090.32353114,317.14727661926975,sensitivity_1990_2019,10-14 to 65-69,8,0,-8,3,316.96007798421715,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,50-54 years,52.0,1995-1999,1997.0,1945.0,417487.2389414568,130329648.77108052,320.3317455990068,sensitivity_1990_2019,10-14 to 65-69,8,1,-7,4,319.72627843060127,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,50-54 years,52.0,2000-2004,2002.0,1950.0,559676.8217970582,174223134.69098723,321.2413912708752,sensitivity_1990_2019,10-14 to 65-69,8,2,-6,5,322.4745042825128,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,50-54 years,52.0,2005-2009,2007.0,1955.0,677101.8514057251,209638862.88918304,322.98489033669637,sensitivity_1990_2019,10-14 to 65-69,8,3,-5,6,322.1778959566818,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,50-54 years,52.0,2010-2014,2012.0,1960.0,667795.4235273538,206413305.00947642,323.52343929413627,sensitivity_1990_2019,10-14 to 65-69,8,4,-4,7,323.1544625980594,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,50-54 years,52.0,2015-2019,2017.0,1965.0,935841.553733763,288313932.6058284,324.59116535766213,sensitivity_1990_2019,10-14 to 65-69,8,5,-3,8,325.0488414453333,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,55-59 years,57.0,1990-1994,1992.0,1935.0,333334.33376141504,106609073.70772836,312.6697589318336,sensitivity_1990_2019,10-14 to 65-69,9,0,-9,2,311.99713346248836,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,55-59 years,57.0,1995-1999,1997.0,1940.0,338009.02308226895,107855282.77103196,313.3912539081046,sensitivity_1990_2019,10-14 to 65-69,9,1,-8,3,312.855855471698,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,55-59 years,57.0,2000-2004,2002.0,1945.0,390742.4174930763,124474456.51148033,313.9137365560925,sensitivity_1990_2019,10-14 to 65-69,9,2,-7,4,315.3867118463005,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,55-59 years,57.0,2005-2009,2007.0,1950.0,536645.0004098625,169301519.91085172,316.9758905250473,sensitivity_1990_2019,10-14 to 65-69,9,3,-6,5,316.4252586637608,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,55-59 years,57.0,2010-2014,2012.0,1955.0,651136.7700080606,204920200.95766452,317.7513817403401,sensitivity_1990_2019,10-14 to 65-69,9,4,-5,6,317.64818964428713,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,55-59 years,57.0,2015-2019,2017.0,1960.0,645690.0901975571,202042804.24373806,319.5808396217947,sensitivity_1990_2019,10-14 to 65-69,9,5,-4,7,319.88502434452664,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,60-64 years,62.0,1990-1994,1992.0,1930.0,271763.9752013008,90151613.01469097,301.45214945517904,sensitivity_1990_2019,10-14 to 65-69,10,0,-10,1,301.13858527888334,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,60-64 years,62.0,1995-1999,1997.0,1935.0,302242.2557958461,99788653.27417868,302.8823878055626,sensitivity_1990_2019,10-14 to 65-69,10,1,-9,2,301.8117677253867,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,60-64 years,62.0,2000-2004,2002.0,1940.0,308050.8472162712,102348814.25097004,300.9813542743135,sensitivity_1990_2019,10-14 to 65-69,10,2,-8,3,302.4511143323207,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,60-64 years,62.0,2005-2009,2007.0,1945.0,366616.2269184729,120853533.85350916,303.3558185918348,sensitivity_1990_2019,10-14 to 65-69,10,3,-7,4,303.29482051233526,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,60-64 years,62.0,2010-2014,2012.0,1950.0,506638.2685180837,165531494.32460463,306.0675979427662,sensitivity_1990_2019,10-14 to 65-69,10,4,-6,5,305.7508195776621,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,60-64 years,62.0,2015-2019,2017.0,1955.0,615638.6262256964,199923287.59692743,307.937426212652,sensitivity_1990_2019,10-14 to 65-69,10,5,-5,6,308.15979608570404,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,population,65-69 years,67.0,1990-1994,1992.0,1925.0,197210.4106946247,72859011.7073278,270.6740128274211,sensitivity_1990_2019,10-14 to 65-69,11,0,-11,0,270.674012827422,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
