location_name,sex_name,measure_name,window,start_year,end_year,period_count,period_width_years,age_group_count,age_coverage,global_period_slope_pct_per_year,reference_age,reference_period,reference_cohort_midpoint,design_rank,design_columns,log_rate_objective_value,weighting,formal_inference_performed,identifiability_note,interpretation,analysis_role,method_label
China,Female,DALYs,sensitivity_1990_2019,1990,2019,6,5,12,10-14 to 65-69,0.0018997836834566684,40-44 years,2005-2009,1965.0,32,32,0.00046218140904318657,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,sensitivity_1990_2019,1990,2019,6,5,12,10-14 to 65-69,-0.019756570724249745,40-44 years,2005-2009,1965.0,32,32,0.0013709990453477363,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,principal secondary APC outcome,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,sensitivity_1990_2019,1990,2019,6,5,12,10-14 to 65-69,-0.013885443430949884,40-44 years,2005-2009,1965.0,32,32,0.00040709246964671096,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,sensitivity_1990_2019,1990,2019,6,5,12,10-14 to 65-69,-0.0006643423376084812,40-44 years,2005-2009,1965.0,32,32,0.0004622558382521166,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,Incidence,sensitivity_1990_2019,1990,2019,6,5,12,10-14 to 65-69,-0.017161028934198352,40-44 years,2005-2009,1965.0,32,32,0.0018089865079568143,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,principal secondary APC outcome,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,Prevalence,sensitivity_1990_2019,1990,2019,6,5,12,10-14 to 65-69,0.0018949130703882489,40-44 years,2005-2009,1965.0,32,32,0.0006708616723186222,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Female,DALYs,sensitivity_1990_2019,1990,2019,6,5,12,10-14 to 65-69,-0.1880345334152822,40-44 years,2005-2009,1965.0,32,32,0.006650289193695898,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Female,Incidence,sensitivity_1990_2019,1990,2019,6,5,12,10-14 to 65-69,-0.05822393119768732,40-44 years,2005-2009,1965.0,32,32,0.018915026685070217,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,principal secondary APC outcome,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Female,Prevalence,sensitivity_1990_2019,1990,2019,6,5,12,10-14 to 65-69,-0.20017195350854333,40-44 years,2005-2009,1965.0,32,32,0.007126531548806083,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Male,DALYs,sensitivity_1990_2019,1990,2019,6,5,12,10-14 to 65-69,-0.059151132449342114,40-44 years,2005-2009,1965.0,32,32,0.004164222912418514,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
