location_name,sex_name,measure_name,weighting,age_name,age_midpoint,descriptive_age_rate_ratio,reference_age,method_label
China,Female,DALYs,equal,10-14 years,12.0,0.022557549755735717,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,15-19 years,17.0,0.16303258718380634,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,20-24 years,22.0,0.4978114643282429,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,25-29 years,27.0,0.771058114183111,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,30-34 years,32.0,0.9116942142963007,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,35-39 years,37.0,0.9776462071001237,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,40-44 years,42.0,1.0,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,45-49 years,47.0,1.0037155253739958,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,50-54 years,52.0,0.9971262985150302,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,55-59 years,57.0,0.9830753177590957,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,60-64 years,62.0,0.9504705988329487,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,65-69 years,67.0,0.8619336839026537,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,10-14 years,12.0,0.287938800474192,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,15-19 years,17.0,1.2266849659915813,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,20-24 years,22.0,1.9376983837199173,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,25-29 years,27.0,1.563445388712319,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,30-34 years,32.0,1.2304364223907107,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,35-39 years,37.0,1.0639260038603038,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,40-44 years,42.0,1.0,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,45-49 years,47.0,1.0382249531401195,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,equal,50-54 years,52.0,1.0758056428983744,40-44 years,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
