location_name,sex_name,measure_name,population_weighted_global_period_slope,equal_weight_global_period_slope,equal_minus_population_weighted_global_period_slope,maximum_absolute_age_specific_slope_difference,maximum_absolute_log_age_rate_ratio_difference,maximum_absolute_log_period_rate_ratio_difference,maximum_absolute_log_cohort_rate_ratio_difference,interpretation
China,Female,DALYs,-0.001645248163328894,-0.0003720725059830343,0.0012731756573458597,0.012086028991709075,0.0009881660080994746,0.0011405395758800865,0.0004767549255353996,Descriptive weighting sensitivity; differences are point-estimate changes and are not GBD posterior uncertainty.
China,Female,Incidence,-0.017172444449586877,-0.017089745179488247,8.269927009862954e-05,0.018420380985240126,0.0014682925717328294,0.0016066730880538495,0.0007711443165887736,Descriptive weighting sensitivity; differences are point-estimate changes and are not GBD posterior uncertainty.
China,Female,Prevalence,-0.010636715188871992,-0.00929094436231681,0.0013457708265551815,0.011841334379236734,0.0011422965484915964,0.0009885248616398469,0.00040344446020230956,Descriptive weighting sensitivity; differences are point-estimate changes and are not GBD posterior uncertainty.
China,Male,DALYs,-0.0002245983040993771,0.001472406361346934,0.0016970046654463111,0.008255961998671069,0.0009321353187735788,0.0006142815612573531,0.000736466118396914,Descriptive weighting sensitivity; differences are point-estimate changes and are not GBD posterior uncertainty.
China,Male,Incidence,-0.017019645215288204,-0.015566357448393298,0.0014532877668949062,0.009781908981332244,0.0013841802838096382,0.0017243556225487303,0.0012577315816895312,Descriptive weighting sensitivity; differences are point-estimate changes and are not GBD posterior uncertainty.
China,Male,Prevalence,0.002242763657789304,0.004362504772426057,0.002119741114636753,0.007862256530133394,0.0011805480246515365,0.0007836784974319719,0.0009630612548269444,Descriptive weighting sensitivity; differences are point-estimate changes and are not GBD posterior uncertainty.
United States of America,Female,DALYs,-0.2907393451529239,-0.2919360068232124,-0.0011966616702885347,0.01412014445723031,0.002402486071134418,0.0007411198772160543,0.0020417389872988364,Descriptive weighting sensitivity; differences are point-estimate changes and are not GBD posterior uncertainty.
United States of America,Female,Incidence,-0.0688962905696866,-0.06914302155444085,-0.0002467309847542509,0.022759365623126193,0.00221793608911024,0.0007467590800196521,0.002070264369735404,Descriptive weighting sensitivity; differences are point-estimate changes and are not GBD posterior uncertainty.
United States of America,Female,Prevalence,-0.28010484252892764,-0.281431402930421,-0.0013265604014933707,0.012804733516080802,0.0027630285001442392,0.0008788885271579205,0.0021971552788291773,Descriptive weighting sensitivity; differences are point-estimate changes and are not GBD posterior uncertainty.
United States of America,Male,DALYs,-0.10968597797468282,-0.11054337203618703,-0.0008573940615042019,0.009442184622443506,0.0011804424545449937,0.0009315384081986317,0.0008705145813655684,Descriptive weighting sensitivity; differences are point-estimate changes and are not GBD posterior uncertainty.
United States of America,Male,Incidence,0.03830811709149007,0.03743128848912036,-0.0008768286023697058,0.009560328923052808,0.000995815770293525,0.0019590641634924413,0.001161068777547849,Descriptive weighting sensitivity; differences are point-estimate changes and are not GBD posterior uncertainty.
United States of America,Male,Prevalence,-0.08926510367562868,-0.09013057348949971,-0.0008654698138710337,0.008863680003834418,0.0012678151059408657,0.0010021562403331851,0.0008892070552534888,Descriptive weighting sensitivity; differences are point-estimate changes and are not GBD posterior uncertainty.
