location_name,sex_name,measure_name,primary_net_drift_1994_2023,sensitivity_net_drift_1990_2019,primary_direction,sensitivity_direction,direction_agreement,net_drift_difference_pct_points,comparison_note
China,Female,DALYs,-0.001645248163328894,0.0018997836834566684,decrease,increase,False,-0.0035450318467855624,Direction compares descriptive point estimates across two six-period windows; it is not an inferential test.
China,Female,Incidence,-0.017172444449586877,-0.019756570724249745,decrease,decrease,True,0.002584126274662868,Direction compares descriptive point estimates across two six-period windows; it is not an inferential test.
China,Female,Prevalence,-0.010636715188871992,-0.013885443430949884,decrease,decrease,True,0.003248728242077892,Direction compares descriptive point estimates across two six-period windows; it is not an inferential test.
China,Male,DALYs,-0.0002245983040993771,-0.0006643423376084812,decrease,decrease,True,0.00043974403350910407,Direction compares descriptive point estimates across two six-period windows; it is not an inferential test.
China,Male,Incidence,-0.017019645215288204,-0.017161028934198352,decrease,decrease,True,0.00014138371891014856,Direction compares descriptive point estimates across two six-period windows; it is not an inferential test.
China,Male,Prevalence,0.002242763657789304,0.0018949130703882489,increase,increase,True,0.0003478505874010551,Direction compares descriptive point estimates across two six-period windows; it is not an inferential test.
United States of America,Female,DALYs,-0.2907393451529239,-0.1880345334152822,decrease,decrease,True,-0.10270481173764168,Direction compares descriptive point estimates across two six-period windows; it is not an inferential test.
United States of America,Female,Incidence,-0.0688962905696866,-0.05822393119768732,decrease,decrease,True,-0.010672359371999285,Direction compares descriptive point estimates across two six-period windows; it is not an inferential test.
United States of America,Female,Prevalence,-0.28010484252892764,-0.20017195350854333,decrease,decrease,True,-0.07993288902038431,Direction compares descriptive point estimates across two six-period windows; it is not an inferential test.
United States of America,Male,DALYs,-0.10968597797468282,-0.059151132449342114,decrease,decrease,True,-0.05053484552534071,Direction compares descriptive point estimates across two six-period windows; it is not an inferential test.
United States of America,Male,Incidence,0.03830811709149007,0.04757801048640431,increase,increase,True,-0.009269893394914241,Direction compares descriptive point estimates across two six-period windows; it is not an inferential test.
United States of America,Male,Prevalence,-0.08926510367562868,-0.054163701483667115,decrease,decrease,True,-0.03510140219196156,Direction compares descriptive point estimates across two six-period windows; it is not an inferential test.
