location_name,sex_name,measure_name,segmented_direction_1990_2023,asr_endpoint_direction_1994_2023,selected_age_crude_direction_1994_2023,apc_net_drift_direction_1994_2023,asr_annualized_endpoint_change_1994_2023,selected_age_crude_annualized_change_1994_2023,apc_net_drift_1994_2023,opposing_local_drifts,likely_explanatory_factors,implementation_failure_indicated,interpretation
China,Female,Incidence,increase,decrease,decrease,decrease,-0.00010289104610539113,-0.2730607411904673,-0.017172444449586877,True,calendar window and piecewise-versus-endpoint estimand; opposing age-specific local drifts hidden by aggregate summaries,False,"The compared methods target different age coverage, weighting, windows, and model functions. The discrepancy is retained as a substantive cross-method finding unless synthetic recovery or input QA fails."
China,Female,Prevalence,increase,increase,increase,decrease,0.02067030201307052,0.5613715721243251,-0.010636715188871992,True,APC global drift versus crude endpoint change and APC constraints; opposing age-specific local drifts hidden by aggregate summaries,False,"The compared methods target different age coverage, weighting, windows, and model functions. The discrepancy is retained as a substantive cross-method finding unless synthetic recovery or input QA fails."
China,Female,DALYs,increase,increase,increase,decrease,0.026027449556909055,0.5155864759845086,-0.001645248163328894,True,APC global drift versus crude endpoint change and APC constraints; opposing age-specific local drifts hidden by aggregate summaries,False,"The compared methods target different age coverage, weighting, windows, and model functions. The discrepancy is retained as a substantive cross-method finding unless synthetic recovery or input QA fails."
China,Male,Incidence,decrease,decrease,decrease,decrease,-0.01451642239832518,-0.2724737637868624,-0.017019645215288204,True,opposing age-specific local drifts hidden by aggregate summaries,False,"The compared methods target different age coverage, weighting, windows, and model functions. The discrepancy is retained as a substantive cross-method finding unless synthetic recovery or input QA fails."
China,Male,Prevalence,increase,increase,increase,increase,0.005563411051401346,0.42515577074253574,0.002242763657789304,True,opposing age-specific local drifts hidden by aggregate summaries,False,"The compared methods target different age coverage, weighting, windows, and model functions. The discrepancy is retained as a substantive cross-method finding unless synthetic recovery or input QA fails."
China,Male,DALYs,increase,increase,increase,decrease,0.006820612257030234,0.380100855528287,-0.0002245983040993771,True,APC global drift versus crude endpoint change and APC constraints; opposing age-specific local drifts hidden by aggregate summaries,False,"The compared methods target different age coverage, weighting, windows, and model functions. The discrepancy is retained as a substantive cross-method finding unless synthetic recovery or input QA fails."
United States of America,Female,Incidence,decrease,decrease,decrease,decrease,-0.22142229279072945,-0.4004429443213886,-0.0688962905696866,True,opposing age-specific local drifts hidden by aggregate summaries,False,"The compared methods target different age coverage, weighting, windows, and model functions. The discrepancy is retained as a substantive cross-method finding unless synthetic recovery or input QA fails."
United States of America,Male,Incidence,decrease,decrease,decrease,increase,-0.09752503338291696,-0.3297351599207188,0.03830811709149007,True,APC global drift versus crude endpoint change and APC constraints; opposing age-specific local drifts hidden by aggregate summaries,False,"The compared methods target different age coverage, weighting, windows, and model functions. The discrepancy is retained as a substantive cross-method finding unless synthetic recovery or input QA fails."
United States of America,Male,Prevalence,decrease,decrease,decrease,decrease,-0.1099099468603093,-0.14044227267872023,-0.08926510367562868,True,opposing age-specific local drifts hidden by aggregate summaries,False,"The compared methods target different age coverage, weighting, windows, and model functions. The discrepancy is retained as a substantive cross-method finding unless synthetic recovery or input QA fails."
United States of America,Male,DALYs,decrease,decrease,decrease,decrease,-0.13802155568827246,-0.19380676459621604,-0.10968597797468282,True,opposing age-specific local drifts hidden by aggregate summaries,False,"The compared methods target different age coverage, weighting, windows, and model functions. The discrepancy is retained as a substantive cross-method finding unless synthetic recovery or input QA fails."
