location_name,sex_name,measure_name,start_year,end_year,adult_count_start_reconstructed,adult_count_end_reconstructed,population_source,population_growth,population_aging,rate_change,total_change,component_sum,closure_error,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total
China,Female,Incidence,1990,2023,112468.84108018402,129940.20803846579,derived_proxy_NOT_OFFICIAL,39629.766332045874,-22786.513207253636,628.1138334895101,17471.366958281753,17471.36695828175,-3.637978807091713e-12,226.82693590418023,-130.42204002505028,3.5951041208700185
China,Female,Incidence,2000,2023,120936.74077154252,129940.20803846579,derived_proxy_NOT_OFFICIAL,25800.561059223695,-16753.113198787778,-43.980593512690874,9003.467266923224,9003.467266923226,1.8189894035458565e-12,286.56250191533803,-186.07401684387816,-0.488485071459814
China,Female,Incidence,2010,2023,138483.31730361455,129940.20803846579,derived_proxy_NOT_OFFICIAL,6631.441435636327,-15075.738595332274,-98.81210545279464,-8543.109265148742,-8543.109265148742,0.0,-77.62327777650013,176.4666484699326,1.1566293065675106
China,Female,Prevalence,1990,2023,1539185.4777092559,2465013.757607841,derived_proxy_NOT_OFFICIAL,637194.2597419745,278108.3868250115,10525.633331598752,925828.2798985848,925828.2798985848,0.0,68.82423809864316,30.038873607908748,1.1368882934480817
China,Female,Prevalence,2000,2023,1877330.8161118235,2465013.757607841,derived_proxy_NOT_OFFICIAL,441892.3250944364,141474.25097680851,4316.3654247724135,587682.9414960174,587682.9414960173,-1.1641532182693481e-10,75.19230079565463,24.073227413521455,0.7344717908239072
China,Female,Prevalence,2010,2023,2239826.889363005,2465013.757607841,derived_proxy_NOT_OFFICIAL,115992.32898705064,105591.24098749724,3603.2982702886998,225186.86824483657,225186.8682448366,2.9103830456733704e-11,51.50936637252616,46.89049668415485,1.6001369433189947
China,Female,DALYs,1990,2023,981432.9910020297,1548871.3277336091,derived_proxy_NOT_OFFICIAL,403066.53482057096,149621.66926102445,14750.132649984094,567438.3367315795,567438.3367315795,0.0,71.03265830472733,26.367916930470162,2.5994247648025026
China,Female,DALYs,2000,2023,1199983.9559180525,1548871.3277336091,derived_proxy_NOT_OFFICIAL,279993.9711711977,65055.66859156778,3837.732052791166,348887.37181555666,348887.37181555666,0.0,80.25339802760753,18.64661029518724,1.0999916772052236
China,Female,DALYs,2010,2023,1426225.751027934,1548871.3277336091,derived_proxy_NOT_OFFICIAL,73357.36264801511,47212.75144539304,2075.46261226673,122645.57670567487,122645.57670567489,1.4551915228366852e-11,59.81248131276538,38.49527452481577,1.6922441624188613
China,Male,Incidence,1990,2023,149191.68386570012,171280.30877956116,derived_proxy_NOT_OFFICIAL,48763.62238547604,-26290.97578510899,-384.02168650600163,22088.624913861044,22088.624913861047,3.637978807091713e-12,220.76350418208202,-119.02495464355904,-1.738549538522973
China,Male,Incidence,2000,2023,157949.68899675497,171280.30877956116,derived_proxy_NOT_OFFICIAL,31984.573007783918,-17917.74215715525,-736.2110678224368,13330.619782806229,13330.61978280623,1.8189894035458565e-12,239.93312785829713,-134.41042088879823,-5.522706969498885
China,Male,Incidence,2010,2023,177408.65160755467,171280.30877956116,derived_proxy_NOT_OFFICIAL,9912.550698591775,-14824.116693951919,-1216.7768326333608,-6128.342827993503,-6128.342827993505,-1.8189894035458565e-12,-161.74928486886347,241.89437683279087,19.854908036072597
China,Male,Prevalence,1990,2023,1920293.5095298905,2920251.9442918487,derived_proxy_NOT_OFFICIAL,720518.881280536,273232.4824142592,6207.071067163178,999958.4347619584,999958.4347619583,-1.1641532182693481e-10,72.05488310642197,27.32438398595064,0.6207329076273836
China,Male,Prevalence,2000,2023,2303583.0455549266,2920251.9442918487,derived_proxy_NOT_OFFICIAL,503527.8605423387,112420.2586184876,720.7795760958302,616668.8987369221,616668.8987369222,1.1641532182693481e-10,81.65287102587436,18.230246222689328,0.11688275143632999
China,Male,Prevalence,2010,2023,2680727.0954207284,2920251.9442918487,derived_proxy_NOT_OFFICIAL,158953.84226243058,88892.6643805597,-8321.657771870028,239524.84887112025,239524.84887112025,0.0,66.36215115533085,37.11208452881215,-3.4742356841429904
China,Male,DALYs,1990,2023,1244646.2134439773,1863678.773864748,derived_proxy_NOT_OFFICIAL,463192.9423425817,146922.76324567525,8916.85483251419,619032.5604207711,619032.5604207711,0.0,74.82529546228366,23.734254486679724,1.4404500510366032
China,Male,DALYs,2000,2023,1492610.5119141508,1863678.773864748,derived_proxy_NOT_OFFICIAL,323737.4126106853,45956.91297242251,1373.9363674898245,371068.26195059763,371068.2619505976,-5.820766091346741e-11,87.24470557220175,12.385029301843392,0.3702651259548423
China,Male,DALYs,2010,2023,1725593.5600454325,1863678.773864748,derived_proxy_NOT_OFFICIAL,101869.9345052629,38213.464778843256,-1998.185464790518,138085.21381931566,138085.21381931563,-2.9103830456733704e-11,73.77323877599206,27.6738281542914,-1.4470669302834562
United States of America,Female,Incidence,1990,2023,31275.82977991084,35354.910691132776,derived_proxy_NOT_OFFICIAL,10363.575191133306,-4422.401296093409,-1862.0929838179588,4079.0809112219395,4079.0809112219385,-9.094947017729282e-13,254.06642860704542,-108.41661129905421,-45.64981730799121
