location_name,sex_name,measure_name,metric_name,value_1990,lower_1990,upper_1990,value_2023,lower_2023,upper_2023,absolute_change,percent_change_point_estimate,interval_dominance_change,uncertainty_note
China,Female,Incidence,All-age count,115697.33834904048,97975.38808770616,138931.39420657957,132520.0933376334,111394.64425027698,155088.57310082295,16822.754988592933,14.54031287897164,overlap/inconclusive,"Native endpoint UIs; change is a point estimate, not a GBD draw-derived UI."
China,Female,Incidence,"Age-standardized rate per 100,000",18.34535763107,15.44722119973,21.77862017745,18.4221132549,15.40349009442,21.88439895793,0.07675562382999956,0.4183926275713734,overlap/inconclusive,"Native endpoint UIs; change is a point estimate, not a GBD draw-derived UI."
China,Female,Prevalence,All-age count,1544461.786892078,1278400.1736376148,1844258.356006604,2469230.2557263006,2074473.28187423,2895939.495493994,924768.4688342228,59.87642275663778,increase,"Native endpoint UIs; change is a point estimate, not a GBD draw-derived UI."
China,Female,Prevalence,"Age-standardized rate per 100,000",276.90029239308,233.24618241484004,329.6091622691,278.85919351501,234.44465743948,331.61728314358,1.9589011219300119,0.707439167001378,overlap/inconclusive,"Native endpoint UIs; change is a point estimate, not a GBD draw-derived UI."
China,Female,DALYs,All-age count,985172.0335053742,724061.8199204785,1242487.1003107172,1551859.2118643762,1120101.8617092932,1948122.882467781,566687.178359002,57.52164688868127,overlap/inconclusive,"Native endpoint UIs; change is a point estimate, not a GBD draw-derived UI."
China,Female,DALYs,"Age-standardized rate per 100,000",175.27341718732393,131.5414364375916,219.91064101128163,177.61177697861763,129.6486159303557,223.14257796807365,2.3383597912936978,1.3341211855272705,overlap/inconclusive,"Native endpoint UIs; change is a point estimate, not a GBD draw-derived UI."
China,Male,Incidence,All-age count,152988.79964754736,129743.0844827002,182807.85243800184,174591.6149088563,147864.0219678068,202989.0999873824,21602.815261308948,14.1205207904612,overlap/inconclusive,"Native endpoint UIs; change is a point estimate, not a GBD draw-derived UI."
China,Male,Incidence,"Age-standardized rate per 100,000",22.782916362690003,19.22242107758,26.97943154351,22.77420365679,19.21045574529,26.926866401650003,-0.008712705900002504,-0.03824227663088431,overlap/inconclusive,"Native endpoint UIs; change is a point estimate, not a GBD draw-derived UI."
China,Male,Prevalence,All-age count,1926495.660197955,1592841.4464992003,2282654.1326284623,2925661.008833505,2451024.632797577,3441425.912991318,999165.3486355501,51.864396545429116,increase,"Native endpoint UIs; change is a point estimate, not a GBD draw-derived UI."
China,Male,Prevalence,"Age-standardized rate per 100,000",322.43326719739,269.45275657734,380.64500636323,324.39947351022,272.29677744072,383.47358593897,1.9662063128299678,0.6098025585016043,overlap/inconclusive,"Native endpoint UIs; change is a point estimate, not a GBD draw-derived UI."
