location_name,sex_name,measure_name,start_year,end_year,all_age_count_start_reconstructed,all_age_count_end_reconstructed,population_source,age_partition,age_group_count,population_size_change,age_structure_change,age_specific_rate_change,total_change,component_sum,closure_error,population_size_change_pct_of_total,age_structure_change_pct_of_total,age_specific_rate_change_pct_of_total,cumulative_population_size_change,cumulative_age_structure_change,cumulative_age_specific_rate_change,cumulative_total_change,chain_step_years
China,Female,DALYs,1990,1995,985172.0335053749,1103897.2082474246,official_GBD_2023,fine_5_year,20,45796.99133445319,67558.358444047,5369.82496354923,118725.17474204942,118725.17474204942,0.0,38.5739515094039,56.90314509187204,4.522903398724058,45796.99133445319,67558.358444047,5369.82496354923,118725.17474204942,5
China,Female,DALYs,1995,2000,1103897.2082474246,1204475.9038035206,official_GBD_2023,fine_5_year,20,25020.26151752934,70555.96808924535,5002.465949321127,100578.6955560958,100578.69555609582,1.4551915228366852e-11,24.87630345491484,70.15001308094529,4.973683464139878,70817.25285198253,138114.32653329236,10372.290912870358,219303.87029814522,5
China,Female,DALYs,2000,2005,1204475.9038035206,1311737.268882961,official_GBD_2023,fine_5_year,20,39322.020634107175,67194.89719281673,744.4472525167512,107261.36507944064,107261.36507944066,1.4551915228366852e-11,36.660003911925074,62.64594632284457,0.6940497652303731,110139.2734860897,205309.22372610908,11116.738165387109,326565.23537758586,5
China,Female,DALYs,2005,2010,1311737.268882961,1428677.9829726964,official_GBD_2023,fine_5_year,20,52849.362066869086,61636.95475781026,2454.397265056071,116940.71408973541,116940.71408973541,0.0,45.19329514809932,52.707865893920086,2.098838957980596,162988.6355529588,266946.17848391936,13571.135430443179,443505.9494673213,5
China,Female,DALYs,2010,2015,1428677.9829726964,1512083.0670208826,official_GBD_2023,fine_5_year,20,46516.84447223197,35775.59317883713,1112.6463971177968,83405.0840481869,83405.0840481869,0.0,55.77219303005208,42.89377990215554,1.3340270677923791,209505.48002519074,302721.77166275645,14683.781827560975,526911.0335155082,5
China,Female,DALYs,2015,2020,1512083.0670208826,1549848.827500562,official_GBD_2023,fine_5_year,20,43946.15406425759,-10862.672120860818,4682.278536281859,37765.76047967863,37765.76047967863,0.0,116.36507118108892,-28.763281826949864,12.398210645860937,253451.63408944834,291859.0995418957,19366.060363842837,564676.7939951868,5
China,Female,DALYs,2020,2023,1549848.827500562,1551859.211864378,official_GBD_2023,fine_5_year,20,7273.190406556746,-345.4761485145039,-4917.32989422589,2010.3843638163526,2010.3843638163523,-2.2737367544323206e-13,361.78108711261086,-17.18458195022367,-244.5965051623872,260724.8244960051,291513.62339338113,14448.730469616945,566687.1783590032,5
China,Female,Incidence,1990,1995,115697.33834901855,120846.48524511754,official_GBD_2023,fine_5_year,20,5190.304791985133,-401.21323664115096,360.0553407550057,5149.146896098988,5149.146896098988,0.0,100.79931485188987,-7.791839012111143,6.9925241602212775,5190.304791985133,-401.21323664115096,360.0553407550057,5149.146896098988,5
China,Female,Incidence,1995,2000,120846.48524511754,124815.24149675576,official_GBD_2023,fine_5_year,20,2664.008697196099,902.6753844498961,402.072169992236,3968.7562516382313,3968.7562516382313,0.0,67.12452285515,22.74454078849735,10.130936356352644,7854.313489181232,501.46214780874516,762.1275107472418,9117.90314773722,5
China,Female,Incidence,2000,2005,124815.24149675576,133272.64407437184,official_GBD_2023,fine_5_year,20,4034.3070276567405,4159.062288943695,264.03326101560623,8457.402577616042,8457.402577616042,0.0,47.70148979704741,49.176591167025244,3.1219190359273576,11888.620516837973,4660.524436752441,1026.160771762848,17575.30572535326,5
China,Female,Incidence,2005,2010,133272.64407437184,140601.27793472595,official_GBD_2023,fine_5_year,20,5282.6356111788145,2270.683763585121,-224.68551440979837,7328.633860354137,7328.633860354137,0.0,72.08213306652415,30.98372502778296,-3.0658580943071025,17171.256128016787,6931.208200337562,801.4752573530495,24903.939585707398,5
China,Female,Incidence,2010,2015,140601.27793472595,138939.94452788704,official_GBD_2023,fine_5_year,20,4424.382565199873,-5457.686232797778,-628.029739240975,-1661.3334068388795,-1661.3334068388797,-2.2737367544323206e-13,-266.3151506486838,328.5123991566781,37.80275149200578,21595.63869321666,1473.5219675397839,173.44551811207452,23242.60617886852,5
