location_name,sex_name,age_name,measure_name,year,rate,population,population_source,reported_count,reconstructed_count,absolute_error,relative_error_pct
China,Female,0-4 years,DALYs,1990,0.0,52461127.55254273,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,1991,0.0,52200344.06133984,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,1992,0.0,51183616.21082702,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,1993,0.0,49478593.32621365,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,1994,0.0,47221554.37669416,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,1995,0.0,44711044.29671888,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,1996,0.0,42354267.769897126,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,1997,0.0,40222452.49646425,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,1998,0.0,38279976.11310377,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,1999,0.0,36527056.85831928,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2000,0.0,35014083.839477785,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2001,0.0,33804428.30705339,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2002,0.0,32932552.621482216,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2003,0.0,32372714.849269062,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2004,0.0,32114876.051067848,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2005,0.0,32146531.870909102,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2006,0.0,32433025.71269765,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2007,0.0,32955617.97461657,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2008,0.0,33644828.338959865,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2009,0.0,34297408.930364646,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2010,0.0,34533036.87799521,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2011,0.0,34305659.96387167,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2012,0.0,34184168.41189848,official_GBD_2023,0.0,0.0,0.0,
China,Female,0-4 years,DALYs,2013,0.0,34383277.2276166,official_GBD_2023,0.0,0.0,0.0,
