location_name,sex_name,measure_name,segment_index,start_year,end_year,apc,apc_lower_model_ci,apc_upper_model_ci,formal_inference_performed,inference_note
China,Female,DALYs,1,1990,1998,0.1108717829913175,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Female,DALYs,2,1998,2023,0.02764222233437863,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Female,Incidence,1,1990,2004,0.05654788165843083,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Female,Incidence,2,2004,2015,-0.0572147969394865,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Female,Incidence,3,2015,2023,0.03129107795281083,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Female,Prevalence,1,1990,2019,0.03097672901974935,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Female,Prevalence,2,2019,2023,-0.030494866539998444,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Male,DALYs,1,1990,1995,0.179582823018265,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Male,DALYs,2,1995,1999,-0.06775287445166533,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Male,DALYs,3,1999,2023,0.023872398853286292,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Male,Incidence,1,1990,2006,0.029439333001124446,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Male,Incidence,2,2006,2023,-0.030483816359050397,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Male,Prevalence,1,1990,2003,0.016433420049888348,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Male,Prevalence,2,2003,2017,0.04712195909344352,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
China,Male,Prevalence,3,2017,2023,-0.06222541588202235,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Female,DALYs,1,1990,2010,0.01176173952370796,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
