location_name,sex_name,measure_name,specification,model_scale,start_year,end_year,maximum_breakpoints,minimum_segment_years,selected_breakpoint_count,selected_breakpoint_years,fitted_annualized_endpoint_change_pct,trajectory_direction,formal_inference_performed,inference_note,primary_direction,direction_stable_vs_primary
China,Female,DALYs,primary,log_rate,1990,2023,2,4,1,1998,0.04781272935172609,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,DALYs,max_1_breakpoint,log_rate,1990,2023,1,4,1,1998,0.04781272935172609,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,DALYs,max_3_breakpoints,log_rate,1990,2023,3,4,3,"1998,2015,2019",0.043419258526600224,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,DALYs,minimum_5_year_segments,log_rate,1990,2023,2,5,1,1998,0.04781272935172609,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,DALYs,prepandemic_1990_2019,log_rate,1990,2019,2,4,2,"1998,2015",0.05594213393158576,increase,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,False
China,Female,DALYs,linear_rate_scale,rate,1990,2023,2,4,1,1998,0.04782202650492895,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,Incidence,primary,log_rate,1990,2023,2,4,2,"2004,2015",0.012491482494536577,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,Incidence,max_1_breakpoint,log_rate,1990,2023,1,4,1,2001,0.006819152088666236,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,Incidence,max_3_breakpoints,log_rate,1990,2023,3,4,3,"1994,2005,2014",0.015431563296020023,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,Incidence,minimum_5_year_segments,log_rate,1990,2023,2,5,2,"2004,2015",0.012491482494536577,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,Incidence,prepandemic_1990_2019,log_rate,1990,2019,2,4,2,"2005,2015",0.012203683673961407,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,Incidence,linear_rate_scale,rate,1990,2023,2,4,2,"2004,2015",0.012500064884779505,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,Prevalence,primary,log_rate,1990,2023,2,4,1,2019,0.023523613815101818,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,Prevalence,max_1_breakpoint,log_rate,1990,2023,1,4,1,2019,0.023523613815101818,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,Prevalence,max_3_breakpoints,log_rate,1990,2023,3,4,3,"2001,2005,2016",0.026045853667477914,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,Prevalence,minimum_5_year_segments,log_rate,1990,2023,2,5,1,2018,0.024293576665601613,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,Prevalence,prepandemic_1990_2019,log_rate,1990,2019,2,4,2,"2000,2004",0.034273822373931395,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Female,Prevalence,linear_rate_scale,rate,1990,2023,2,4,1,2019,0.023550662583993187,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,DALYs,primary,log_rate,1990,2023,2,4,2,"1995,1999",0.036336135652170753,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,DALYs,max_1_breakpoint,log_rate,1990,2023,1,4,1,1994,0.03389358724528169,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,DALYs,max_3_breakpoints,log_rate,1990,2023,3,4,3,"1995,1999,2019",0.03133429967017154,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,DALYs,minimum_5_year_segments,log_rate,1990,2023,2,5,2,"1995,2000",0.036061830045541754,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,DALYs,prepandemic_1990_2019,log_rate,1990,2019,2,4,2,"1995,1999",0.039192058316217526,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,DALYs,linear_rate_scale,rate,1990,2023,2,4,2,"1995,1999",0.036344702676704976,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,Incidence,primary,log_rate,1990,2023,2,4,1,2006,-0.0014346525525010811,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,Incidence,max_1_breakpoint,log_rate,1990,2023,1,4,1,2006,-0.0014346525525010811,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,Incidence,max_3_breakpoints,log_rate,1990,2023,3,4,3,"1995,2000,2005",0.0020715072253096878,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,Incidence,minimum_5_year_segments,log_rate,1990,2023,2,5,1,2006,-0.0014346525525010811,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,Incidence,prepandemic_1990_2019,log_rate,1990,2019,2,4,2,"2008,2015",0.005838512777356364,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,Incidence,linear_rate_scale,rate,1990,2023,2,4,1,2006,-0.0014371174509308915,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,Prevalence,primary,log_rate,1990,2023,2,4,2,"2003,2017",0.015143578277454495,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,Prevalence,max_1_breakpoint,log_rate,1990,2023,1,4,1,2019,0.016729238756285625,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,Prevalence,max_3_breakpoints,log_rate,1990,2023,3,4,3,"1995,2000,2017",0.021106992311703543,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,Prevalence,minimum_5_year_segments,log_rate,1990,2023,2,5,2,"2003,2017",0.015143578277454495,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,Prevalence,prepandemic_1990_2019,log_rate,1990,2019,2,4,2,"1995,1999",0.037974973351029284,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
China,Male,Prevalence,linear_rate_scale,rate,1990,2023,2,4,2,"2003,2017",0.015140795569856813,practically stable,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,practically stable,True
United States of America,Female,DALYs,primary,log_rate,1990,2023,2,4,2,"2010,2015",-0.24909882956674068,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,DALYs,max_1_breakpoint,log_rate,1990,2023,1,4,1,2007,-0.2889907236461764,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,DALYs,max_3_breakpoints,log_rate,1990,2023,3,4,3,"1996,2010,2015",-0.259132183644617,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,DALYs,minimum_5_year_segments,log_rate,1990,2023,2,5,2,"2010,2015",-0.24909882956674068,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,DALYs,prepandemic_1990_2019,log_rate,1990,2019,2,4,2,"2010,2015",-0.25086040930576425,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,DALYs,linear_rate_scale,rate,1990,2023,2,4,2,"2010,2015",-0.24901822962147824,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,Incidence,primary,log_rate,1990,2023,2,4,2,"2010,2015",-0.209658563740156,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,Incidence,max_1_breakpoint,log_rate,1990,2023,1,4,1,2007,-0.2523936355553258,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,Incidence,max_3_breakpoints,log_rate,1990,2023,3,4,3,"1999,2010,2015",-0.21995772598024654,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,Incidence,minimum_5_year_segments,log_rate,1990,2023,2,5,2,"2010,2015",-0.209658563740156,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,Incidence,prepandemic_1990_2019,log_rate,1990,2019,2,4,2,"2010,2015",-0.23629340308634061,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,Incidence,linear_rate_scale,rate,1990,2023,2,4,2,"2010,2015",-0.209613114522067,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,Prevalence,primary,log_rate,1990,2023,2,4,2,"2010,2015",-0.2301096494965016,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
United States of America,Female,Prevalence,max_1_breakpoint,log_rate,1990,2023,1,4,1,2007,-0.28133120463820216,decrease,False,Descriptive analysis of annual GBD posterior means. Primary analyses report no hypothesis tests or confidence intervals because posterior draws and cross-year/cross-stratum correlations are unavailable.,decrease,True
